"gameid","clkTime","roundNum","condition","clickStatus","clickColH","clickColS","clickColL","clickLocS","clickLocL","alt1Status","alt1ColH","alt1ColS","alt1ColL","alt1LocS","alt1LocL","alt2Status","alt2ColH","alt2ColS","alt2ColL","alt2LocS","alt2LocL","targetD1Diff","targetD2Diff","D1D2Diff","outcome","msgTime","role","contents","workerid_uniq","numOutcome","numRawWords","numRawChars","numCleanChars","numCleanWords","source"
"2641-2","1476490171781.0","45","speaker","the greyish blue","175","2","50","1","1","distr1","26","17","50","3","2","distr2","229","59","50","2","3","15","31","40","true","1476490169040.0","speaker","the greyish blue","619","1.0","3","14","11","2","pragmatic"
"2641-2","1476490178227.0","46","speaker","the dark blue","219","71","50","2","3","distr2","11","90","50","1","2","distr1","131","97","50","3","1","71","50","81","true","1476490176814.0","speaker","blue","619","1.0","1","4","4","1","pragmatic"
"2641-2","1476490193503.0","47","speaker","metallic green","100","29","50","3","3","distr2","33","98","50","1","2","distr1","124","25","50","2","1","5","42","45","true","1476490187226.0","speaker","the yellower green","619","1.0","3","16","13","2","pragmatic"
"2641-2","1476490205312.0","48","speaker","purple","296","17","50","3","3","distr2","48","73","50","2","1","distr1","22","29","50","1","2","27","56","29","true","1476490203060.0","speaker","the brighter lavender","619","1.0","3","19","16","2","pragmatic"
"2641-2","1476490224867.0","49","speaker","not pink , but not purple and not <unk>","334","76","50","2","3","distr1","341","69","50","3","2","distr2","253","57","50","1","1","5","32","34","true","1476490221500.0","speaker","the pinker pink","619","1.0","3","13","10","2","pragmatic"
"2641-2","1476490236472.0","50","speaker","grey","344","6","50","1","3","distr1","11","28","50","3","2","distr2","197","54","50","2","1","14","35","44","true","1476490233188.0","speaker","the bluer grey","619","1.0","3","12","9","2","pragmatic"
"4235-3","1476489575094.0","1","speaker","army green ~ not drab ~ not pinkish","99","30","50","3","1","distr2","291","36","50","1","3","target","75","19","50","2","2","9","56","69","false","1476489554614.0","speaker","the non grass...non '....rain' (prince song) color (aka non-green vomit).","324","0.0","10","51","48","12","pragmatic"
"4235-3","1476489589032.0","2","speaker","sky blue","199","57","50","2","1","distr2","142","95","50","3","3","distr1","39","43","50","1","2","45","53","40","true","1476489584237.0","speaker","the sky","324","1.0","2","6","3","1","pragmatic"
"4235-3","1476489598143.0","3","speaker","the gray","200","13","50","3","2","distr1","291","92","50","2","3","distr2","270","68","50","1","1","18","19","14","true","1476489595552.0","speaker","concrete","324","1.0","1","8","8","1","pragmatic"
"4235-3","1476489613935.0","4","speaker","its on the more blue looking one .","189","18","50","1","3","distr1","220","10","50","3","1","distr2","31","51","50","2","2","15","34","32","true","1476489610393.0","speaker","the concrete mixed with sky","324","1.0","5","23","16","3","pragmatic"
"4235-3","1476489627208.0","5","speaker","the most sky of the colors","215","21","50","2","3","distr2","165","4","50","1","1","distr1","167","10","50","3","2","18","15","6","true","1476489622917.0","speaker","the most sky of the colors","324","1.0","6","21","9","2","pragmatic"
"4235-3","1476489644648.0","6","speaker","purple","267","54","50","1","1","distr2","51","47","50","3","2","distr1","199","63","50","2","3","37","72","51","true","1476489641821.0","speaker","'.... rain ... rain ' (prince song)","324","1.0","6","20","20","6","pragmatic"
"4235-3","1476489664610.0","7","speaker","grey - more like a target colors","252","5","50","1","1","distr2","220","20","50","3","3","distr1","246","20","50","2","2","13","10","9","true","1476489662007.0","speaker","Concrete ... not with any sky or '....rain'","324","1.0","7","29","17","4","pragmatic"
"4235-3","1476489706360.0","8","speaker","with a darkest purple","248","61","50","3","2","distr2","236","31","50","2","3","distr1","225","90","50","1","1","7","13","12","true","1476489702628.0","speaker","oh darker! more like 'rain'","324","1.0","5","22","18","4","pragmatic"
"4235-3","1476489713954.0","9","speaker","yellow","74","81","50","1","2","distr1","227","39","50","2","1","distr2","33","11","50","3","3","72","36","34","true","1476489711269.0","speaker","sun","324","1.0","1","3","3","1","pragmatic"
"4235-3","1476489725279.0","10","speaker","red","350","87","50","3","1","distr1","350","30","50","1","3","distr2","0","22","50","2","2","17","18","5","true","1476489723453.0","speaker","brightest color","324","1.0","2","14","14","2","pragmatic"
"4235-3","1476489738895.0","11","speaker","that is a bright pink-ish purple and and then pink","318","82","50","2","2","distr2","185","9","50","3","1","distr1","293","77","50","1","3","12","19","18","true","1476489735171.0","speaker","fresh salmon","324","1.0","2","11","11","2","pragmatic"
"4235-3","1476489754140.0","12","speaker","<unk> ... now pick the blue / gray","165","18","50","3","2","distr1","252","61","50","2","1","distr2","52","38","50","1","3","43","26","73","true","1476489750482.0","speaker","moldy concrete?","324","1.0","2","13","13","2","pragmatic"
"4235-3","1476489801797.0","13","speaker","greener lighter green","44","10","50","3","3","target","148","12","50","1","1","distr2","277","32","50","2","2","14","34","38","false","1476489793904.0","speaker","Yes they do! less (I can't say colors)","324","0.0","8","28","16","4","pragmatic"
"4235-3","1476489857954.0","15","speaker","redish","4","27","50","3","2","distr2","315","96","50","1","1","distr1","352","59","50","2","3","12","27","25","true","1476489854644.0","speaker","dullest color","324","1.0","2","12","12","2","pragmatic"
"4235-3","1476489870626.0","16","speaker","brown","348","69","50","3","3","distr2","74","12","50","2","1","distr1","279","99","50","1","2","34","43","58","true","1476489866415.0","speaker","sick salmon?","324","1.0","2","10","10","2","pragmatic"
"4235-3","1476489891630.0","17","speaker","tan green","93","36","50","2","3","distr1","139","50","50","3","2","distr2","95","89","50","1","1","10","18","17","true","1476489888142.0","speaker","the dullest color, most like military/olive","324","1.0","6","36","29","5","pragmatic"
"4235-3","1476489904386.0","18","speaker","blue","246","89","50","3","3","distr1","300","68","50","1","1","distr2","323","1","50","2","2","26","38","30","true","1476489902098.0","speaker","Royal","324","1.0","1","5","5","1","pragmatic"
"4235-3","1476489919736.0","19","speaker","the color of a gray .","328","42","50","3","2","distr1","339","82","50","1","1","distr2","260","1","50","2","3","14","25","28","true","1476489915098.0","speaker","dull salmon","324","1.0","2","10","10","2","pragmatic"
"4235-3","1476489942152.0","20","speaker","lighter green ?","163","29","50","1","3","distr1","170","44","50","3","1","target","132","38","50","2","2","16","14","7","false","1476489936746.0","speaker","(crap) um..the one that is the most different from the other two","324","0.0","12","49","21","5","pragmatic"
"4235-3","1476489986521.0","21","speaker","lighter blue","226","73","50","3","2","distr2","260","62","50","1","1","distr1","230","49","50","2","3","5","10","12","true","1476489981410.0","speaker","the most normal sky? (royal sort of but not 'rain'","324","1.0","10","39","24","5","pragmatic"
"4235-3","1476489998924.0","22","speaker","salmon","323","55","50","1","1","distr1","288","47","50","2","3","distr2","169","68","50","3","2","12","61","55","true","1476489996152.0","speaker","salmon","324","1.0","1","6","6","1","pragmatic"
"4235-3","1476490016717.0","23","speaker","more blue green","130","12","50","3","3","distr2","61","18","50","2","1","distr1","157","23","50","1","2","7","12","17","true","1476490008998.0","speaker","dull olive","324","1.0","2","9","9","2","pragmatic"
"4235-3","1476490045324.0","24","speaker","brownish / green","82","30","50","3","1","distr1","154","26","50","1","2","distr2","155","68","50","2","3","15","19","16","true","1476490039014.0","speaker","dull olive?","324","1.0","2","9","9","2","pragmatic"
"4235-3","1476490054088.0","25","speaker","grey","252","3","50","1","2","distr2","97","74","50","3","1","distr1","236","22","50","2","3","17","41","60","true","1476490052703.0","speaker","concrete","324","1.0","1","8","8","1","pragmatic"
"4235-3","1476490069026.0","26","speaker","orange","102","81","50","3","3","distr1","49","77","50","2","2","distr2","249","82","50","1","1","29","80","86","true","1476490067112.0","speaker","grass","324","1.0","1","5","5","1","pragmatic"
"4235-3","1476490090176.0","27","speaker","dullest how did slightly darker","318","19","50","2","3","distr2","326","93","50","1","1","distr1","288","61","50","3","2","18","18","19","true","1476490088142.0","speaker","the dullest color","324","1.0","3","15","12","2","pragmatic"
"4235-3","1476490105579.0","28","speaker","purple not clay","262","85","50","3","3","target","275","77","50","2","1","distr2","79","11","50","1","2","7","57","59","false","1476490101804.0","speaker","'...rain'","324","0.0","1","6","6","2","pragmatic"
"4235-3","1476490139560.0","29","speaker","question is the rose square similar ~ yes )","13","45","50","1","2","distr2","124","98","50","2","3","distr1","345","37","50","3","1","17","69","83","true","1476490133263.0","speaker","No worries! Dull, least like salmon (these are HARD)","324","1.0","9","40","30","6","pragmatic"
"4235-3","1476490175422.0","30","speaker","greenish blue","154","77","50","3","1","distr1","166","61","50","2","3","distr2","208","29","50","1","2","11","44","34","true","1476490172926.0","speaker","umm...the brightest grass?","324","1.0","3","20","17","3","pragmatic"
"4235-3","1476490199922.0","31","speaker","orange","34","95","50","1","2","distr1","279","88","50","3","1","distr2","344","61","50","2","3","64","42","29","true","1476490185696.0","speaker","hunting apparel","324","1.0","2","14","14","2","pragmatic"
"4235-3","1476490230643.0","32","speaker","correct ! now pick <unk> . good work ! ~ this one is the most darkish purple ~ not the dull one","288","92","50","3","2","distr1","281","26","50","1","3","distr2","329","57","50","2","1","16","19","16","true","1476490209979.0","speaker","'...rain'","324","1.0","1","6","6","2","pragmatic"
"4235-3","1476490253022.0","33","speaker","grayish blue","141","6","50","2","3","distr1","156","28","50","3","2","distr2","98","79","50","1","1","15","34","27","true","1476490250015.0","speaker","concrete","324","1.0","1","8","8","1","pragmatic"
"4235-3","1476490286254.0","34","speaker","the pinkish purple","312","35","50","3","3","distr1","322","59","50","1","1","distr2","290","69","50","2","2","7","12","13","true","1476490277970.0","speaker","the dullest not 'rain' or salmon","324","1.0","6","27","19","3","pragmatic"
"4235-3","1476490309112.0","35","speaker","tan with a beige tint maybe","52","16","50","2","3","distr2","194","83","50","3","1","distr1","334","25","50","1","2","36","38","55","true","1476490296982.0","speaker","(sorry I'm kind of having a hard time describing some of these) olive","324","1.0","13","55","32","6","pragmatic"
"4235-3","1476490341919.0","36","speaker","grey","18","29","50","1","2","distr1","356","48","50","3","3","distr2","189","79","50","2","1","16","44","70","true","1476490330871.0","speaker","the dullest color not sky or rotten salmon","324","1.0","8","35","27","5","pragmatic"
"4235-3","1476490369838.0","37","speaker","pink","305","98","50","1","2","distr2","29","21","50","3","3","distr1","42","95","50","2","1","69","43","26","true","1476490364255.0","speaker","the brightest color with closest to salmon?","324","1.0","7","36","27","4","pragmatic"
"4235-3","1476490382220.0","38","speaker","olive concrete","146","8","50","1","3","distr2","140","51","50","2","2","distr1","20","26","50","3","1","28","23","43","true","1476490377387.0","speaker","olive concrete","324","1.0","2","13","13","2","pragmatic"
"4235-3","1476490401362.0","39","speaker","green","168","50","50","1","3","distr1","325","16","50","2","1","distr2","38","8","50","3","2","49","28","24","true","1476490400410.0","speaker","think","324","1.0","1","5","5","1","pragmatic"
"4235-3","1476490418862.0","40","speaker","brown","34","37","50","1","1","distr1","39","91","50","3","2","distr2","245","24","50","2","3","16","44","57","true","1476490416439.0","speaker","most like the desert ground","324","1.0","5","23","16","3","pragmatic"
"4235-3","1476490429539.0","41","speaker","olive","171","31","50","2","3","distr1","279","10","50","3","2","distr2","257","95","50","1","1","35","48","30","true","1476490425617.0","speaker","olive","324","1.0","1","5","5","1","pragmatic"
"4235-3","1476490446946.0","42","speaker","purple","279","19","50","3","2","distr1","318","50","50","2","1","distr2","63","97","50","1","3","15","72","84","true","1476490442713.0","speaker","dullest color '...rain' with concrete","324","1.0","5","30","26","5","pragmatic"
"4235-3","1476490461202.0","43","speaker","yes ~ no worries ~ purple","270","62","50","2","1","distr1","254","81","50","3","3","distr2","8","20","50","1","2","9","34","38","true","1476490454694.0","speaker","'..rain'","324","1.0","1","6","6","2","pragmatic"
"4235-3","1476490473442.0","44","speaker","the brightest green","137","85","50","1","1","distr1","164","49","50","2","3","distr2","178","10","50","3","2","21","36","21","true","1476490469544.0","speaker","grass","324","1.0","1","5","5","1","pragmatic"
"4235-3","1476490481672.0","45","speaker","blue","202","7","50","2","2","distr1","221","92","50","1","1","distr2","319","26","50","3","3","21","21","28","true","1476490478872.0","speaker","concrete","324","1.0","1","8","8","1","pragmatic"
"4235-3","1476490501208.0","46","speaker","the red box . kinda purple but not red","357","69","50","2","3","distr1","246","14","50","1","1","distr2","31","61","50","3","2","34","29","40","true","1476490495565.0","speaker","bad salmon","324","1.0","2","9","9","2","pragmatic"
"4235-3","1476490521214.0","47","speaker","bright blue","287","79","50","1","2","distr2","277","78","50","3","3","distr1","242","69","50","2","1","19","6","14","true","1476490514460.0","speaker","similar ones","324","1.0","2","11","11","2","pragmatic"
"4235-3","1476490534002.0","48","speaker","barney","337","46","50","3","3","distr2","130","24","50","1","1","distr1","179","3","50","2","2","17","62","21","true","1476490526917.0","speaker","salmon","324","1.0","1","6","6","1","pragmatic"
"4235-3","1476490553211.0","49","speaker","orange","33","81","50","2","1","distr1","138","92","50","1","2","distr2","303","68","50","3","3","53","57","104","true","1476490542888.0","speaker","(It's been fun!) Hunters color","324","1.0","5","23","15","3","pragmatic"
"4235-3","1476490573467.0","50","speaker","dark blue","222","23","50","2","2","distr2","207","91","50","1","1","distr1","203","30","50","3","3","12","16","9","true","1476490564333.0","speaker","dull concrete","324","1.0","2","12","12","2","pragmatic"
"1369-5","1476489655591.0","1","speaker","violet with more drab purple and no as purple , i think )","102","9","50","3","1","distr1","243","9","50","1","2","target","272","17","50","2","3","10","30","24","false","1476489644583.0","speaker","pick the bluest shade (light)","849","0.0","5","23","20","4","pragmatic"
"1369-5","1476489823470.0","2","speaker","purple not brightest , not pink","282","35","50","2","3","distr2","234","39","50","3","1","target","267","54","50","1","2","10","12","15","false","1476489820403.0","speaker","light purple","849","0.0","2","11","11","2","pragmatic"
"1369-5","1476489910553.0","3","speaker","purple","226","67","50","2","2","distr1","264","91","50","1","1","distr2","251","33","50","3","3","14","10","15","true","1476489907554.0","speaker","maybe for you","849","1.0","3","11","5","1","pragmatic"
"1369-5","1476489976653.0","4","speaker","bright blue","198","96","50","2","1","distr2","126","11","50","3","2","distr1","211","72","50","1","3","18","35","37","true","1476489972802.0","speaker","bright","849","1.0","1","6","6","1","pragmatic"
"1369-5","1476490013178.0","5","speaker","brighter pink","326","75","50","3","2","distr1","279","48","50","2","3","distr2","313","21","50","1","1","19","15","16","true","1476490011734.0","speaker","yes","849","1.0","1","3","3","1","pragmatic"
"1369-5","1476490052493.0","6","speaker","bright aqua","58","19","50","2","1","target","174","81","50","3","3","distr1","13","42","50","1","2","59","32","30","false","1476490048042.0","speaker","greenish tint","849","0.0","2","12","12","2","pragmatic"
"1369-5","1476490117130.0","7","speaker","brightest green","106","78","50","2","2","distr1","94","45","50","1","3","distr2","92","68","50","3","1","12","5","9","true","1476490098483.0","speaker","brite-ist green tone/","849","1.0","3","17","17","4","pragmatic"
"1369-5","1476490173326.0","8","speaker","yellow","66","63","50","3","2","distr1","163","93","50","1","3","distr2","252","6","50","2","1","27","47","43","true","1476490157940.0","speaker","not blue-ish or grayish green","849","1.0","5","24","19","4","pragmatic"
"1369-5","1476490193343.0","9","speaker","grey","248","97","50","3","3","distr2","174","10","50","1","1","distr1","284","31","50","2","2","22","38","26","true","1476490183419.0","speaker","blue","849","1.0","1","4","4","1","pragmatic"
"1369-5","1476490214346.0","10","speaker","blue","95","50","50","2","3","target","236","92","50","3","1","distr1","284","48","50","1","2","18","74","86","false","1476490204883.0","speaker","not purply","849","0.0","2","9","6","1","pragmatic"
"1369-5","1476490285498.0","11","speaker","grey","274","33","50","3","3","distr2","81","83","50","2","1","target","243","6","50","1","2","19","48","85","false","1476490278963.0","speaker","maybe hinted red, hinter","849","0.0","4","20","20","4","pragmatic"
"1369-5","1476490345412.0","12","speaker","light blue","215","73","50","3","1","distr1","256","24","50","2","3","distr2","217","18","50","1","2","18","12","12","true","1476490326817.0","speaker","bluest","849","1.0","1","6","6","1","pragmatic"
"1369-5","1476490380594.0","13","speaker","brighter green","132","90","50","3","3","distr1","47","29","50","2","2","distr2","216","75","50","1","1","33","68","53","true","1476490364466.0","speaker","green","849","1.0","1","5","5","1","pragmatic"
"1369-5","1476490440455.0","14","speaker","blue","136","60","50","2","3","distr2","295","5","50","1","2","target","197","53","50","3","1","44","33","40","false","1476490433388.0","speaker","irritating ya know","849","0.0","3","16","16","3","pragmatic"
"1369-5","1476490516564.0","15","speaker","the target is all good here","233","14","50","3","2","distr2","305","46","50","1","3","distr1","338","3","50","2","1","14","23","26","true","1476490470159.0","speaker","not purply or greying","849","1.0","4","18","13","2","pragmatic"
"1369-5","1476490543584.0","16","speaker","it chose the lakers purple","249","25","50","3","1","distr1","347","25","50","2","3","distr2","116","56","50","1","2","22","57","65","true","1476490536045.0","speaker","again blue hue","849","1.0","3","12","7","2","pragmatic"
"1369-5","1476490586447.0","17","speaker","blue","253","36","50","2","1","distr1","239","18","50","3","3","distr2","155","96","50","1","2","10","64","54","true","1476490582144.0","speaker","richest blu/purp","849","1.0","2","14","14","3","pragmatic"
"1369-5","1476490628841.0","18","speaker","rose ~ only","353","44","50","3","3","distr2","200","65","50","2","1","distr1","257","12","50","1","2","25","52","30","true","1476490619040.0","speaker","rose","849","1.0","1","4","4","1","pragmatic"
"1369-5","1476490642074.0","19","speaker","green","100","43","50","3","2","distr1","344","65","50","2","3","distr2","277","51","50","1","1","74","85","28","true","1476490639484.0","speaker","greeen","849","1.0","1","6","6","1","pragmatic"
"1369-5","1476490680182.0","20","speaker","drab ~ <unk>","314","8","50","2","1","distr1","353","68","50","1","3","distr2","127","28","50","3","2","26","42","66","true","1476490666736.0","speaker","purp/least red in it","849","1.0","4","16","12","3","pragmatic"
"1369-5","1476490790997.0","21","speaker","one least them is not purple and not the drab one","185","34","50","3","2","distr2","194","10","50","1","1","distr1","84","4","50","2","3","19","14","10","true","1476490776711.0","speaker","i almost can't tell","849","1.0","4","16","10","2","pragmatic"
