negation,Condition,Language,Message
False,further/split,English,blue
False,equal/far,English,red
False,further/split,English,greenest
False,further/split,English,dark puprle
False,further/split,English,your dumb. this one is dark blue
False,closer/close,English,middle green
False,further/split,English,brown
False,equal/far,English,blue
False,closer/close,English,magenta
False,closer/close,English,dark grey
False,equal/far,English,DARK YOU IDIOT. This one is orange
False,closer/close,English,dark purple
False,equal/far,English,green
False,further/split,English,purple
False,further/split,English,lime green
False,closer/close,English,purplish
False,equal/far,English,teal
False,equal/far,English,purple
False,closer/close,English,darker blue
False,further/split,English,green
False,equal/far,English,brown
False,equal/far,English,tealish
False,closer/close,English,grey
False,closer/close,English,darker green
False,equal/far,English,tan orange
False,equal/far,English,green
False,equal/far,English,ugly tan
False,further/split,English,other one
False,further/split,English,green
False,further/split,English,lesser purple
False,equal/far,English,pink
False,further/split,English,red
False,equal/far,English,yellow
False,further/split,English,dark purple
False,further/split,English,orange
False,closer/close,English,darker purple
False,closer/close,English,bluish grey
False,closer/close,English,dark purple
False,further/split,English,grey
False,further/split,English,purple
False,further/split,English,green
False,closer/close,English,grey
False,closer/close,English,medium green
False,further/split,English,blue grey
False,equal/far,English,purple grey
False,closer/close,English,darkest green
False,closer/close,English,teal
False,equal/far,English,orange
False,equal/far,English,orange
False,equal/far,English,grey
False,further/split,English,pink
False,closer/close,English,meduim green
False,closer/close,English,teal
False,further/split,English,brownish yellow
False,further/split,English,blue
False,closer/close,English,bright blue
False,closer/close,English,pink puirple
False,closer/close,English,darkest blue
False,closer/close,English,blue
False,equal/far,English,green
False,further/split,English,darkest blue
False,equal/far,English,purple
False,equal/far,English,blue
False,equal/far,English,you rock
False,further/split,English,hi
False,further/split,English,Gray Box
False,equal/far,English,Gray Box
False,further/split,English,Gray Box
False,further/split,English,you can just put the color if you'd like. less typing?
False,further/split,English,Navy Blue
False,further/split,English,oops
False,further/split,English,Blue
False,equal/far,English,Greenish
False,closer/close,English,do we have a score?
False,closer/close,English,Brightest Color
False,closer/close,English,Lighter Blue
False,equal/far,English,Green
False,closer/close,English,Most Gray
False,further/split,English,Darker Green
False,further/split,English,gj so far!
False,further/split,English,Brighter Green
False,closer/close,English,Some of these are actually hard to describe hehe.
False,closer/close,English,Yellow
False,closer/close,English,lol i bet right?
False,closer/close,English,Purple
False,closer/close,English,Purple
False,closer/close,English,Darker Blue
True,closer/close,English,mani can't catch any hits today
False,closer/close,English,nothing good anyway
False,closer/close,English,Brighter Grayish Green
False,equal/far,English,Pink
False,closer/close,English,Second Brightest.
False,closer/close,English,gj!
False,equal/far,English,Red
False,equal/far,English,Grayish
False,closer/close,English,Pink
False,closer/close,English,this is a good hit
False,equal/far,English,Green
False,equal/far,English,Yeah really enjoying it so far
False,further/split,English,Orange
False,closer/close,English,i've done one like this before but with animals
False,closer/close,English,Darker Purple
False,closer/close,English,woops
False,equal/far,English,Orange
False,closer/close,English,can u see when i pick the wrong one?
False,closer/close,English,Darker Brown
False,further/split,English,Yeah I can see.  No worries though :)
False,further/split,English,ok lol :)
False,further/split,English,Darker Grayish Blue
False,closer/close,English,Darker Purple
False,closer/close,English,shoot
False,closer/close,English,wonder what this is testing
False,closer/close,English,Green'ish Gray
False,equal/far,English,Blue
False,equal/far,English,No idea hehe
False,equal/far,English,blue??
False,equal/far,English,i see gren grey and purple
False,equal/far,English,Purple ish maybe
False,equal/far,English,k
False,further/split,English,Brightest Purple
False,further/split,English,one of the quals on here should be 'not colorblind'
False,equal/far,English,No kidding
False,equal/far,English,Blue
False,further/split,English,Gray
False,closer/close,English,brown
False,equal/far,English,Green
False,further/split,English,Grayish Purple
False,further/split,English,Doh
False,further/split,English,Green
False,further/split,English,oopsy
False,further/split,English,lighter green
False,equal/far,English,Brown
False,equal/far,English,gj so far
False,equal/far,English,Green
False,equal/far,English,This is harder than I expected lol
False,equal/far,English,Blue
False,equal/far,English,haha
False,further/split,English,Green
False,further/split,English,maybe we'll get a bonus if we do good
False,further/split,English,Yellow
False,further/split,English,Greenish gray
False,equal/far,English,Regular Blue
False,equal/far,English,Hopefully we get something
False,closer/close,English,Purple Gray
False,closer/close,English,yeah :)
False,equal/far,English,Not Green or Blue
False,closer/close,English,oops!
False,closer/close,English,sorry man
False,closer/close,English,Regular Blue
False,closer/close,English,No worries
False,equal/far,English,Blue
False,equal/far,English,green
False,closer/close,English,brown
False,further/split,English,purple
False,equal/far,English,blue
False,further/split,English,green
False,closer/close,English,normal blue
False,closer/close,English,grayish purple
False,further/split,English,bluish green
False,further/split,English,tan
False,equal/far,English,blue
False,closer/close,English,purple
False,equal/far,English,gray
False,equal/far,English,green
False,further/split,English,gray
False,equal/far,English,purple
False,equal/far,English,blue
False,further/split,English,blue
False,equal/far,English,purple
False,closer/close,English,purple
False,closer/close,English,forest green
False,further/split,English,purple
False,equal/far,English,brown
False,closer/close,English,lighter purple
False,further/split,English,blue
False,further/split,English,darker green
False,closer/close,English,purple
False,further/split,English,copper
False,further/split,English,blue
False,equal/far,English,green
False,further/split,English,gray
False,further/split,English,brighter red
False,closer/close,English,brighter green
False,equal/far,English,pink
False,further/split,English,gray
False,equal/far,English,blue
False,further/split,English,darker green
False,closer/close,English,darker blue
False,closer/close,English,pastel green
False,equal/far,English,gray
False,equal/far,English,greenish gray
False,closer/close,English,darker green
False,closer/close,English,grayish green
False,closer/close,English,green
False,closer/close,English,more normal green
False,further/split,English,blue
False,equal/far,English,red
False,equal/far,English,green
False,closer/close,English,forest green
False,closer/close,English,copper
False,further/split,English,reddish gray
False,closer/close,English,hello
False,closer/close,English,dark green
False,equal/far,English,Hi!
False,equal/far,English,light blue
False,further/split,English,orange
False,closer/close,English,brown?
False,equal/far,English,gray
False,further/split,English,gray
False,further/split,English,olive green
False,further/split,English,purple
False,further/split,English,blue
False,closer/close,English,olive green
False,closer/close,English,blue
False,further/split,English,orange
False,further/split,English,green
False,further/split,English,green
False,closer/close,English,gray?
False,further/split,English,blue
False,closer/close,English,brown
False,closer/close,English,blue/green
False,equal/far,English,"Ack, sorry"
False,equal/far,English,blue
True,closer/close,English,"no problem, i don't think i'm giving the best descriptions"
False,closer/close,English,dark orange
False,further/split,English,yellow
False,closer/close,English,purple
False,closer/close,English,"Some are hard to see, haha"
False,closer/close,English,gray/blue
False,equal/far,English,my vocabulary is lacking
False,equal/far,English,otherwise i'd give accurate descriptions lol
False,equal/far,English,purple
False,equal/far,English,"No worries, you're doing great"
False,closer/close,English,blue/gray
False,closer/close,English,orange/red
False,equal/far,English,light blue
False,further/split,English,light green
False,further/split,English,olive green
False,further/split,English,purple
False,closer/close,English,bright pink
False,equal/far,English,dark blue
False,equal/far,English,light blue
False,closer/close,English,dark green
False,equal/far,English,yellow
False,equal/far,English,green
False,equal/far,English,orange
False,equal/far,English,green
False,closer/close,English,brown?
False,further/split,English,green/yellow
False,equal/far,English,brown
False,further/split,English,tan*
False,further/split,English,olive green
False,closer/close,English,bright purple
False,closer/close,English,dark green
False,equal/far,English,orange
False,further/split,English,bright purple
False,equal/far,English,bright purple
False,equal/far,English,green
False,equal/far,English,blue/green
False,equal/far,English,hope you have a wonderful day
False,further/split,English,You too! Thanks a bunch!
False,further/split,English,blue :D
False,closer/close,English,grey
False,further/split,English,brownish color
False,equal/far,English,gold
False,further/split,English,red
False,closer/close,English,grey
False,equal/far,English,gold
False,closer/close,English,neon green
False,closer/close,English,neon purple
False,equal/far,English,violet
False,further/split,English,darker blue
False,further/split,English,grey
False,equal/far,English,orange
False,further/split,English,green
False,further/split,English,grey
False,equal/far,English,tan
False,equal/far,English,green
False,closer/close,English,hi
False,closer/close,English,hi
False,closer/close,English,neon violet
False,equal/far,English,violet
False,further/split,English,pale green
False,equal/far,English,neon green
False,closer/close,English,brownish
False,closer/close,English,pale violet
False,further/split,English,neon pink
False,closer/close,English,dark blue
False,equal/far,English,violet
False,further/split,English,hi
False,further/split,English,pale teal
False,further/split,English,teal
False,further/split,English,sky blue looking or the darker one?
False,further/split,English,sky blue
False,further/split,English,purple
False,further/split,English,darker purple
False,further/split,English,brown
False,closer/close,English,dark green
False,closer/close,English,dark purple
False,equal/far,English,green
False,equal/far,English,purple
False,further/split,English,pale purple
False,closer/close,English,neon green
False,closer/close,English,golden green
False,equal/far,English,violet
False,equal/far,English,tan
False,further/split,English,darker green
False,further/split,English,more grey or mint green?
False,further/split,English,more grey
False,closer/close,English,lighter grey
False,equal/far,English,purplish blue
False,equal/far,English,red
False,closer/close,English,pea green
False,closer/close,English,brownish violet
False,closer/close,English,dark greyish violet
False,equal/far,English,gold
False,further/split,English,grey
False,equal/far,English,green
False,closer/close,English,grey
False,further/split,English,pale pink
False,further/split,English,purple is the object
False,further/split,English,purple is the object
False,closer/close,English,the blue-ish one
False,closer/close,English,lightest block
False,further/split,English,most olive green one
False,closer/close,English,most regular purple??
False,equal/far,English,green
False,closer/close,English,most brown looking one
False,equal/far,English,teal
False,further/split,English,faded blue
False,further/split,English,gray looking one
False,closer/close,English,brightest blue
False,closer/close,English,yellow-brown one
False,closer/close,English,olive green
False,equal/far,English,gray
False,further/split,English,light brown
False,further/split,English,the one that is a bit reddish or the other?
False,further/split,English,they both look siml
False,further/split,English,"sorry, brighter of the two"
False,equal/far,English,"sorry, they really look the same"
False,equal/far,English,blue
False,equal/far,English,green
False,equal/far,English,brown
False,further/split,English,gray
False,closer/close,English,one with most green in it
False,further/split,English,bright green
False,closer/close,English,most blue looking one
False,further/split,English,most gray
False,further/split,English,most yellowish one
False,closer/close,English,brightest
False,closer/close,English,darkest blue
False,closer/close,English,brightest green
False,further/split,English,flat purple
False,equal/far,English,orange
False,closer/close,English,bright pink
False,closer/close,English,rpurple
False,closer/close,English,light but flat pink
False,equal/far,English,red
False,further/split,English,brightest yellow
False,equal/far,English,purple
False,equal/far,English,purple
False,equal/far,English,most orange
False,equal/far,English,basic gray
False,closer/close,English,most gray of them
False,further/split,English,the most pinkish puple
False,equal/far,English,greenish one
False,further/split,English,flat brownish one
False,further/split,English,darker gray
False,equal/far,English,blue
False,further/split,English,yellowish brown
False,equal/far,English,light teal
False,equal/far,English,blue one
False,further/split,English,purple gray with no pink
False,closer/close,English,most blue
False,closer/close,English,"thanks, you got the hard job!"
False,further/split,English,hello
False,further/split,English,Hi
False,further/split,English,Target is green-blue square
False,closer/close,English,Target is darkest purple
False,further/split,English,Target is Magenta
False,closer/close,English,Magenta again
False,equal/far,English,Dark blue
False,further/split,English,Grayest one
False,further/split,English,Olive Green
False,further/split,English,Lime Green
False,equal/far,English,Purple
False,equal/far,English,Magenta
False,closer/close,English,Blue Gray
False,closer/close,English,Dull Purple
False,closer/close,English,Grayest one
False,closer/close,English,Bright Green
False,further/split,English,Blue
False,equal/far,English,Red
False,closer/close,English,Tan
False,further/split,English,Grass Green
False,further/split,English,Green
False,further/split,English,Tan
False,equal/far,English,Yellow
False,closer/close,English,grass green
False,equal/far,English,bright blue
False,further/split,English,gunmetal gray
False,equal/far,English,green
False,equal/far,English,red
False,further/split,English,bright purple
False,equal/far,English,yellow
False,further/split,English,yellow
False,further/split,English,yellow
False,further/split,English,gray
False,equal/far,English,purple
False,closer/close,English,dull green
False,equal/far,English,gray
False,equal/far,English,brown
False,closer/close,English,sky blue
False,closer/close,English,jungle green
False,closer/close,English,darker or lighter
False,closer/close,English,dullest one
False,closer/close,English,darker
False,equal/far,English,blue
False,further/split,English,lime green
False,further/split,English,purple
False,closer/close,English,"olive green, darker"
False,closer/close,English,bright blue
False,equal/far,English,green
False,closer/close,English,brightest blue
False,closer/close,English,darker or lighter
False,closer/close,English,lighter
False,closer/close,English,blue
False,equal/far,English,blue
False,equal/far,English,purple
False,closer/close,English,tan
False,further/split,English,green
False,equal/far,English,tan
False,closer/close,English,What is the target? Are you there
False,closer/close,English,"Yes, one sec the screen is all messed up!"
True,closer/close,English,This doesn't look right.
False,closer/close,English,Are you still there?
False,closer/close,English,"Yes, it is messed up over here too"
False,closer/close,English,It's too large over here
False,closer/close,English,Wow. . . Round #2 now up. Combination of three shades of green on my end.
False,closer/close,English,"yes, same here"
False,closer/close,English,same here
False,closer/close,English,my squares are huge!
False,closer/close,English,"Plus, the advancing is a mess"
True,closer/close,English,I am supposed to be able to click on the target but I can't
False,closer/close,English,Can you?
False,closer/close,English,Lol
False,closer/close,English,"no, I was waiting for you"
False,closer/close,English,I thought you left
False,closer/close,English,So I was contacting the requester as to what to do.
False,closer/close,English,I can try here
False,closer/close,English,So color
False,closer/close,English,Hints
True,closer/close,English,"The one that is dull, not vibrant"
False,equal/far,English,Yup. We got that one right!
False,equal/far,English,Very bright
False,equal/far,English,like the sun
False,equal/far,English,2 for 2 man! We're on a roll now!
True,equal/far,English,Or woman. . . Sorry if you're not male.
False,equal/far,English,woman
False,equal/far,English,no worries
False,equal/far,English,Whew. . . Boy do I feel silly. Anyhow.
False,equal/far,English,"very, bright, like hot"
False,equal/far,English,color
True,closer/close,English,"no, lol, don't feel silly"
False,closer/close,English,3 in a row!
False,closer/close,English,real dull army color
False,closer/close,English,electric
False,further/split,English,um
False,further/split,English,Opps. I took electric as deep purple. My bad.
False,further/split,English,lol
False,further/split,English,this one is like an herb
True,further/split,English,not bright
False,further/split,English,fragrence
True,further/split,English,not bright
False,further/split,English,Missed again. . .
False,further/split,English,very toned done
False,further/split,English,down
False,closer/close,English,um
False,closer/close,English,well
False,closer/close,English,Back on track. Got that one. This one is going to be tough.
False,closer/close,English,darker?
False,closer/close,English,like baby poop
False,closer/close,English,That was too close to call. I missed again. You're doing well. . .
False,equal/far,English,the one that is most purple
False,equal/far,English,That is funny. . . My baby pooped darker green.
False,equal/far,English,lol
False,equal/far,English,We score again!
False,equal/far,English,yes!
False,equal/far,English,bright
False,equal/far,English,2 in a row again!
False,equal/far,English,mint
False,equal/far,English,Tres` Amigos!
False,equal/far,English,brown
False,closer/close,English,Four!
False,closer/close,English,lighter blue
False,closer/close,English,Uh oh. . . another toughie. . .
False,closer/close,English,right
False,equal/far,English,hot pink
False,equal/far,English,But we score!
False,further/split,English,That was easy!
False,further/split,English,most purple
False,further/split,English,grape
False,equal/far,English,turquoise
False,equal/far,English,Another easy one? We've got like at least 6 in row. Make that 7.
False,closer/close,English,purple
False,closer/close,English,Not blue?
False,further/split,English,neon
False,further/split,English,green
False,further/split,English,dull purple
False,closer/close,English,brighter blue
False,closer/close,English,I know that is at least 10 in row. . . We're hot now!
False,closer/close,English,baby bluish
False,equal/far,English,grey
False,equal/far,English,"Ah, I went with the wrong blue. . ."
False,closer/close,English,it's ok
False,closer/close,English,Got that one.
False,closer/close,English,hard
False,closer/close,English,bluest
False,further/split,English,a bit of green
False,equal/far,English,purple
False,closer/close,English,more brownish
False,closer/close,English,We're back on target. . . Now the greenie beanies again!
False,closer/close,English,yes
False,closer/close,English,grey
False,closer/close,English,Nice call on the brownish.
False,equal/far,English,blue
False,further/split,English,most orange
False,equal/far,English,grey
False,further/split,English,grey
False,further/split,English,turquoise
False,closer/close,English,sorry
False,closer/close,English,blue
False,closer/close,English,"No, I clicked on the wrong box."
False,equal/far,English,blue
False,equal/far,English,greenish
False,equal/far,English,purple
False,further/split,English,light purple
False,equal/far,English,green
False,further/split,English,dull purple
False,closer/close,English,orangish
False,further/split,English,dull blue
False,further/split,English,lavender
False,closer/close,English,Opps! My mistake again.
False,closer/close,English,bright purple
False,closer/close,English,it's ok
False,further/split,English,bright green
False,further/split,English,bright green
False,further/split,English,2 more!
False,further/split,English,yellowist
False,further/split,English,yeah!
False,equal/far,English,greenist
False,equal/far,English,blue
False,closer/close,English,dark gray
False,equal/far,English,pea green
False,equal/far,English,turquise
False,further/split,English,deep purple
False,closer/close,English,light salmon
False,further/split,English,purple
False,further/split,English,ash gray
False,closer/close,English,bright lime green
False,closer/close,English,less bright lime green
False,further/split,English,lime green
False,closer/close,English,faded pink
False,equal/far,English,sky blue
False,closer/close,English,pea green
False,further/split,English,slate
False,equal/far,English,green
False,closer/close,English,purple slate
False,further/split,English,pink
False,equal/far,English,green
False,closer/close,English,gray
False,further/split,English,light blue
False,equal/far,English,blue
False,further/split,English,slate
True,closer/close,English,purple but not the darker one
False,closer/close,English,the nweird one
False,closer/close,English,turquise green
False,closer/close,English,purple
False,further/split,English,dark blue
False,equal/far,English,turquise
False,further/split,English,ash
False,closer/close,English,the darkest one
False,equal/far,English,pink
False,further/split,English,light blue
False,equal/far,English,purple
False,closer/close,English,bright purple
False,equal/far,English,yellow/green
False,equal/far,English,blue
False,further/split,English,bright pink
False,further/split,English,the weird one
False,equal/far,English,green one
False,closer/close,English,dark blue
False,further/split,English,light brown
False,equal/far,English,pink
False,further/split,English,weird one
False,closer/close,English,dark green
False,further/split,English,slate
False,equal/far,English,pink
False,equal/far,English,purple
False,closer/close,English,faded pink
False,equal/far,English,orange/bronw
False,further/split,English,hello?
False,further/split,English,r u there?
False,further/split,English,hey
False,further/split,English,hi
False,further/split,English,how are you?
False,further/split,English,"groovy, ty. let's go"
False,further/split,English,so the one highlighted is the purple
True,closer/close,English,"purple again, kind of a bright purple, not the pink one though"
False,closer/close,English,nice!
False,closer/close,English,"this one is kind of gold, whereas the other two are more orange"
False,further/split,English,"blue, kind of a bright one"
False,closer/close,English,bright green
False,closer/close,English,awesome descriptions
False,closer/close,English,"pink, the brighter of the two"
False,closer/close,English,brownish-tan
False,further/split,English,"blue, the lighter of the two"
False,further/split,English,"tealish, the one that looks duller, more green in it"
False,equal/far,English,bright green
True,closer/close,English,"purple, not the pinks"
False,further/split,English,grey
False,closer/close,English,blue
False,closer/close,English,u r much better at this than I would be
False,equal/far,English,pink
False,equal/far,English,green
True,further/split,English,"the blue-ish purple one, not the plum one"
False,equal/far,English,plum
False,equal/far,English,"yellowish green, super bright"
True,closer/close,English,"blue, the lighter of the two bright ones, not the dull blueish gray one"
True,closer/close,English,"grey, not the plum one"
False,closer/close,English,nice!
False,further/split,English,bright yellow-green
False,further/split,English,"purple, kind of plumish"
False,closer/close,English,"green, the darkest of the three."
False,equal/far,English,purple
False,further/split,English,you rock!
False,further/split,English,purple
False,equal/far,English,pink
False,closer/close,English,"yellow-green, the brighter of the two like it"
False,closer/close,English,"same green as a few ago, the darkest of the three"
True,equal/far,English,"green, sea foam kind, not the bright green"
False,further/split,English,great
False,further/split,English,grey
False,closer/close,English,blue
False,further/split,English,"plum, the lighter of the two close"
False,further/split,English,"ah, my bad,"
False,further/split,English,"red, bright"
False,equal/far,English,pink
True,equal/far,English,I can't believe we got that far
False,further/split,English,bright green
True,further/split,English,not the brightest green but the other green one.  kind of a green-yellow really
False,equal/far,English,green
False,equal/far,English,u rule!
False,equal/far,English,purple/plum
False,equal/far,English,green/yellow
False,closer/close,English,"blue.  this one is kind of hard, its the least green one."
False,closer/close,English,nice!
False,further/split,English,"puple/plum, more plum"
True,closer/close,English,"dull pink, not the super bright one"
False,equal/far,English,purple
False,further/split,English,bright pink
False,equal/far,English,green/sea foam ish
False,equal/far,English,almost home!
False,equal/far,English,green/tan
False,equal/far,English,blue
False,equal/far,English,green
False,equal/far,English,sea foam
False,further/split,English,It's the grey one
False,equal/far,English,It's the green one
False,further/split,English,Purple
False,further/split,English,Dark purple/amethyst
False,closer/close,English,Kind of greyish
False,equal/far,English,Purple
False,closer/close,English,The bright Easter green
True,further/split,English,The bright purple; not the darker tone
False,further/split,English,Blue/grey
True,further/split,English,"Muted purple, not the brighter one"
False,closer/close,English,Bright purple/pink one
False,closer/close,English,The bright blue
False,equal/far,English,Green
False,further/split,English,Bright orange
True,further/split,English,"The real purple shade, not the purple/blue"
False,further/split,English,Darker blue
True,closer/close,English,"The blue shade, not the purple or violet"
False,further/split,English,Yellow
False,closer/close,English,"The icky green with a hint of brown, the lighter of the three"
False,equal/far,English,Bright pink
False,equal/far,English,Blue
False,further/split,English,Real purple/amethyst shade
True,closer/close,English,"The medium green, not the lighter or darker shades"
False,closer/close,English,The brighest purple
False,closer/close,English,The lighter grey/green shade with the most green tones in it
False,equal/far,English,Green
False,closer/close,English,"The bright green, like Easter grass"
False,equal/far,English,The muted green
False,further/split,English,Blue
False,closer/close,English,The darker purple
False,equal/far,English,Yellow
False,further/split,English,The bright blue
False,further/split,English,The more muted purple/blue shade
False,closer/close,English,The yellow/green mustard color
False,equal/far,English,Blue
False,equal/far,English,Teal - green/blue
False,closer/close,English,Grey
False,equal/far,English,Blue - like the ocean
False,further/split,English,Light blue/grey color
False,equal/far,English,Yellow
False,closer/close,English,The more muted green that's slightly darker
False,closer/close,English,"The darkest color, kind of like steel that's been weathered"
False,closer/close,English,The really bright purple
False,equal/far,English,Teal
False,further/split,English,The muted green like Army
False,equal/far,English,Purple/blue
False,equal/far,English,Purple
False,closer/close,English,Brown
False,further/split,English,The icky green/yellow
False,equal/far,English,Orange
False,further/split,English,purple
False,closer/close,English,light orange
False,equal/far,English,weird purple
False,closer/close,English,sky blue
False,further/split,English,bright pinkish
False,closer/close,English,duller green
False,closer/close,English,brightest pink
False,further/split,English,dullest green
False,equal/far,English,pink
False,closer/close,English,most grey
False,further/split,English,blue
False,further/split,English,grey without blue
False,closer/close,English,brightest pink
False,closer/close,English,darkest blue
False,further/split,English,brightest pink
False,closer/close,English,grey without any blue
False,further/split,English,just grey no purple
False,equal/far,English,yellow
False,equal/far,English,yellow
False,equal/far,English,army green
False,closer/close,English,green no blue or grey
True,closer/close,English,blue not grey or purple
False,closer/close,English,lightest shade
False,equal/far,English,green bright
False,equal/far,English,brown
False,equal/far,English,bright blue
False,further/split,English,grey darker
False,equal/far,English,green
False,equal/far,English,grass green
False,further/split,English,turquoise blue
False,further/split,English,bluish purple
True,further/split,English,not bright pink or blue
False,equal/far,English,bright blue
False,further/split,English,weird brownish pink
False,equal/far,English,most green
False,further/split,English,really green
True,closer/close,English,green that is not yellowish or brownish
True,further/split,English,bluish purple not true blue
False,equal/far,English,red
False,equal/far,English,grey
False,closer/close,English,most green
False,closer/close,English,"most blue, least purple"
False,closer/close,English,greenish blue without yellow tone
