specificity,Condition,Language,Message
0,further/split,English,darker orange
0,further/split,English,dark green
0,closer/close,English,middle green
0,equal/far,English,darkest color
0,equal/far,English,blue
0,equal/far,English,orange
0,equal/far,English,blue
0,closer/close,English,blue
0,equal/far,English,purple
0,further/split,English,bright purple
0,equal/far,English,reddish
0,closer/close,English,bluest purple
0,equal/far,English,green
0,further/split,English,bluest green
0,equal/far,English,bright green
0,closer/close,English,darker olive
1,further/split,English,bright teal
1,further/split,English,magenta
0,closer/close,English,darkest green
0,equal/far,English,brown
0,equal/far,English,grey
0,closer/close,English,light blue
0,closer/close,English,neon green
0,closer/close,English,brown
0,further/split,English,blue
0,equal/far,English,red
0,further/split,English,greenest
0,further/split,English,your dumb. this one is dark blue
0,closer/close,English,middle green
0,further/split,English,brown
0,equal/far,English,blue
1,closer/close,English,magenta
0,closer/close,English,dark grey
0,equal/far,English,DARK YOU IDIOT. This one is orange
0,closer/close,English,dark purple
0,equal/far,English,green
0,further/split,English,purple
0,further/split,English,lime green
0,closer/close,English,purplish
1,equal/far,English,teal
0,equal/far,English,purple
0,closer/close,English,darker blue
0,further/split,English,green
0,equal/far,English,brown
0,closer/close,English,grey
0,closer/close,English,darker green
1,equal/far,English,tan orange
0,equal/far,English,green
1,equal/far,English,ugly tan
0,further/split,English,green
0,further/split,English,lesser purple
0,equal/far,English,pink
0,further/split,English,red
0,equal/far,English,yellow
0,further/split,English,dark purple
0,further/split,English,orange
0,closer/close,English,darker purple
0,closer/close,English,bluish grey
0,closer/close,English,dark purple
0,further/split,English,grey
0,further/split,English,purple
0,further/split,English,green
0,closer/close,English,grey
0,closer/close,English,medium green
0,further/split,English,blue grey
0,equal/far,English,purple grey
0,closer/close,English,darkest green
1,closer/close,English,teal
0,equal/far,English,orange
0,equal/far,English,orange
0,equal/far,English,grey
0,further/split,English,pink
0,closer/close,English,meduim green
1,closer/close,English,teal
0,further/split,English,brownish yellow
0,further/split,English,blue
0,closer/close,English,bright blue
0,closer/close,English,pink puirple
0,closer/close,English,darkest blue
0,closer/close,English,blue
0,equal/far,English,green
0,further/split,English,darkest blue
0,equal/far,English,purple
0,equal/far,English,blue
0,further/split,English,Gray Box
0,equal/far,English,Gray Box
0,further/split,English,Gray Box
0,further/split,English,you can just put the color if you'd like. less typing?
1,further/split,English,Navy Blue
0,further/split,English,Blue
0,equal/far,English,Greenish
0,closer/close,English,Brightest Color
0,closer/close,English,Lighter Blue
0,equal/far,English,Green
0,closer/close,English,Most Gray
0,further/split,English,Darker Green
0,further/split,English,Brighter Green
0,closer/close,English,Yellow
0,closer/close,English,Purple
0,closer/close,English,Purple
0,closer/close,English,Darker Blue
0,closer/close,English,Brighter Grayish Green
0,equal/far,English,Pink
0,equal/far,English,Red
0,equal/far,English,Grayish
0,closer/close,English,Pink
0,equal/far,English,Green
0,further/split,English,Orange
0,closer/close,English,Darker Purple
0,equal/far,English,Orange
0,closer/close,English,Darker Brown
0,further/split,English,Darker Grayish Blue
0,closer/close,English,Darker Purple
0,closer/close,English,Green'ish Gray
0,equal/far,English,Blue
0,equal/far,English,blue??
0,equal/far,English,i see gren grey and purple
0,equal/far,English,Purple ish maybe
0,further/split,English,Brightest Purple
0,equal/far,English,Blue
0,further/split,English,Gray
0,closer/close,English,brown
0,equal/far,English,Green
0,further/split,English,Grayish Purple
0,further/split,English,Green
0,further/split,English,lighter green
0,equal/far,English,Brown
0,equal/far,English,Green
0,equal/far,English,Blue
0,further/split,English,Green
0,further/split,English,Yellow
0,further/split,English,Greenish gray
0,equal/far,English,Regular Blue
0,closer/close,English,Purple Gray
0,equal/far,English,Not Green or Blue
0,closer/close,English,Regular Blue
0,equal/far,English,Blue
0,equal/far,English,green
0,closer/close,English,brown
0,further/split,English,purple
0,equal/far,English,blue
0,further/split,English,green
0,closer/close,English,normal blue
0,closer/close,English,grayish purple
0,further/split,English,bluish green
1,further/split,English,tan
0,equal/far,English,blue
0,closer/close,English,purple
0,equal/far,English,gray
0,equal/far,English,green
0,further/split,English,gray
0,equal/far,English,purple
0,equal/far,English,blue
0,further/split,English,blue
0,equal/far,English,purple
0,closer/close,English,purple
0,closer/close,English,forest green
0,further/split,English,purple
0,equal/far,English,brown
0,closer/close,English,lighter purple
0,further/split,English,blue
0,further/split,English,darker green
0,closer/close,English,purple
1,further/split,English,copper
0,further/split,English,blue
0,equal/far,English,green
0,further/split,English,gray
0,further/split,English,brighter red
0,closer/close,English,brighter green
0,equal/far,English,pink
0,further/split,English,gray
0,equal/far,English,blue
0,further/split,English,darker green
0,closer/close,English,darker blue
0,closer/close,English,pastel green
0,equal/far,English,gray
0,equal/far,English,greenish gray
0,closer/close,English,darker green
0,closer/close,English,grayish green
0,closer/close,English,green
0,closer/close,English,more normal green
0,further/split,English,blue
0,equal/far,English,red
0,equal/far,English,green
0,closer/close,English,forest green
1,closer/close,English,copper
0,further/split,English,reddish gray
0,closer/close,English,dark green
0,equal/far,English,light blue
0,further/split,English,orange
0,closer/close,English,brown?
0,equal/far,English,gray
0,further/split,English,gray
0,further/split,English,olive green
0,further/split,English,purple
0,further/split,English,blue
0,closer/close,English,olive green
0,closer/close,English,blue
0,further/split,English,orange
0,further/split,English,green
0,further/split,English,green
0,closer/close,English,gray?
0,further/split,English,blue
0,closer/close,English,brown
0,equal/far,English,blue
0,closer/close,English,dark orange
0,further/split,English,yellow
0,closer/close,English,purple
0,equal/far,English,purple
0,equal/far,English,light blue
0,further/split,English,light green
0,further/split,English,olive green
0,further/split,English,purple
0,closer/close,English,bright pink
0,equal/far,English,dark blue
0,equal/far,English,light blue
0,closer/close,English,dark green
0,equal/far,English,yellow
0,equal/far,English,green
0,equal/far,English,orange
0,equal/far,English,green
0,closer/close,English,brown?
0,equal/far,English,brown
0,further/split,English,olive green
0,closer/close,English,bright purple
0,closer/close,English,dark green
0,equal/far,English,orange
0,further/split,English,bright purple
0,equal/far,English,bright purple
0,equal/far,English,green
0,further/split,English,blue :D
0,closer/close,English,grey
0,further/split,English,brownish color
1,equal/far,English,gold
0,further/split,English,red
0,closer/close,English,grey
1,equal/far,English,gold
0,closer/close,English,neon green
0,closer/close,English,neon purple
1,equal/far,English,violet
0,further/split,English,darker blue
0,further/split,English,grey
0,equal/far,English,orange
0,further/split,English,green
0,further/split,English,grey
1,equal/far,English,tan
0,equal/far,English,green
1,closer/close,English,neon violet
1,equal/far,English,violet
0,further/split,English,pale green
0,equal/far,English,neon green
0,closer/close,English,brownish
1,closer/close,English,pale violet
0,further/split,English,neon pink
0,closer/close,English,dark blue
1,equal/far,English,violet
1,further/split,English,pale teal
1,further/split,English,teal
0,further/split,English,sky blue looking or the darker one?
0,further/split,English,sky blue
0,further/split,English,purple
0,further/split,English,darker purple
0,further/split,English,brown
0,closer/close,English,dark green
0,closer/close,English,dark purple
0,equal/far,English,green
0,equal/far,English,purple
0,further/split,English,pale purple
0,closer/close,English,neon green
1,closer/close,English,golden green
1,equal/far,English,violet
1,equal/far,English,tan
0,further/split,English,darker green
0,further/split,English,more grey or mint green?
0,further/split,English,more grey
0,closer/close,English,lighter grey
0,equal/far,English,purplish blue
0,equal/far,English,red
0,closer/close,English,pea green
1,closer/close,English,brownish violet
1,closer/close,English,dark greyish violet
1,equal/far,English,gold
0,further/split,English,grey
0,equal/far,English,green
0,closer/close,English,grey
0,further/split,English,pale pink
0,further/split,English,purple is the object
0,further/split,English,purple is the object
0,further/split,English,most olive green one
0,closer/close,English,most regular purple??
0,equal/far,English,green
0,closer/close,English,most brown looking one
1,equal/far,English,teal
0,further/split,English,faded blue
0,further/split,English,gray looking one
0,closer/close,English,brightest blue
1,closer/close,English,yellow-brown one
0,closer/close,English,olive green
0,equal/far,English,gray
0,further/split,English,light brown
0,further/split,English,the one that is a bit reddish or the other?
0,equal/far,English,blue
0,equal/far,English,green
0,equal/far,English,brown
0,further/split,English,gray
0,closer/close,English,one with most green in it
0,further/split,English,bright green
0,closer/close,English,most blue looking one
0,further/split,English,most gray
0,further/split,English,most yellowish one
0,closer/close,English,darkest blue
0,closer/close,English,brightest green
0,further/split,English,flat purple
0,equal/far,English,orange
0,closer/close,English,bright pink
0,closer/close,English,light but flat pink
0,equal/far,English,red
0,further/split,English,brightest yellow
0,equal/far,English,purple
0,equal/far,English,purple
0,equal/far,English,most orange
0,equal/far,English,basic gray
0,closer/close,English,most gray of them
0,further/split,English,the most pinkish puple
0,equal/far,English,greenish one
0,further/split,English,flat brownish one
0,further/split,English,darker gray
0,equal/far,English,blue
0,further/split,English,yellowish brown
1,equal/far,English,light teal
0,equal/far,English,blue one
0,further/split,English,purple gray with no pink
0,closer/close,English,most blue
0,closer/close,English,Target is darkest purple
1,further/split,English,Target is Magenta
1,closer/close,English,Magenta again
0,equal/far,English,Dark blue
0,further/split,English,Grayest one
0,further/split,English,Olive Green
0,further/split,English,Lime Green
0,equal/far,English,Purple
1,equal/far,English,Magenta
0,closer/close,English,Blue Gray
0,closer/close,English,Dull Purple
0,closer/close,English,Grayest one
0,closer/close,English,Bright Green
0,further/split,English,Blue
0,equal/far,English,Red
1,closer/close,English,Tan
0,further/split,English,Grass Green
0,further/split,English,Green
1,further/split,English,Tan
0,equal/far,English,Yellow
0,closer/close,English,grass green
0,equal/far,English,bright blue
0,further/split,English,gunmetal gray
0,equal/far,English,green
0,equal/far,English,red
0,further/split,English,bright purple
0,equal/far,English,yellow
0,further/split,English,yellow
0,further/split,English,yellow
0,further/split,English,gray
0,equal/far,English,purple
0,closer/close,English,dull green
0,equal/far,English,gray
0,equal/far,English,brown
0,closer/close,English,sky blue
0,closer/close,English,jungle green
0,closer/close,English,darker or lighter
0,closer/close,English,darker
0,equal/far,English,blue
0,further/split,English,lime green
0,further/split,English,purple
0,closer/close,English,"olive green, darker"
0,closer/close,English,bright blue
0,equal/far,English,green
0,closer/close,English,brightest blue
0,closer/close,English,darker or lighter
0,closer/close,English,blue
0,equal/far,English,blue
0,equal/far,English,purple
1,closer/close,English,tan
0,further/split,English,green
1,equal/far,English,tan
0,closer/close,English,Wow. . . Round #2 now up. Combination of three shades of green on my end.
0,closer/close,English,So color
0,equal/far,English,color
0,closer/close,English,real dull army color
0,further/split,English,Opps. I took electric as deep purple. My bad.
0,closer/close,English,darker?
0,equal/far,English,the one that is most purple
0,equal/far,English,That is funny. . . My baby pooped darker green.
0,equal/far,English,brown
0,closer/close,English,lighter blue
0,equal/far,English,hot pink
0,further/split,English,most purple
1,equal/far,English,turquoise
0,closer/close,English,purple
0,closer/close,English,Not blue?
0,further/split,English,green
0,further/split,English,dull purple
0,closer/close,English,brighter blue
0,closer/close,English,baby bluish
0,equal/far,English,grey
0,equal/far,English,"Ah, I went with the wrong blue. . ."
0,closer/close,English,bluest
0,further/split,English,a bit of green
0,equal/far,English,purple
0,closer/close,English,more brownish
0,closer/close,English,grey
0,closer/close,English,Nice call on the brownish.
0,equal/far,English,blue
0,further/split,English,most orange
0,equal/far,English,grey
0,further/split,English,grey
1,further/split,English,turquoise
0,closer/close,English,blue
0,equal/far,English,blue
0,equal/far,English,greenish
0,equal/far,English,purple
0,further/split,English,light purple
0,equal/far,English,green
0,further/split,English,dull purple
0,closer/close,English,orangish
0,further/split,English,dull blue
1,further/split,English,lavender
0,closer/close,English,bright purple
0,further/split,English,bright green
0,further/split,English,bright green
0,equal/far,English,blue
0,closer/close,English,dark gray
0,equal/far,English,pea green
0,further/split,English,deep purple
0,closer/close,English,light salmon
0,further/split,English,purple
0,further/split,English,ash gray
0,closer/close,English,bright lime green
0,closer/close,English,less bright lime green
0,further/split,English,lime green
0,closer/close,English,faded pink
0,equal/far,English,sky blue
0,closer/close,English,pea green
0,equal/far,English,green
0,closer/close,English,purple slate
0,further/split,English,pink
0,equal/far,English,green
0,closer/close,English,gray
0,further/split,English,light blue
0,equal/far,English,blue
0,closer/close,English,purple but not the darker one
0,closer/close,English,turquise green
0,closer/close,English,purple
0,further/split,English,dark blue
0,closer/close,English,the darkest one
0,equal/far,English,pink
0,further/split,English,light blue
0,equal/far,English,purple
0,closer/close,English,bright purple
0,equal/far,English,blue
0,further/split,English,bright pink
0,equal/far,English,green one
0,closer/close,English,dark blue
0,further/split,English,light brown
0,equal/far,English,pink
0,closer/close,English,dark green
0,equal/far,English,pink
0,equal/far,English,purple
0,closer/close,English,faded pink
0,further/split,English,so the one highlighted is the purple
0,closer/close,English,"purple again, kind of a bright purple, not the pink one though"
1,closer/close,English,"this one is kind of gold, whereas the other two are more orange"
0,further/split,English,"blue, kind of a bright one"
0,closer/close,English,bright green
0,closer/close,English,"pink, the brighter of the two"
0,further/split,English,"blue, the lighter of the two"
0,further/split,English,"tealish, the one that looks duller, more green in it"
0,equal/far,English,bright green
0,closer/close,English,"purple, not the pinks"
0,further/split,English,grey
0,closer/close,English,blue
0,equal/far,English,pink
0,equal/far,English,green
0,further/split,English,"the blue-ish purple one, not the plum one"
0,equal/far,English,"yellowish green, super bright"
0,closer/close,English,"blue, the lighter of the two bright ones, not the dull blueish gray one"
0,closer/close,English,"grey, not the plum one"
0,further/split,English,"purple, kind of plumish"
0,closer/close,English,"green, the darkest of the three."
0,equal/far,English,purple
0,further/split,English,purple
0,equal/far,English,pink
0,closer/close,English,"same green as a few ago, the darkest of the three"
0,equal/far,English,"green, sea foam kind, not the bright green"
0,further/split,English,grey
0,closer/close,English,blue
0,further/split,English,"red, bright"
0,equal/far,English,pink
0,further/split,English,bright green
0,further/split,English,not the brightest green but the other green one.  kind of a green-yellow really
0,equal/far,English,green
0,closer/close,English,"blue.  this one is kind of hard, its the least green one."
0,closer/close,English,"dull pink, not the super bright one"
0,equal/far,English,purple
0,further/split,English,bright pink
0,equal/far,English,blue
0,equal/far,English,green
0,further/split,English,It's the grey one
0,equal/far,English,It's the green one
0,further/split,English,Purple
0,closer/close,English,Kind of greyish
0,equal/far,English,Purple
0,closer/close,English,The bright Easter green
0,further/split,English,The bright purple; not the darker tone
0,further/split,English,"Muted purple, not the brighter one"
0,closer/close,English,The bright blue
0,equal/far,English,Green
0,further/split,English,Bright orange
0,further/split,English,"The real purple shade, not the purple/blue"
0,further/split,English,Darker blue
1,closer/close,English,"The blue shade, not the purple or violet"
0,further/split,English,Yellow
0,closer/close,English,"The icky green with a hint of brown, the lighter of the three"
0,equal/far,English,Bright pink
0,equal/far,English,Blue
0,further/split,English,Real purple/amethyst shade
0,closer/close,English,"The medium green, not the lighter or darker shades"
0,closer/close,English,The brighest purple
0,closer/close,English,The lighter grey/green shade with the most green tones in it
0,equal/far,English,Green
0,closer/close,English,"The bright green, like Easter grass"
0,equal/far,English,The muted green
0,further/split,English,Blue
0,closer/close,English,The darker purple
0,equal/far,English,Yellow
0,further/split,English,The bright blue
0,further/split,English,The more muted purple/blue shade
0,closer/close,English,The yellow/green mustard color
0,equal/far,English,Blue
1,equal/far,English,Teal - green/blue
0,closer/close,English,Grey
0,equal/far,English,Blue - like the ocean
0,further/split,English,Light blue/grey color
0,equal/far,English,Yellow
0,closer/close,English,The more muted green that's slightly darker
0,closer/close,English,"The darkest color, kind of like steel that's been weathered"
0,closer/close,English,The really bright purple
1,equal/far,English,Teal
0,further/split,English,The muted green like Army
0,equal/far,English,Purple
0,closer/close,English,Brown
0,equal/far,English,Orange
0,further/split,English,purple
0,closer/close,English,light orange
0,equal/far,English,weird purple
0,closer/close,English,sky blue
0,further/split,English,bright pinkish
0,closer/close,English,duller green
0,closer/close,English,brightest pink
0,further/split,English,dullest green
0,equal/far,English,pink
0,closer/close,English,most grey
0,further/split,English,blue
0,further/split,English,grey without blue
0,closer/close,English,brightest pink
0,closer/close,English,darkest blue
0,further/split,English,brightest pink
0,closer/close,English,grey without any blue
0,further/split,English,just grey no purple
0,equal/far,English,yellow
0,equal/far,English,yellow
0,equal/far,English,army green
0,closer/close,English,green no blue or grey
0,closer/close,English,blue not grey or purple
0,closer/close,English,lightest shade
0,equal/far,English,green bright
0,equal/far,English,brown
0,equal/far,English,bright blue
0,further/split,English,grey darker
0,equal/far,English,green
0,equal/far,English,grass green
1,further/split,English,turquoise blue
0,further/split,English,bluish purple
0,further/split,English,not bright pink or blue
0,equal/far,English,bright blue
0,further/split,English,weird brownish pink
0,equal/far,English,most green
0,further/split,English,really green
0,closer/close,English,green that is not yellowish or brownish
0,further/split,English,bluish purple not true blue
0,equal/far,English,red
0,equal/far,English,grey
0,closer/close,English,most green
0,closer/close,English,"most blue, least purple"
0,closer/close,English,greenish blue without yellow tone
0,equal/far,English,green
0,further/split,English,army green
0,equal/far,English,least bright purplish grey
0,closer/close,English,bright grass green
0,further/split,English,blue
0,equal/far,English,blue
1,closer/close,English,brown not orangish and not the lightest tan
0,further/split,English,bright green
0,further/split,English,darker pink
0,equal/far,English,green
0,equal/far,English,pink
0,further/split,English,red
0,equal/far,English,orange
0,further/split,English,brighter pink
0,closer/close,English,purply blue
1,equal/far,English,mauve
0,further/split,English,dusty pink
0,closer/close,English,Wonder if the colors are calibrated differently for each of us
0,closer/close,English,"Not the brownish one, right?"
0,closer/close,English,"right not the clearly brown, not the vibrant mustard"
0,closer/close,English,pinkish
0,further/split,English,turquoisey green
0,further/split,English,grey
1,equal/far,English,teal
0,further/split,English,grey blue
1,further/split,English,dusty mauve
0,further/split,English,pea green
0,equal/far,English,yellow
0,closer/close,English,least vibrant green
0,equal/far,English,green
0,closer/close,English,mostly purple (not grey not blue)
0,closer/close,English,blue
0,further/split,English,"more blue green, not the darker pea green"
0,equal/far,English,green
0,equal/far,English,grey
0,equal/far,English,blue
0,further/split,English,"lol... the medium shade, not the light not the deep"
0,equal/far,English,purple
0,closer/close,English,pea green
0,equal/far,English,grey
0,further/split,English,brown
0,equal/far,English,orange
0,equal/far,English,blue
0,closer/close,English,orange
0,further/split,English,"grey-blue, not hte green leaning"
1,closer/close,English,"orchid, not mauve not hot pink"
0,closer/close,English,"no, the purple leaning one"
0,closer/close,English,"brown, and good job!"
0,closer/close,English,"not the pea-ish green, not the neon yellowish one,"
1,closer/close,English,Leaning turquoise?
0,closer/close,English,"orange, not salmon"
0,closer/close,English,"brown, not leaning yellow, more grey leaning"
0,equal/far,English,orange
0,further/split,English,purple
0,further/split,English,purple
0,closer/close,English,green
0,equal/far,English,blue
0,closer/close,English,brightest yellow leaning green
0,closer/close,English,"the grey leaning pink, more muted"
1,further/split,English,boring drab
0,further/split,English,not blue or gray
0,further/split,English,darker purple
0,closer/close,English,gray
1,closer/close,English,drab
1,closer/close,English,drab
0,closer/close,English,pale yellow
0,closer/close,English,gray
0,equal/far,English,gray
0,equal/far,English,pink
0,further/split,English,yellow
0,closer/close,English,brighter pink
0,closer/close,English,darker blue
0,closer/close,English,green
0,closer/close,English,purple
0,equal/far,English,blue
0,further/split,English,green
0,equal/far,English,blue
0,further/split,English,brown?
0,equal/far,English,purple
0,equal/far,English,light blue
0,closer/close,English,dull green
0,further/split,English,dark blue
0,equal/far,English,green
0,equal/far,English,brown
0,closer/close,English,medium blue
0,further/split,English,green
0,closer/close,English,dull green
0,equal/far,English,dull gray
0,further/split,English,gray
0,further/split,English,grey
0,closer/close,English,light green
0,equal/far,English,purple
0,further/split,English,grey
0,further/split,English,grey
1,further/split,English,gold
0,equal/far,English,purple
0,closer/close,English,pink
0,further/split,English,blue
0,further/split,English,pink
0,further/split,English,bright green
0,closer/close,English,pink
0,equal/far,English,yellow
0,equal/far,English,green
0,further/split,English,yellow
0,equal/far,English,yellow
0,equal/far,English,grey
0,closer/close,English,green
0,closer/close,English,purple
0,equal/far,English,green
0,closer/close,English,dark green
0,closer/close,English,green
0,equal/far,English,pink
0,closer/close,English,dark purple
0,closer/close,English,light blue
0,equal/far,English,purple
0,further/split,English,yellow
0,equal/far,English,red
0,further/split,English,pink
0,equal/far,English,grey
0,closer/close,English,bright green
0,further/split,English,blue
0,equal/far,English,yellow
0,further/split,English,pink
0,further/split,English,green
0,closer/close,English,green
0,further/split,English,bright blue
0,equal/far,English,purple
0,equal/far,English,purple
0,equal/far,English,green
0,equal/far,English,blue
0,closer/close,English,green
0,further/split,English,green
0,closer/close,English,pink
0,equal/far,English,green
0,closer/close,English,grey
0,closer/close,English,dark blue
0,further/split,English,light color
0,further/split,English,lighter blue
0,equal/far,English,bright color
0,equal/far,English,grass color
0,equal/far,English,girl color
0,equal/far,English,girl color
0,further/split,English,muted color
0,further/split,English,slightly lighter green
0,closer/close,English,yellow ish color
0,further/split,English,brighter pink
0,closer/close,English,blue color
0,further/split,English,brightest color
0,equal/far,English,matte pink
0,closer/close,English,dullest color
0,equal/far,English,light green
0,equal/far,English,pink
0,further/split,English,pink
1,further/split,English,bright teal
0,equal/far,English,redish color
0,further/split,English,brightest color
0,closer/close,English,slightly green ish yellow grey
0,further/split,English,matte green
0,further/split,English,purple
0,further/split,English,blue purple
0,further/split,English,purple
0,equal/far,English,pink
0,further/split,English,pink
0,closer/close,English,dullest color
0,closer/close,English,purple ish color
0,equal/far,English,green ish color
0,closer/close,English,mid range green
0,equal/far,English,orange
0,closer/close,English,bright pink
0,further/split,English,yellow
0,equal/far,English,orange
0,closer/close,English,bright yellow green
0,equal/far,English,grey
0,closer/close,English,brightest color
0,closer/close,English,dullest color
0,closer/close,English,brightest color
0,closer/close,English,dull pink
0,equal/far,English,blue
0,further/split,English,dull yellow
0,closer/close,English,blue ish purple
0,equal/far,English,purple
0,closer/close,English,pink
0,further/split,English,dull pink
0,equal/far,English,pink
0,closer/close,English,birght neon pink
0,equal/far,English,dull red
0,equal/far,English,pick blue
0,closer/close,English,pick the middle shade of purple
0,closer/close,English,"middle shade of green. not the middle box, the middle color shade"
0,closer/close,English,pick green
0,further/split,English,bright purple
0,equal/far,English,yellow
0,further/split,English,the neon green
0,further/split,English,red
0,further/split,English,the darker pink
0,closer/close,English,gray
0,closer/close,English,light purple
0,further/split,English,brown
0,closer/close,English,bluish purple
0,further/split,English,"green, not the yellow one"
0,closer/close,English,not any of the regular greens
0,further/split,English,red
0,closer/close,English,pink
1,equal/far,English,teal
1,equal/far,English,teal
0,closer/close,English,yellowish green
0,further/split,English,bright green
0,equal/far,English,green
0,equal/far,English,"not the usual blue, the other one"
0,equal/far,English,blue
0,further/split,English,the purple that is closer to the brown
0,equal/far,English,blue
0,equal/far,English,blue
0,closer/close,English,blue
0,equal/far,English,green
0,closer/close,English,the green that doesnt match the other green and blue
0,equal/far,English,yellow
0,further/split,English,bright green
0,further/split,English,dim purple
0,closer/close,English,"brightest purple, closer to pink"
0,further/split,English,purple
0,closer/close,English,purple
0,closer/close,English,the purple that has no pink shading at all
1,closer/close,English,brownish gold
0,further/split,English,dim blue
0,equal/far,English,reddish brown
0,further/split,English,purple
0,closer/close,English,the brownish green
0,closer/close,English,bright green
0,equal/far,English,purple
0,further/split,English,purple
0,further/split,English,the darker green
0,equal/far,English,green
0,equal/far,English,green
0,further/split,English,purple
0,equal/far,English,yellow
0,closer/close,English,brightest green
0,further/split,English,greenish
0,equal/far,English,red
1,further/split,English,tan
0,closer/close,English,olive
0,further/split,English,olive
0,equal/far,English,purple
0,further/split,English,darkest purple
0,equal/far,English,purple
0,equal/far,English,grey
0,closer/close,English,green
0,further/split,English,orange
0,equal/far,English,grey
