,Length,Language,roundid
55,1,Chinese,5465-9799631c-c1a7-4b17-8944-307f2bf89df2.1
56,1,Chinese,4897-de14bbb4-eb62-447f-9190-ad5729cc33d8.39
57,1,Chinese,8146-390e8c1f-f8e2-4a34-bd93-a394f87746a0.11
58,1,Chinese,7778-fff6a029-3272-4086-8ce5-a031948fac33.29
59,1,Chinese,5153-a73c009e-95ab-4762-ac93-e60600ba6c3d.50
60,1,Chinese,4897-de14bbb4-eb62-447f-9190-ad5729cc33d8.38
61,1,Chinese,2292-90a01583-25d1-4d87-a41b-9f772c314d61.16
62,1,Chinese,7266-a19a5680-212b-4740-b7c3-897388466b48.20
63,1,Chinese,7266-a19a5680-212b-4740-b7c3-897388466b48.23
64,1,Chinese,2292-90a01583-25d1-4d87-a41b-9f772c314d61.15
65,1,Chinese,7266-a19a5680-212b-4740-b7c3-897388466b48.25
66,3,Chinese,2292-90a01583-25d1-4d87-a41b-9f772c314d61.13
67,3,Chinese,2292-90a01583-25d1-4d87-a41b-9f772c314d61.10
68,1,Chinese,2292-90a01583-25d1-4d87-a41b-9f772c314d61.11
69,1,Chinese,8146-390e8c1f-f8e2-4a34-bd93-a394f87746a0.22
70,1,Chinese,8146-390e8c1f-f8e2-4a34-bd93-a394f87746a0.23
71,2,Chinese,8146-390e8c1f-f8e2-4a34-bd93-a394f87746a0.20
72,1,Chinese,8146-390e8c1f-f8e2-4a34-bd93-a394f87746a0.21
73,1,Chinese,8146-390e8c1f-f8e2-4a34-bd93-a394f87746a0.26
74,2,Chinese,5868-39a69aa5-b3d0-4893-9448-65f97cc6fc60.8
75,1,Chinese,2292-90a01583-25d1-4d87-a41b-9f772c314d61.18
76,1,Chinese,2292-90a01583-25d1-4d87-a41b-9f772c314d61.19
77,1,Chinese,7778-fff6a029-3272-4086-8ce5-a031948fac33.30
78,1,Chinese,7778-fff6a029-3272-4086-8ce5-a031948fac33.19
79,1,Chinese,7778-fff6a029-3272-4086-8ce5-a031948fac33.32
80,1,Chinese,5868-39a69aa5-b3d0-4893-9448-65f97cc6fc60.9
81,2,Chinese,7778-fff6a029-3272-4086-8ce5-a031948fac33.34
82,1,Chinese,7778-fff6a029-3272-4086-8ce5-a031948fac33.35
83,1,Chinese,7778-fff6a029-3272-4086-8ce5-a031948fac33.36
84,3,Chinese,7778-fff6a029-3272-4086-8ce5-a031948fac33.37
85,2,Chinese,7778-fff6a029-3272-4086-8ce5-a031948fac33.38
86,2,Chinese,4897-de14bbb4-eb62-447f-9190-ad5729cc33d8.7
87,2,Chinese,4286-9e734173-eddb-47a8-b78f-bad48cfe5449.40
88,1,Chinese,4897-de14bbb4-eb62-447f-9190-ad5729cc33d8.6
89,1,Chinese,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7.38
90,1,Chinese,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7.39
91,2,Chinese,9463-3c7fa984-1eee-418c-9630-975bfe0f4393.0
92,1,Chinese,4897-de14bbb4-eb62-447f-9190-ad5729cc33d8.5
93,1,Chinese,7921-645b72d1-e1bf-4121-b9b4-d04e9d5c906f.8
94,1,Chinese,7921-645b72d1-e1bf-4121-b9b4-d04e9d5c906f.9
95,1,Chinese,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7.30
96,1,Chinese,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7.31
97,1,Chinese,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7.32
98,2,Chinese,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7.33
99,1,Chinese,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7.34
100,1,Chinese,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7.35
101,1,Chinese,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7.36
102,1,Chinese,7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7.37
103,1,Chinese,8032-611b2ceb-ca98-407b-a880-8e311ae40798.38
104,1,Chinese,1854-30ed3f48-6261-4e7f-a5bd-77ca1e153da9.35
105,1,Chinese,1749-16e02541-2385-4752-9fd3-caa3a825b469.50
106,1,Chinese,1854-30ed3f48-6261-4e7f-a5bd-77ca1e153da9.50
107,1,Chinese,1854-30ed3f48-6261-4e7f-a5bd-77ca1e153da9.45
108,1,Chinese,8146-390e8c1f-f8e2-4a34-bd93-a394f87746a0.28
109,1,Chinese,4897-de14bbb4-eb62-447f-9190-ad5729cc33d8.8
110,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.16
111,3,Chinese,1854-30ed3f48-6261-4e7f-a5bd-77ca1e153da9.28
112,2,Chinese,9068-8040e841-54a3-451f-ac7c-ca6f427f4be9.36
113,3,Chinese,8146-390e8c1f-f8e2-4a34-bd93-a394f87746a0.9
114,1,Chinese,0316-e2f34fea-b7c4-4b64-81b9-634240105f74.12
115,1,Chinese,0316-e2f34fea-b7c4-4b64-81b9-634240105f74.10
116,1,Chinese,0316-e2f34fea-b7c4-4b64-81b9-634240105f74.11
117,1,Chinese,5868-39a69aa5-b3d0-4893-9448-65f97cc6fc60.4
118,1,Chinese,3483-9f9e9390-b615-4b9f-89ae-24168280b1ac.28
119,1,Chinese,5868-39a69aa5-b3d0-4893-9448-65f97cc6fc60.5
120,2,Chinese,1854-30ed3f48-6261-4e7f-a5bd-77ca1e153da9.46
121,2,Chinese,8146-390e8c1f-f8e2-4a34-bd93-a394f87746a0.1
122,1,Chinese,4304-0a6471c9-b6e3-4df3-9257-13c0310185d6.28
123,3,Chinese,8146-390e8c1f-f8e2-4a34-bd93-a394f87746a0.6
124,1,Chinese,7778-fff6a029-3272-4086-8ce5-a031948fac33.2
125,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.49
126,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.10
127,2,Chinese,1854-30ed3f48-6261-4e7f-a5bd-77ca1e153da9.6
128,1,Chinese,0781-d401c67e-ac78-4274-b903-411e62b05612.0
129,3,Chinese,8146-390e8c1f-f8e2-4a34-bd93-a394f87746a0.3
130,1,Chinese,7973-852b8afc-a427-4eee-ac5a-d17987b2a588.0
131,2,Chinese,8146-390e8c1f-f8e2-4a34-bd93-a394f87746a0.2
132,3,Chinese,8146-390e8c1f-f8e2-4a34-bd93-a394f87746a0.5
133,2,Chinese,1854-30ed3f48-6261-4e7f-a5bd-77ca1e153da9.47
134,1,Chinese,3788-192abb49-7bda-42f2-bc4b-f5b2edf1b011.21
135,1,Chinese,7778-fff6a029-3272-4086-8ce5-a031948fac33.18
136,1,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.8
137,1,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.9
138,1,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.2
139,1,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.3
140,2,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.1
141,1,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.6
142,2,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.7
143,1,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.4
144,3,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.5
145,1,Chinese,4897-de14bbb4-eb62-447f-9190-ad5729cc33d8.17
146,1,Chinese,4897-de14bbb4-eb62-447f-9190-ad5729cc33d8.16
147,1,Chinese,4897-de14bbb4-eb62-447f-9190-ad5729cc33d8.15
148,1,Chinese,4897-de14bbb4-eb62-447f-9190-ad5729cc33d8.14
149,1,Chinese,4897-de14bbb4-eb62-447f-9190-ad5729cc33d8.13
150,1,Chinese,4897-de14bbb4-eb62-447f-9190-ad5729cc33d8.12
151,1,Chinese,4897-de14bbb4-eb62-447f-9190-ad5729cc33d8.11
152,1,Chinese,4897-de14bbb4-eb62-447f-9190-ad5729cc33d8.10
153,1,Chinese,3788-192abb49-7bda-42f2-bc4b-f5b2edf1b011.45
154,1,Chinese,3788-192abb49-7bda-42f2-bc4b-f5b2edf1b011.44
155,1,Chinese,3788-192abb49-7bda-42f2-bc4b-f5b2edf1b011.47
156,1,Chinese,3788-192abb49-7bda-42f2-bc4b-f5b2edf1b011.46
157,1,Chinese,3788-192abb49-7bda-42f2-bc4b-f5b2edf1b011.41
158,1,Chinese,7921-645b72d1-e1bf-4121-b9b4-d04e9d5c906f.3
159,1,Chinese,4897-de14bbb4-eb62-447f-9190-ad5729cc33d8.19
160,1,Chinese,4897-de14bbb4-eb62-447f-9190-ad5729cc33d8.18
161,1,Chinese,5868-39a69aa5-b3d0-4893-9448-65f97cc6fc60.38
162,1,Chinese,5868-39a69aa5-b3d0-4893-9448-65f97cc6fc60.39
163,1,Chinese,5868-39a69aa5-b3d0-4893-9448-65f97cc6fc60.32
164,1,Chinese,5868-39a69aa5-b3d0-4893-9448-65f97cc6fc60.33
165,1,Chinese,5868-39a69aa5-b3d0-4893-9448-65f97cc6fc60.30
166,1,Chinese,5868-39a69aa5-b3d0-4893-9448-65f97cc6fc60.31
167,1,Chinese,5868-39a69aa5-b3d0-4893-9448-65f97cc6fc60.36
168,1,Chinese,5868-39a69aa5-b3d0-4893-9448-65f97cc6fc60.37
169,1,Chinese,5868-39a69aa5-b3d0-4893-9448-65f97cc6fc60.34
170,1,Chinese,5868-39a69aa5-b3d0-4893-9448-65f97cc6fc60.35
171,1,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.25
172,1,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.24
173,1,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.27
174,1,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.26
175,2,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.21
176,1,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.20
177,2,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.23
178,1,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.22
179,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.47
180,1,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.29
181,1,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.28
182,3,Chinese,3483-9f9e9390-b615-4b9f-89ae-24168280b1ac.18
183,1,Chinese,3483-9f9e9390-b615-4b9f-89ae-24168280b1ac.19
184,1,Chinese,3483-9f9e9390-b615-4b9f-89ae-24168280b1ac.20
185,1,Chinese,8146-390e8c1f-f8e2-4a34-bd93-a394f87746a0.38
186,1,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.36
187,1,Chinese,4286-9e734173-eddb-47a8-b78f-bad48cfe5449.48
188,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.34
189,1,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.37
190,1,Chinese,7778-fff6a029-3272-4086-8ce5-a031948fac33.11
191,1,Chinese,3483-9f9e9390-b615-4b9f-89ae-24168280b1ac.25
192,1,Chinese,8146-390e8c1f-f8e2-4a34-bd93-a394f87746a0.29
193,1,Chinese,3483-9f9e9390-b615-4b9f-89ae-24168280b1ac.24
194,1,Chinese,3842-59433277-9f89-4c62-912e-6a1736577c31.50
195,1,Chinese,3483-9f9e9390-b615-4b9f-89ae-24168280b1ac.45
196,1,Chinese,3483-9f9e9390-b615-4b9f-89ae-24168280b1ac.23
197,1,Chinese,4304-0a6471c9-b6e3-4df3-9257-13c0310185d6.50
198,5,Chinese,9068-8040e841-54a3-451f-ac7c-ca6f427f4be9.7
199,1,Chinese,9068-8040e841-54a3-451f-ac7c-ca6f427f4be9.6
200,1,Chinese,9068-8040e841-54a3-451f-ac7c-ca6f427f4be9.5
201,1,Chinese,9068-8040e841-54a3-451f-ac7c-ca6f427f4be9.4
202,1,Chinese,9068-8040e841-54a3-451f-ac7c-ca6f427f4be9.3
203,1,Chinese,9068-8040e841-54a3-451f-ac7c-ca6f427f4be9.2
204,1,Chinese,2807-253d3ab7-b1a1-4a7d-ae7d-7f56c9bf304c.38
205,2,Chinese,2807-253d3ab7-b1a1-4a7d-ae7d-7f56c9bf304c.39
206,1,Chinese,2807-253d3ab7-b1a1-4a7d-ae7d-7f56c9bf304c.36
207,1,Chinese,2807-253d3ab7-b1a1-4a7d-ae7d-7f56c9bf304c.37
208,1,Chinese,2807-253d3ab7-b1a1-4a7d-ae7d-7f56c9bf304c.34
209,1,Chinese,2807-253d3ab7-b1a1-4a7d-ae7d-7f56c9bf304c.35
210,1,Chinese,2807-253d3ab7-b1a1-4a7d-ae7d-7f56c9bf304c.32
211,1,Chinese,2807-253d3ab7-b1a1-4a7d-ae7d-7f56c9bf304c.33
212,1,Chinese,2807-253d3ab7-b1a1-4a7d-ae7d-7f56c9bf304c.30
213,1,Chinese,2807-253d3ab7-b1a1-4a7d-ae7d-7f56c9bf304c.31
214,2,Chinese,7778-fff6a029-3272-4086-8ce5-a031948fac33.27
215,5,Chinese,1854-30ed3f48-6261-4e7f-a5bd-77ca1e153da9.9
216,1,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.42
217,1,Chinese,3483-9f9e9390-b615-4b9f-89ae-24168280b1ac.22
218,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.26
219,2,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.40
220,3,Chinese,1854-30ed3f48-6261-4e7f-a5bd-77ca1e153da9.11
221,1,Chinese,7921-645b72d1-e1bf-4121-b9b4-d04e9d5c906f.40
222,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.5
223,1,Chinese,8032-611b2ceb-ca98-407b-a880-8e311ae40798.48
224,1,Chinese,3483-9f9e9390-b615-4b9f-89ae-24168280b1ac.21
225,1,Chinese,4897-de14bbb4-eb62-447f-9190-ad5729cc33d8.3
226,1,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.44
227,1,Chinese,0549-d56b0b64-54e8-4a64-8aa4-7700643a9b9e.0
228,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.3
229,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.2
230,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.1
231,2,Chinese,1854-30ed3f48-6261-4e7f-a5bd-77ca1e153da9.10
232,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.7
233,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.6
234,1,Chinese,1854-30ed3f48-6261-4e7f-a5bd-77ca1e153da9.7
235,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.4
236,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.9
237,1,Chinese,5153-a73c009e-95ab-4762-ac93-e60600ba6c3d.7
238,1,Chinese,7266-a19a5680-212b-4740-b7c3-897388466b48.18
239,1,Chinese,7266-a19a5680-212b-4740-b7c3-897388466b48.19
240,1,Chinese,5153-a73c009e-95ab-4762-ac93-e60600ba6c3d.45
241,1,Chinese,1854-30ed3f48-6261-4e7f-a5bd-77ca1e153da9.21
242,1,Chinese,2292-90a01583-25d1-4d87-a41b-9f772c314d61.49
243,3,Chinese,2292-90a01583-25d1-4d87-a41b-9f772c314d61.48
244,1,Chinese,1854-30ed3f48-6261-4e7f-a5bd-77ca1e153da9.24
245,1,Chinese,7921-645b72d1-e1bf-4121-b9b4-d04e9d5c906f.11
246,1,Chinese,7266-a19a5680-212b-4740-b7c3-897388466b48.10
247,1,Chinese,7266-a19a5680-212b-4740-b7c3-897388466b48.11
248,1,Chinese,7266-a19a5680-212b-4740-b7c3-897388466b48.12
249,1,Chinese,2292-90a01583-25d1-4d87-a41b-9f772c314d61.46
250,1,Chinese,2292-90a01583-25d1-4d87-a41b-9f772c314d61.41
251,1,Chinese,2292-90a01583-25d1-4d87-a41b-9f772c314d61.40
252,3,Chinese,2292-90a01583-25d1-4d87-a41b-9f772c314d61.43
253,1,Chinese,2292-90a01583-25d1-4d87-a41b-9f772c314d61.42
254,1,Chinese,8032-611b2ceb-ca98-407b-a880-8e311ae40798.7
255,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.25
256,3,Chinese,7921-645b72d1-e1bf-4121-b9b4-d04e9d5c906f.14
257,1,Chinese,3842-59433277-9f89-4c62-912e-6a1736577c31.49
258,1,Chinese,5153-a73c009e-95ab-4762-ac93-e60600ba6c3d.44
259,1,Chinese,7921-645b72d1-e1bf-4121-b9b4-d04e9d5c906f.29
260,1,Chinese,8032-611b2ceb-ca98-407b-a880-8e311ae40798.29
261,1,Chinese,8032-611b2ceb-ca98-407b-a880-8e311ae40798.28
262,2,Chinese,3483-9f9e9390-b615-4b9f-89ae-24168280b1ac.27
263,1,Chinese,8032-611b2ceb-ca98-407b-a880-8e311ae40798.2
264,2,Chinese,7921-645b72d1-e1bf-4121-b9b4-d04e9d5c906f.28
265,1,Chinese,8032-611b2ceb-ca98-407b-a880-8e311ae40798.23
266,1,Chinese,8032-611b2ceb-ca98-407b-a880-8e311ae40798.22
267,1,Chinese,8032-611b2ceb-ca98-407b-a880-8e311ae40798.21
268,1,Chinese,8032-611b2ceb-ca98-407b-a880-8e311ae40798.3
269,1,Chinese,8032-611b2ceb-ca98-407b-a880-8e311ae40798.27
270,2,Chinese,4304-0a6471c9-b6e3-4df3-9257-13c0310185d6.21
271,1,Chinese,8032-611b2ceb-ca98-407b-a880-8e311ae40798.25
272,1,Chinese,8032-611b2ceb-ca98-407b-a880-8e311ae40798.24
273,2,Chinese,2069-a834b661-65ff-488a-8305-756ae723718c.1
274,1,Chinese,2069-a834b661-65ff-488a-8305-756ae723718c.0
275,1,Chinese,9068-8040e841-54a3-451f-ac7c-ca6f427f4be9.18
276,5,Chinese,4304-0a6471c9-b6e3-4df3-9257-13c0310185d6.30
277,4,Chinese,1854-30ed3f48-6261-4e7f-a5bd-77ca1e153da9.26
278,1,Chinese,3788-192abb49-7bda-42f2-bc4b-f5b2edf1b011.39
279,1,Chinese,7778-fff6a029-3272-4086-8ce5-a031948fac33.33
280,2,Chinese,1854-30ed3f48-6261-4e7f-a5bd-77ca1e153da9.27
281,1,Chinese,8032-611b2ceb-ca98-407b-a880-8e311ae40798.45
282,4,Chinese,3483-9f9e9390-b615-4b9f-89ae-24168280b1ac.26
283,1,Chinese,3842-59433277-9f89-4c62-912e-6a1736577c31.47
284,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.39
285,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.38
286,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.35
287,11,Chinese,3842-59433277-9f89-4c62-912e-6a1736577c31.40
288,2,Chinese,8146-390e8c1f-f8e2-4a34-bd93-a394f87746a0.24
289,1,Chinese,4897-de14bbb4-eb62-447f-9190-ad5729cc33d8.50
290,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.31
291,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.30
292,1,Chinese,4589-16534f5f-ea0d-49f5-bf6a-184157da4c79.33
293,1,Chinese,3842-59433277-9f89-4c62-912e-6a1736577c31.41
294,1,Chinese,2292-90a01583-25d1-4d87-a41b-9f772c314d61.45
295,1,Chinese,3842-59433277-9f89-4c62-912e-6a1736577c31.42
296,1,Chinese,2292-90a01583-25d1-4d87-a41b-9f772c314d61.44
297,1,Chinese,3842-59433277-9f89-4c62-912e-6a1736577c31.43
298,1,Chinese,7921-645b72d1-e1bf-4121-b9b4-d04e9d5c906f.50
299,1,Chinese,2292-90a01583-25d1-4d87-a41b-9f772c314d61.47
300,1,Chinese,8032-611b2ceb-ca98-407b-a880-8e311ae40798.44
301,1,Chinese,8032-611b2ceb-ca98-407b-a880-8e311ae40798.15
302,1,Chinese,7266-a19a5680-212b-4740-b7c3-897388466b48.13
303,3,Chinese,7266-a19a5680-212b-4740-b7c3-897388466b48.14
304,1,Chinese,7266-a19a5680-212b-4740-b7c3-897388466b48.15
305,2,Chinese,8976-a41db654-9387-4361-aff5-ff68d9291ae9.21
306,1,Chinese,8976-a41db654-9387-4361-aff5-ff68d9291ae9.20
307,1,Chinese,8976-a41db654-9387-4361-aff5-ff68d9291ae9.23
308,1,Chinese,8976-a41db654-9387-4361-aff5-ff68d9291ae9.22
309,2,Chinese,8976-a41db654-9387-4361-aff5-ff68d9291ae9.25
310,1,Chinese,7266-a19a5680-212b-4740-b7c3-897388466b48.16
311,1,Chinese,8976-a41db654-9387-4361-aff5-ff68d9291ae9.27
312,3,Chinese,5465-9799631c-c1a7-4b17-8944-307f2bf89df2.0
313,1,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.38
314,1,Chinese,4304-0a6471c9-b6e3-4df3-9257-13c0310185d6.48
315,1,Chinese,7266-a19a5680-212b-4740-b7c3-897388466b48.17
316,1,Chinese,1759-ffb67cfb-7c59-41a0-8798-ec3a12d50f61.1
317,2,Chinese,4304-0a6471c9-b6e3-4df3-9257-13c0310185d6.49
318,1,Chinese,9288-3ab08619-cc57-4f49-8e10-7bcc5f5ed5b4.35
319,1,Chinese,9288-3ab08619-cc57-4f49-8e10-7bcc5f5ed5b4.34
320,1,Chinese,9288-3ab08619-cc57-4f49-8e10-7bcc5f5ed5b4.37
321,1,Chinese,9288-3ab08619-cc57-4f49-8e10-7bcc5f5ed5b4.36
322,1,Chinese,9288-3ab08619-cc57-4f49-8e10-7bcc5f5ed5b4.31
323,1,Chinese,9288-3ab08619-cc57-4f49-8e10-7bcc5f5ed5b4.30
324,1,Chinese,9288-3ab08619-cc57-4f49-8e10-7bcc5f5ed5b4.33
325,1,Chinese,9288-3ab08619-cc57-4f49-8e10-7bcc5f5ed5b4.32
326,1,Chinese,7024-9f33f165-8d4a-44db-8b60-8236445b9073.21
327,1,Chinese,7024-9f33f165-8d4a-44db-8b60-8236445b9073.20
328,1,Chinese,7024-9f33f165-8d4a-44db-8b60-8236445b9073.22
329,1,Chinese,9288-3ab08619-cc57-4f49-8e10-7bcc5f5ed5b4.39
330,1,Chinese,9288-3ab08619-cc57-4f49-8e10-7bcc5f5ed5b4.38
331,1,Chinese,3842-59433277-9f89-4c62-912e-6a1736577c31.13
332,1,Chinese,3842-59433277-9f89-4c62-912e-6a1736577c31.12
333,1,Chinese,3842-59433277-9f89-4c62-912e-6a1736577c31.11
334,10,Chinese,3842-59433277-9f89-4c62-912e-6a1736577c31.10
335,3,Chinese,3842-59433277-9f89-4c62-912e-6a1736577c31.17
336,4,Chinese,3842-59433277-9f89-4c62-912e-6a1736577c31.16
337,1,Chinese,8382-8892e79f-22e4-4ea6-8d2a-cffdf0a65624.39
338,1,Chinese,3842-59433277-9f89-4c62-912e-6a1736577c31.14
