success,Condition,Language,roundid
true,further/split,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.34
true,further/split,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.35
true,closer/close,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.36
true,equal/far,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.37
true,closer/close,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.38
true,further/split,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.39
true,further/split,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.4
false,further/split,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.40
true,closer/close,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.41
true,equal/far,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.42
true,closer/close,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.43
false,closer/close,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.44
true,closer/close,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.45
true,equal/far,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.46
true,further/split,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.47
true,further/split,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.48
true,equal/far,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.49
true,closer/close,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.5
true,closer/close,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.50
true,equal/far,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.6
true,further/split,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.7
true,closer/close,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.8
true,further/split,Chinese,0179-3907c1f5-d5d8-40e2-a432-1f3209784bb5.9
true,equal/far,Chinese,0316-e2f34fea-b7c4-4b64-81b9-634240105f74.1
false,equal/far,Chinese,0316-e2f34fea-b7c4-4b64-81b9-634240105f74.10
true,further/split,Chinese,0316-e2f34fea-b7c4-4b64-81b9-634240105f74.11
true,closer/close,Chinese,0316-e2f34fea-b7c4-4b64-81b9-634240105f74.12
true,closer/close,Chinese,0316-e2f34fea-b7c4-4b64-81b9-634240105f74.2
true,closer/close,Chinese,0316-e2f34fea-b7c4-4b64-81b9-634240105f74.3
true,closer/close,Chinese,0316-e2f34fea-b7c4-4b64-81b9-634240105f74.4
false,further/split,Chinese,0316-e2f34fea-b7c4-4b64-81b9-634240105f74.5
true,equal/far,Chinese,0316-e2f34fea-b7c4-4b64-81b9-634240105f74.6
true,equal/far,Chinese,0316-e2f34fea-b7c4-4b64-81b9-634240105f74.7
true,further/split,Chinese,0316-e2f34fea-b7c4-4b64-81b9-634240105f74.8
true,equal/far,Chinese,0316-e2f34fea-b7c4-4b64-81b9-634240105f74.9
true,closer/close,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.1
true,closer/close,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.10
true,further/split,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.11
true,further/split,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.12
true,equal/far,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.13
true,equal/far,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.14
false,further/split,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.15
true,further/split,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.16
true,closer/close,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.17
true,further/split,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.18
true,equal/far,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.19
true,closer/close,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.2
true,closer/close,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.20
true,equal/far,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.21
false,equal/far,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.22
true,further/split,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.23
true,equal/far,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.24
true,closer/close,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.25
true,equal/far,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.26
false,closer/close,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.27
true,equal/far,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.28
true,further/split,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.29
true,further/split,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.3
true,closer/close,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.30
true,equal/far,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.31
true,equal/far,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.32
true,equal/far,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.33
true,further/split,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.34
false,further/split,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.35
true,closer/close,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.36
true,further/split,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.37
true,closer/close,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.38
true,closer/close,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.39
true,closer/close,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.4
true,closer/close,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.40
true,closer/close,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.41
true,further/split,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.42
true,closer/close,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.43
true,equal/far,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.44
true,equal/far,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.45
true,closer/close,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.46
true,further/split,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.47
false,equal/far,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.48
true,further/split,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.49
true,further/split,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.5
true,further/split,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.50
true,equal/far,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.6
true,equal/far,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.7
true,equal/far,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.8
true,further/split,Chinese,0356-6647c165-def9-4400-8989-c1e7caaac37e.9
true,closer/close,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.1
true,closer/close,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.10
true,further/split,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.11
true,further/split,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.12
true,equal/far,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.13
true,closer/close,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.14
true,further/split,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.15
false,equal/far,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.16
false,further/split,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.17
true,equal/far,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.18
true,closer/close,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.19
true,closer/close,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.2
true,closer/close,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.20
true,closer/close,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.21
true,further/split,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.22
true,closer/close,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.23
true,further/split,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.24
true,equal/far,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.25
true,equal/far,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.26
true,equal/far,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.27
true,further/split,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.28
true,further/split,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.29
true,further/split,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.3
true,closer/close,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.30
true,further/split,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.31
true,further/split,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.32
true,equal/far,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.33
true,closer/close,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.34
true,further/split,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.35
true,further/split,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.36
true,further/split,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.37
true,closer/close,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.38
true,equal/far,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.39
true,equal/far,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.4
true,equal/far,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.40
false,closer/close,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.41
true,closer/close,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.42
true,equal/far,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.43
true,further/split,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.44
true,equal/far,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.45
true,closer/close,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.46
true,closer/close,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.47
true,equal/far,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.48
true,equal/far,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.49
true,closer/close,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.5
true,further/split,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.50
true,equal/far,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.6
true,closer/close,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.7
true,equal/far,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.8
true,further/split,Chinese,0378-5571a7aa-a263-490b-b8c2-a6d3f87d5d8a.9
true,further/split,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.1
true,equal/far,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.10
true,equal/far,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.11
true,equal/far,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.12
true,equal/far,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.13
true,further/split,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.14
true,closer/close,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.15
true,further/split,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.16
true,closer/close,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.17
true,closer/close,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.18
true,further/split,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.19
true,closer/close,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.2
true,equal/far,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.20
true,closer/close,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.21
true,closer/close,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.22
true,equal/far,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.23
true,equal/far,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.24
true,further/split,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.25
true,further/split,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.26
true,closer/close,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.27
true,further/split,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.28
true,closer/close,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.29
true,equal/far,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.3
true,further/split,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.30
true,further/split,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.31
true,equal/far,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.32
true,equal/far,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.33
true,equal/far,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.34
true,equal/far,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.35
true,equal/far,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.36
true,further/split,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.37
false,further/split,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.38
true,equal/far,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.39
true,closer/close,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.4
true,further/split,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.40
true,closer/close,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.41
true,further/split,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.42
true,closer/close,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.43
true,further/split,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.44
true,equal/far,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.45
true,closer/close,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.46
true,closer/close,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.47
true,further/split,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.48
true,equal/far,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.49
true,closer/close,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.5
true,closer/close,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.50
true,further/split,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.6
true,further/split,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.7
true,closer/close,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.8
true,closer/close,Chinese,0471-8c8ebdfa-4ed1-4017-81fc-146a6b9cac7c.9
true,equal/far,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.1
true,closer/close,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.10
true,further/split,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.11
true,further/split,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.12
true,equal/far,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.13
true,equal/far,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.14
false,closer/close,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.15
true,equal/far,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.16
true,closer/close,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.17
true,closer/close,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.18
true,closer/close,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.19
true,equal/far,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.2
true,equal/far,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.20
true,equal/far,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.21
true,further/split,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.22
true,closer/close,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.23
true,further/split,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.24
true,closer/close,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.25
true,closer/close,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.26
true,further/split,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.27
true,closer/close,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.28
true,closer/close,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.29
true,closer/close,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.3
true,further/split,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.30
true,closer/close,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.31
true,equal/far,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.32
true,further/split,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.33
true,further/split,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.34
true,equal/far,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.35
true,equal/far,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.36
true,further/split,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.37
true,closer/close,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.38
true,further/split,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.39
true,equal/far,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.4
true,further/split,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.40
true,closer/close,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.41
true,equal/far,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.42
true,further/split,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.43
true,closer/close,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.44
true,closer/close,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.45
true,further/split,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.46
true,equal/far,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.47
true,equal/far,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.48
true,further/split,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.49
true,further/split,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.5
false,equal/far,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.50
true,equal/far,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.6
true,further/split,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.7
true,closer/close,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.8
true,further/split,Chinese,0597-e87cfc97-57ea-4f24-8421-d59232a1c655.9
true,closer/close,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.1
false,closer/close,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.10
true,further/split,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.11
true,further/split,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.12
true,equal/far,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.13
true,further/split,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.14
true,closer/close,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.15
true,closer/close,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.16
true,closer/close,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.17
true,equal/far,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.18
true,equal/far,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.19
true,equal/far,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.2
true,further/split,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.20
true,equal/far,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.21
true,further/split,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.22
true,equal/far,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.23
true,equal/far,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.24
true,further/split,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.25
false,closer/close,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.26
true,equal/far,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.27
true,further/split,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.28
false,further/split,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.29
true,equal/far,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.3
true,further/split,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.30
true,closer/close,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.31
true,closer/close,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.32
true,equal/far,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.33
false,closer/close,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.34
false,further/split,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.35
true,equal/far,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.36
false,closer/close,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.37
false,further/split,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.38
true,equal/far,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.39
true,equal/far,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.4
false,closer/close,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.40
true,equal/far,Chinese,0629-8541f1f2-0964-4531-8260-f48245b21dcb.41
