tokens,Condition,Language,Message
2,closer/close,English,dark green
1,equal/far,English,Hi
2,equal/far,English,light blue
1,further/split,English,orange
1,closer/close,English,brown
1,equal/far,English,gray
1,further/split,English,gray
2,further/split,English,olive green
1,further/split,English,purple
1,further/split,English,blue
2,closer/close,English,olive green
1,closer/close,English,blue
1,further/split,English,orange
1,further/split,English,green
1,further/split,English,green
1,closer/close,English,gray
1,further/split,English,blue
1,closer/close,English,brown
1,closer/close,English,blue/green
2,equal/far,English,Ack sorry
1,equal/far,English,blue
12,closer/close,English,no problem i don't think i'm giving the best descriptions
2,closer/close,English,dark orange
1,further/split,English,yellow
1,closer/close,English,purple
6,closer/close,English,Some are hard to see haha
1,closer/close,English,gray/blue
4,equal/far,English,my vocabulary is lacking
7,equal/far,English,otherwise i'd give accurate descriptions lol
1,equal/far,English,purple
6,equal/far,English,No worries you're doing great
1,closer/close,English,blue/gray
1,closer/close,English,orange/red
2,equal/far,English,light blue
2,further/split,English,light green
2,further/split,English,olive green
1,further/split,English,purple
2,closer/close,English,bright pink
2,equal/far,English,dark blue
2,equal/far,English,light blue
2,closer/close,English,dark green
1,equal/far,English,yellow
1,equal/far,English,green
1,equal/far,English,orange
1,equal/far,English,green
1,closer/close,English,brown
1,further/split,English,green/yellow
1,equal/far,English,brown
1,further/split,English,tan*
2,further/split,English,olive green
2,closer/close,English,bright purple
2,closer/close,English,dark green
1,equal/far,English,orange
2,further/split,English,bright purple
2,equal/far,English,bright purple
1,equal/far,English,green
1,equal/far,English,blue/green
6,equal/far,English,hope you have a wonderful day
5,further/split,English,You too Thanks a bunch
2,further/split,English,blue D
1,closer/close,English,grey
2,further/split,English,brownish color
1,equal/far,English,gold
1,further/split,English,red
1,closer/close,English,grey
1,equal/far,English,gold
2,closer/close,English,neon green
2,closer/close,English,neon purple
1,equal/far,English,violet
2,further/split,English,darker blue
1,further/split,English,grey
1,equal/far,English,orange
1,further/split,English,green
1,further/split,English,grey
1,equal/far,English,tan
1,equal/far,English,green
1,closer/close,English,hi
1,closer/close,English,hi
2,closer/close,English,neon violet
1,equal/far,English,violet
2,further/split,English,pale green
2,equal/far,English,neon green
1,closer/close,English,brownish
2,closer/close,English,pale violet
2,further/split,English,neon pink
2,closer/close,English,dark blue
1,equal/far,English,violet
1,further/split,English,hi
2,further/split,English,pale teal
1,further/split,English,teal
7,further/split,English,sky blue looking or the darker one
2,further/split,English,sky blue
1,further/split,English,purple
2,further/split,English,darker purple
1,further/split,English,brown
2,closer/close,English,dark green
2,closer/close,English,dark purple
1,equal/far,English,green
1,equal/far,English,purple
2,further/split,English,pale purple
2,closer/close,English,neon green
2,closer/close,English,golden green
1,equal/far,English,violet
1,equal/far,English,tan
2,further/split,English,darker green
5,further/split,English,more grey or mint green
2,further/split,English,more grey
2,closer/close,English,lighter grey
2,equal/far,English,purplish blue
1,equal/far,English,red
2,closer/close,English,pea green
2,closer/close,English,brownish violet
3,closer/close,English,dark greyish violet
1,equal/far,English,gold
1,further/split,English,grey
1,equal/far,English,green
1,closer/close,English,grey
2,further/split,English,pale pink
4,further/split,English,purple is the object
4,further/split,English,purple is the object
3,closer/close,English,the blueish one
2,closer/close,English,lightest block
4,further/split,English,most olive green one
3,closer/close,English,most regular purple
1,equal/far,English,green
4,closer/close,English,most brown looking one
1,equal/far,English,teal
2,further/split,English,faded blue
3,further/split,English,gray looking one
2,closer/close,English,brightest blue
2,closer/close,English,yellowbrown one
2,closer/close,English,olive green
1,equal/far,English,gray
2,further/split,English,light brown
10,further/split,English,the one that is a bit reddish or the other
4,further/split,English,they both look siml
5,further/split,English,sorry brighter of the two
6,equal/far,English,sorry they really look the same
1,equal/far,English,blue
1,equal/far,English,green
1,equal/far,English,brown
1,further/split,English,gray
6,closer/close,English,one with most green in it
2,further/split,English,bright green
4,closer/close,English,most blue looking one
2,further/split,English,most gray
3,further/split,English,most yellowish one
1,closer/close,English,brightest
2,closer/close,English,darkest blue
2,closer/close,English,brightest green
2,further/split,English,flat purple
1,equal/far,English,orange
2,closer/close,English,bright pink
1,closer/close,English,rpurple
4,closer/close,English,light but flat pink
1,equal/far,English,red
2,further/split,English,brightest yellow
1,equal/far,English,purple
1,equal/far,English,purple
2,equal/far,English,most orange
2,equal/far,English,basic gray
4,closer/close,English,most gray of them
4,further/split,English,the most pinkish puple
2,equal/far,English,greenish one
3,further/split,English,flat brownish one
2,further/split,English,darker gray
1,equal/far,English,blue
2,further/split,English,yellowish brown
2,equal/far,English,light teal
2,equal/far,English,blue one
5,further/split,English,purple gray with no pink
2,closer/close,English,most blue
6,closer/close,English,thanks you got the hard job
1,further/split,English,hello
1,further/split,English,Hi
4,further/split,English,Target is greenblue square
4,closer/close,English,Target is darkest purple
3,further/split,English,Target is Magenta
2,closer/close,English,Magenta again
2,equal/far,English,Dark blue
2,further/split,English,Grayest one
2,further/split,English,Olive Green
2,further/split,English,Lime Green
1,equal/far,English,Purple
1,equal/far,English,Magenta
2,closer/close,English,Blue Gray
2,closer/close,English,Dull Purple
2,closer/close,English,Grayest one
2,closer/close,English,Bright Green
1,further/split,English,Blue
1,equal/far,English,Red
1,closer/close,English,Tan
2,further/split,English,Grass Green
1,further/split,English,Green
1,further/split,English,Tan
1,equal/far,English,Yellow
2,closer/close,English,grass green
2,equal/far,English,bright blue
2,further/split,English,gunmetal gray
1,equal/far,English,green
1,equal/far,English,red
2,further/split,English,bright purple
1,equal/far,English,yellow
1,further/split,English,yellow
1,further/split,English,yellow
1,further/split,English,gray
1,equal/far,English,purple
2,closer/close,English,dull green
1,equal/far,English,gray
1,equal/far,English,brown
2,closer/close,English,sky blue
2,closer/close,English,jungle green
3,closer/close,English,darker or lighter
2,closer/close,English,dullest one
1,closer/close,English,darker
1,equal/far,English,blue
2,further/split,English,lime green
1,further/split,English,purple
3,closer/close,English,olive green darker
2,closer/close,English,bright blue
1,equal/far,English,green
2,closer/close,English,brightest blue
3,closer/close,English,darker or lighter
1,closer/close,English,lighter
1,closer/close,English,blue
1,equal/far,English,blue
1,equal/far,English,purple
1,closer/close,English,tan
1,further/split,English,green
1,equal/far,English,tan
7,closer/close,English,What is the target Are you there
9,closer/close,English,Yes one sec the screen is all messed up
5,closer/close,English,This doesn't look right
4,closer/close,English,Are you still there
8,closer/close,English,Yes it is messed up over here too
6,closer/close,English,It's too large over here
15,closer/close,English,Wow   Round #2 now up Combination of three shades of green on my end
3,closer/close,English,yes same here
2,closer/close,English,same here
4,closer/close,English,my squares are huge
6,closer/close,English,Plus the advancing is a mess
15,closer/close,English,I am supposed to be able to click on the target but I can't
2,closer/close,English,Can you
1,closer/close,English,Lol
6,closer/close,English,no I was waiting for you
4,closer/close,English,I thought you left
11,closer/close,English,So I was contacting the requester as to what to do
4,closer/close,English,I can try here
2,closer/close,English,So color
1,closer/close,English,Hints
7,closer/close,English,The one that is dull not vibrant
6,equal/far,English,Yup We got that one right
2,equal/far,English,Very bright
3,equal/far,English,like the sun
10,equal/far,English,2 for 2 man We're on a roll now
8,equal/far,English,Or woman   Sorry if you're not male
1,equal/far,English,woman
2,equal/far,English,no worries
7,equal/far,English,Whew   Boy do I feel silly Anyhow
4,equal/far,English,very bright like hot
1,equal/far,English,color
6,closer/close,English,no lol don't feel silly
4,closer/close,English,3 in a row
4,closer/close,English,real dull army color
1,closer/close,English,electric
1,further/split,English,um
9,further/split,English,Opps I took electric as deep purple My bad
1,further/split,English,lol
6,further/split,English,this one is like an herb
2,further/split,English,not bright
1,further/split,English,fragrence
2,further/split,English,not bright
2,further/split,English,Missed again  
3,further/split,English,very toned done
1,further/split,English,down
1,closer/close,English,um
1,closer/close,English,well
13,closer/close,English,Back on track Got that one This one is going to be tough
1,closer/close,English,darker
3,closer/close,English,like baby poop
13,closer/close,English,That was too close to call I missed again You're doing well  
6,equal/far,English,the one that is most purple
8,equal/far,English,That is funny   My baby pooped darker green
1,equal/far,English,lol
3,equal/far,English,We score again
1,equal/far,English,yes
1,equal/far,English,bright
5,equal/far,English,2 in a row again
1,equal/far,English,mint
2,equal/far,English,Tres` Amigos
1,equal/far,English,brown
1,closer/close,English,Four
2,closer/close,English,lighter blue
4,closer/close,English,Uh oh   another toughie  
1,closer/close,English,right
2,equal/far,English,hot pink
3,equal/far,English,But we score
3,further/split,English,That was easy
2,further/split,English,most purple
1,further/split,English,grape
1,equal/far,English,turquoise
15,equal/far,English,Another easy one We've got like at least 6 in row Make that 7
1,closer/close,English,purple
2,closer/close,English,Not blue
1,further/split,English,neon
1,further/split,English,green
2,further/split,English,dull purple
2,closer/close,English,brighter blue
13,closer/close,English,I know that is at least 10 in row   We're hot now
2,closer/close,English,baby bluish
1,equal/far,English,grey
7,equal/far,English,Ah I went with the wrong blue  
3,closer/close,English,it's ok
3,closer/close,English,Got that one
1,closer/close,English,hard
1,closer/close,English,bluest
4,further/split,English,a bit of green
1,equal/far,English,purple
2,closer/close,English,more brownish
10,closer/close,English,We're back on target   Now the greenie beanies again
1,closer/close,English,yes
1,closer/close,English,grey
5,closer/close,English,Nice call on the brownish
1,equal/far,English,blue
2,further/split,English,most orange
1,equal/far,English,grey
1,further/split,English,grey
1,further/split,English,turquoise
1,closer/close,English,sorry
1,closer/close,English,blue
7,closer/close,English,No I clicked on the wrong box
1,equal/far,English,blue
1,equal/far,English,greenish
1,equal/far,English,purple
2,further/split,English,light purple
1,equal/far,English,green
2,further/split,English,dull purple
1,closer/close,English,orangish
2,further/split,English,dull blue
1,further/split,English,lavender
4,closer/close,English,Opps My mistake again
2,closer/close,English,bright purple
3,closer/close,English,it's ok
2,further/split,English,bright green
2,further/split,English,bright green
2,further/split,English,2 more
1,further/split,English,yellowist
1,further/split,English,yeah
1,equal/far,English,greenist
1,equal/far,English,blue
2,closer/close,English,dark gray
2,equal/far,English,pea green
1,equal/far,English,turquise
2,further/split,English,deep purple
2,closer/close,English,light salmon
1,further/split,English,purple
2,further/split,English,ash gray
3,closer/close,English,bright lime green
4,closer/close,English,less bright lime green
2,further/split,English,lime green
2,closer/close,English,faded pink
2,equal/far,English,sky blue
2,closer/close,English,pea green
1,further/split,English,slate
1,equal/far,English,green
2,closer/close,English,purple slate
1,further/split,English,pink
1,equal/far,English,green
1,closer/close,English,gray
2,further/split,English,light blue
1,equal/far,English,blue
1,further/split,English,slate
6,closer/close,English,purple but not the darker one
3,closer/close,English,the nweird one
2,closer/close,English,turquise green
1,closer/close,English,purple
2,further/split,English,dark blue
1,equal/far,English,turquise
1,further/split,English,ash
3,closer/close,English,the darkest one
1,equal/far,English,pink
2,further/split,English,light blue
1,equal/far,English,purple
2,closer/close,English,bright purple
1,equal/far,English,yellow/green
1,equal/far,English,blue
2,further/split,English,bright pink
3,further/split,English,the weird one
2,equal/far,English,green one
2,closer/close,English,dark blue
2,further/split,English,light brown
1,equal/far,English,pink
2,further/split,English,weird one
2,closer/close,English,dark green
1,further/split,English,slate
1,equal/far,English,pink
1,equal/far,English,purple
2,closer/close,English,faded pink
1,equal/far,English,orange/bronw
1,further/split,English,hello
3,further/split,English,r u there
1,further/split,English,hey
1,further/split,English,hi
3,further/split,English,how are you
5,further/split,English,groovy ty let's go
7,further/split,English,so the one highlighted is the purple
12,closer/close,English,purple again kind of a bright purple not the pink one though
1,closer/close,English,nice
13,closer/close,English,this one is kind of gold whereas the other two are more orange
6,further/split,English,blue kind of a bright one
2,closer/close,English,bright green
2,closer/close,English,awesome descriptions
6,closer/close,English,pink the brighter of the two
1,closer/close,English,brownishtan
6,further/split,English,blue the lighter of the two
10,further/split,English,tealish the one that looks duller more green in it
2,equal/far,English,bright green
4,closer/close,English,purple not the pinks
1,further/split,English,grey
1,closer/close,English,blue
10,closer/close,English,u r much better at this than I would be
1,equal/far,English,pink
1,equal/far,English,green
8,further/split,English,the blueish purple one not the plum one
1,equal/far,English,plum
4,equal/far,English,yellowish green super bright
14,closer/close,English,blue the lighter of the two bright ones not the dull blueish gray one
5,closer/close,English,grey not the plum one
1,closer/close,English,nice
2,further/split,English,bright yellowgreen
4,further/split,English,purple kind of plumish
6,closer/close,English,green the darkest of the three
1,equal/far,English,purple
2,further/split,English,you rock
1,further/split,English,purple
1,equal/far,English,pink
8,closer/close,English,yellowgreen the brighter of the two like it
11,closer/close,English,same green as a few ago the darkest of the three
8,equal/far,English,green sea foam kind not the bright green
1,further/split,English,great
1,further/split,English,grey
1,closer/close,English,blue
7,further/split,English,plum the lighter of the two close
3,further/split,English,ah my bad
2,further/split,English,red bright
1,equal/far,English,pink
8,equal/far,English,I can't believe we got that far
2,further/split,English,bright green
14,further/split,English,not the brightest green but the other green one  kind of a greenyellow really
1,equal/far,English,green
2,equal/far,English,u rule
1,equal/far,English,purple/plum
1,equal/far,English,green/yellow
12,closer/close,English,blue  this one is kind of hard its the least green one
1,closer/close,English,nice
3,further/split,English,puple/plum more plum
7,closer/close,English,dull pink not the super bright one
1,equal/far,English,purple
2,further/split,English,bright pink
3,equal/far,English,green/sea foam ish
2,equal/far,English,almost home
1,equal/far,English,green/tan
1,equal/far,English,blue
1,equal/far,English,green
2,equal/far,English,sea foam
5,further/split,English,It's the grey one
5,equal/far,English,It's the green one
1,further/split,English,Purple
2,further/split,English,Dark purple/amethyst
3,closer/close,English,Kind of greyish
1,equal/far,English,Purple
4,closer/close,English,The bright Easter green
8,further/split,English,The bright purple; not the darker tone
1,further/split,English,Blue/grey
6,further/split,English,Muted purple not the brighter one
3,closer/close,English,Bright purple/pink one
3,closer/close,English,The bright blue
1,equal/far,English,Green
2,further/split,English,Bright orange
7,further/split,English,The real purple shade not the purple/blue
2,further/split,English,Darker blue
8,closer/close,English,The blue shade not the purple or violet
1,further/split,English,Yellow
13,closer/close,English,The icky green with a hint of brown the lighter of the three
2,equal/far,English,Bright pink
1,equal/far,English,Blue
3,further/split,English,Real purple/amethyst shade
9,closer/close,English,The medium green not the lighter or darker shades
3,closer/close,English,The brighest purple
11,closer/close,English,The lighter grey/green shade with the most green tones in it
1,equal/far,English,Green
6,closer/close,English,The bright green like Easter grass
3,equal/far,English,The muted green
1,further/split,English,Blue
3,closer/close,English,The darker purple
1,equal/far,English,Yellow
3,further/split,English,The bright blue
5,further/split,English,The more muted purple/blue shade
4,closer/close,English,The yellow/green mustard color
1,equal/far,English,Blue
2,equal/far,English,Teal  green/blue
1,closer/close,English,Grey
4,equal/far,English,Blue  like the ocean
3,further/split,English,Light blue/grey color
1,equal/far,English,Yellow
8,closer/close,English,The more muted green that's slightly darker
11,closer/close,English,The darkest color kind of like steel that's been weathered
4,closer/close,English,The really bright purple
1,equal/far,English,Teal
5,further/split,English,The muted green like Army
1,equal/far,English,Purple/blue
1,equal/far,English,Purple
1,closer/close,English,Brown
3,further/split,English,The icky green/yellow
1,equal/far,English,Orange
1,further/split,English,purple
2,closer/close,English,light orange
2,equal/far,English,weird purple
2,closer/close,English,sky blue
2,further/split,English,bright pinkish
2,closer/close,English,duller green
2,closer/close,English,brightest pink
2,further/split,English,dullest green
1,equal/far,English,pink
2,closer/close,English,most grey
1,further/split,English,blue
3,further/split,English,grey without blue
2,closer/close,English,brightest pink
2,closer/close,English,darkest blue
2,further/split,English,brightest pink
4,closer/close,English,grey without any blue
4,further/split,English,just grey no purple
1,equal/far,English,yellow
1,equal/far,English,yellow
2,equal/far,English,army green
5,closer/close,English,green no blue or grey
5,closer/close,English,blue not grey or purple
2,closer/close,English,lightest shade
2,equal/far,English,green bright
1,equal/far,English,brown
2,equal/far,English,bright blue
2,further/split,English,grey darker
1,equal/far,English,green
2,equal/far,English,grass green
2,further/split,English,turquoise blue
2,further/split,English,bluish purple
5,further/split,English,not bright pink or blue
2,equal/far,English,bright blue
3,further/split,English,weird brownish pink
2,equal/far,English,most green
2,further/split,English,really green
7,closer/close,English,green that is not yellowish or brownish
5,further/split,English,bluish purple not true blue
1,equal/far,English,red
1,equal/far,English,grey
2,closer/close,English,most green
4,closer/close,English,most blue least purple
5,closer/close,English,greenish blue without yellow tone
1,equal/far,English,green
2,further/split,English,army green
4,equal/far,English,least bright purplish grey
3,closer/close,English,bright grass green
1,further/split,English,blue
1,equal/far,English,blue
8,closer/close,English,brown not orangish and not the lightest tan
2,further/split,English,bright green
1,further/split,English,Howdy
2,further/split,English,darker pink
1,equal/far,English,green
1,equal/far,English,pink
1,further/split,English,red
1,equal/far,English,orange
2,further/split,English,brighter pink
2,closer/close,English,Oh geez
2,closer/close,English,purply blue
1,equal/far,English,pinkpurple
1,equal/far,English,mauve
2,further/split,English,dusty pink
11,closer/close,English,Wonder if the colors are calibrated differently for each of us
2,closer/close,English,muted mustard
5,closer/close,English,Not the brownish one right
