Value,Condition,Language,Message
0,closer/close,English,orangish
0,further/split,English,dull blue
0,further/split,English,lavender
0,closer/close,English,Opps! My mistake again.
0,closer/close,English,bright purple
0,closer/close,English,it's ok
0,further/split,English,bright green
0,further/split,English,bright green
1,further/split,English,2 more!
0,further/split,English,yellowist
0,further/split,English,yeah!
0,equal/far,English,greenist
0,equal/far,English,blue
0,closer/close,English,dark gray
0,equal/far,English,pea green
0,equal/far,English,turquise
0,further/split,English,deep purple
0,closer/close,English,light salmon
0,further/split,English,purple
0,further/split,English,ash gray
0,closer/close,English,bright lime green
1,closer/close,English,less bright lime green
0,further/split,English,lime green
0,closer/close,English,faded pink
0,equal/far,English,sky blue
0,closer/close,English,pea green
0,further/split,English,slate
0,equal/far,English,green
0,closer/close,English,purple slate
0,further/split,English,pink
0,equal/far,English,green
0,closer/close,English,gray
0,further/split,English,light blue
0,equal/far,English,blue
0,further/split,English,slate
1,closer/close,English,purple but not the darker one
0,closer/close,English,the nweird one
0,closer/close,English,turquise green
0,closer/close,English,purple
0,further/split,English,dark blue
0,equal/far,English,turquise
0,further/split,English,ash
0,closer/close,English,the darkest one
0,equal/far,English,pink
0,further/split,English,light blue
0,equal/far,English,purple
0,closer/close,English,bright purple
0,equal/far,English,yellow/green
0,equal/far,English,blue
0,further/split,English,bright pink
0,further/split,English,the weird one
0,equal/far,English,green one
0,closer/close,English,dark blue
0,further/split,English,light brown
0,equal/far,English,pink
0,further/split,English,weird one
0,closer/close,English,dark green
0,further/split,English,slate
0,equal/far,English,pink
0,equal/far,English,purple
0,closer/close,English,faded pink
0,equal/far,English,orange/bronw
0,further/split,English,hello?
0,further/split,English,r u there?
0,further/split,English,hey
0,further/split,English,hi
0,further/split,English,how are you?
0,further/split,English,"groovy, ty. let's go"
0,further/split,English,so the one highlighted is the purple
0,closer/close,English,"purple again, kind of a bright purple, not the pink one though"
0,closer/close,English,nice!
1,closer/close,English,"this one is kind of gold, whereas the other two are more orange"
0,further/split,English,"blue, kind of a bright one"
0,closer/close,English,bright green
0,closer/close,English,awesome descriptions
1,closer/close,English,"pink, the brighter of the two"
0,closer/close,English,brownish-tan
1,further/split,English,"blue, the lighter of the two"
1,further/split,English,"tealish, the one that looks duller, more green in it"
0,equal/far,English,bright green
0,closer/close,English,"purple, not the pinks"
0,further/split,English,grey
0,closer/close,English,blue
1,closer/close,English,u r much better at this than I would be
0,equal/far,English,pink
0,equal/far,English,green
0,further/split,English,"the blue-ish purple one, not the plum one"
0,equal/far,English,plum
1,equal/far,English,"yellowish green, super bright"
1,closer/close,English,"blue, the lighter of the two bright ones, not the dull blueish gray one"
0,closer/close,English,"grey, not the plum one"
0,closer/close,English,nice!
0,further/split,English,bright yellow-green
0,further/split,English,"purple, kind of plumish"
0,closer/close,English,"green, the darkest of the three."
0,equal/far,English,purple
0,further/split,English,you rock!
0,further/split,English,purple
0,equal/far,English,pink
1,closer/close,English,"yellow-green, the brighter of the two like it"
0,closer/close,English,"same green as a few ago, the darkest of the three"
0,equal/far,English,"green, sea foam kind, not the bright green"
0,further/split,English,great
0,further/split,English,grey
0,closer/close,English,blue
1,further/split,English,"plum, the lighter of the two close"
0,further/split,English,"ah, my bad,"
0,further/split,English,"red, bright"
0,equal/far,English,pink
0,equal/far,English,I can't believe we got that far
0,further/split,English,bright green
0,further/split,English,not the brightest green but the other green one.  kind of a green-yellow really
0,equal/far,English,green
0,equal/far,English,u rule!
0,equal/far,English,purple/plum
0,equal/far,English,green/yellow
0,closer/close,English,"blue.  this one is kind of hard, its the least green one."
0,closer/close,English,nice!
1,further/split,English,"puple/plum, more plum"
1,closer/close,English,"dull pink, not the super bright one"
0,equal/far,English,purple
0,further/split,English,bright pink
0,equal/far,English,green/sea foam ish
0,equal/far,English,almost home!
0,equal/far,English,green/tan
0,equal/far,English,blue
0,equal/far,English,green
0,equal/far,English,sea foam
0,further/split,English,It's the grey one
0,equal/far,English,It's the green one
0,further/split,English,Purple
0,further/split,English,Dark purple/amethyst
0,closer/close,English,Kind of greyish
0,equal/far,English,Purple
0,closer/close,English,The bright Easter green
1,further/split,English,The bright purple; not the darker tone
0,further/split,English,Blue/grey
1,further/split,English,"Muted purple, not the brighter one"
0,closer/close,English,Bright purple/pink one
0,closer/close,English,The bright blue
0,equal/far,English,Green
0,further/split,English,Bright orange
0,further/split,English,"The real purple shade, not the purple/blue"
0,further/split,English,Darker blue
0,closer/close,English,"The blue shade, not the purple or violet"
0,further/split,English,Yellow
1,closer/close,English,"The icky green with a hint of brown, the lighter of the three"
0,equal/far,English,Bright pink
0,equal/far,English,Blue
0,further/split,English,Real purple/amethyst shade
1,closer/close,English,"The medium green, not the lighter or darker shades"
0,closer/close,English,The brighest purple
1,closer/close,English,The lighter grey/green shade with the most green tones in it
0,equal/far,English,Green
0,closer/close,English,"The bright green, like Easter grass"
0,equal/far,English,The muted green
0,further/split,English,Blue
1,closer/close,English,The darker purple
0,equal/far,English,Yellow
0,further/split,English,The bright blue
1,further/split,English,The more muted purple/blue shade
0,closer/close,English,The yellow/green mustard color
0,equal/far,English,Blue
0,equal/far,English,Teal - green/blue
0,closer/close,English,Grey
0,equal/far,English,Blue - like the ocean
0,further/split,English,Light blue/grey color
0,equal/far,English,Yellow
1,closer/close,English,The more muted green that's slightly darker
0,closer/close,English,"The darkest color, kind of like steel that's been weathered"
0,closer/close,English,The really bright purple
0,equal/far,English,Teal
0,further/split,English,The muted green like Army
0,equal/far,English,Purple/blue
0,equal/far,English,Purple
0,closer/close,English,Brown
0,further/split,English,The icky green/yellow
0,equal/far,English,Orange
0,further/split,English,purple
0,closer/close,English,light orange
0,equal/far,English,weird purple
0,closer/close,English,sky blue
0,further/split,English,bright pinkish
1,closer/close,English,duller green
0,closer/close,English,brightest pink
0,further/split,English,dullest green
0,equal/far,English,pink
0,closer/close,English,most grey
0,further/split,English,blue
0,further/split,English,grey without blue
0,closer/close,English,brightest pink
0,closer/close,English,darkest blue
0,further/split,English,brightest pink
0,closer/close,English,grey without any blue
0,further/split,English,just grey no purple
0,equal/far,English,yellow
0,equal/far,English,yellow
0,equal/far,English,army green
0,closer/close,English,green no blue or grey
0,closer/close,English,blue not grey or purple
0,closer/close,English,lightest shade
0,equal/far,English,green bright
0,equal/far,English,brown
0,equal/far,English,bright blue
1,further/split,English,grey darker
0,equal/far,English,green
0,equal/far,English,grass green
0,further/split,English,turquoise blue
0,further/split,English,bluish purple
0,further/split,English,not bright pink or blue
0,equal/far,English,bright blue
0,further/split,English,weird brownish pink
0,equal/far,English,most green
0,further/split,English,really green
0,closer/close,English,green that is not yellowish or brownish
0,further/split,English,bluish purple not true blue
0,equal/far,English,red
0,equal/far,English,grey
0,closer/close,English,most green
0,closer/close,English,"most blue, least purple"
0,closer/close,English,greenish blue without yellow tone
