workerid,totalLength,gameID,thinksHuman,confused,comments,ratePartner,role,nativeEnglish,score
43,509603,7883-3,no,yes,NA,okay,listener,yes,NA
44,857547,7883-3,yes,yes,No problems,liked,speaker,yes,NA
45,1766694,1632-b,yes,yes,no,okay,listener,yes,NA
46,1833399,1632-b,no,yes,NA,liked,speaker,yes,NA
47,700296,3784-6,no,yes,NA,loved,listener,yes,NA
48,707562,3784-6,no,yes,none,okay,speaker,yes,NA
49,1109932,1325-8,yes,yes,NA,loved,speaker,yes,NA
50,1064741,1325-8,yes,yes,in the middle the partner said his timer had expired and I almost had to guess for the rest for 2 hits until he decided to complete the hit.,not much,listener,yes,NA
51,570656,0811-5,yes,yes,NA,liked,listener,yes,NA
52,581293,0811-5,yes,yes,NA,liked,speaker,yes,NA
53,885097,7314-4,yes,yes,nope,okay,listener,yes,NA
54,1048366,7314-4,yes,yes,very interesting!,liked,speaker,yes,NA
55,1265277,4139-d,yes,yes,I would have liked to be the listener too!,liked,speaker,yes,NA
56,1273201,4139-d,yes,yes,This was a fun experiment!  Thank you.,loved,listener,yes,NA
57,764778,2400-e,yes,yes,Fun experiment,loved,listener,yes,NA
58,804016,2400-e,yes,yes,Very fun! I would like to try being on the other side (listener).,loved,speaker,yes,NA
59,959277,8088-6,yes,yes,NA,liked,listener,yes,NA
60,988343,8088-6,no,yes,"That took too long and should have a longer timer. Interesting, but low pay.",liked,speaker,yes,NA
61,1362759,2780-1,yes,yes,NA,loved,speaker,yes,NA
62,1184792,2780-1,yes,yes,NA,loved,listener,yes,NA
63,1485458,3618-3,yes,yes,enjoyable HIT,loved,speaker,yes,NA
64,1470886,3618-3,no,yes,The other person either does not know their colors or their screen colors are off.,okay,listener,yes,NA
65,864480,4607-5,yes,yes,NA,not much,listener,yes,NA
66,1012584,4607-5,yes,yes,That was a lot of fun.  Some of it was very hard.,loved,speaker,yes,NA
67,1334060,5800-8,yes,yes,Thank you. It is interesting and fun,liked,listener,no,NA
68,1334335,5800-8,yes,yes,This was a very fun experiment and I had a ton of fun doing it!,loved,speaker,yes,NA
69,1374883,4647-2,yes,yes,NA,loved,listener,yes,NA
70,1409587,4647-2,yes,yes,fun. unique.,loved,speaker,yes,NA
71,919036,5248-d,yes,yes,NA,liked,speaker,yes,NA
72,730837,5248-d,yes,yes,Fun!,okay,listener,yes,NA
73,213243,0559-0,no,yes,I never got connected w/ a partner!,NA,speaker,yes,NA
74,633593,9536-4,yes,yes,NA,okay,listener,yes,NA
75,646318,9536-4,yes,yes,good hit,loved,speaker,yes,NA
76,771163,9666-b,yes,yes,NA,okay,listener,yes,NA
77,805392,9666-b,no,yes,No comments,not much,speaker,yes,NA
78,1209186,6442-4,yes,yes,This was fun :),liked,speaker,yes,NA
79,1134761,6442-4,yes,yes,NA,loved,listener,yes,NA
80,843955,2267-6,yes,yes,NA,liked,speaker,yes,NA
81,805107,2267-6,yes,yes,It was a lot of fun!,liked,listener,yes,NA
82,1195436,7614-6,yes,yes,no,loved,speaker,yes,NA
83,1222813,7614-6,yes,yes,"My partner typed very slow and repeatedly used the word &quotechargay&quotechar to describe purple, which I thought was inappropriate",not much,listener,yes,NA
84,1462654,6888-9,yes,yes,That was really interesting and extremely enjoyable! Thanks for the opportunity!,loved,speaker,yes,NA
85,1461540,6888-9,yes,yes,I had a good partner. I sort of wish there was a bonus incentive for number right but all good.,liked,listener,yes,NA
86,979083,6431-a,yes,yes,NA,loved,listener,yes,NA
87,1066287,6431-a,no,confused,"I thought they were human until they thought I was a robot and started asking me questions so now I think they were a robot. I didn&quotechart know if I was allowed to say the colors&quotechar names so I said stuff like ""pig"" and ""apple."" I think a little bit of better instructions would have been better.",okay,speaker,yes,NA
88,898234,4042-9,yes,yes,no,liked,listener,yes,NA
89,906193,4042-9,yes,yes,"fun game
thanks
",loved,speaker,yes,NA
90,758848,4522-0,yes,yes,NA,okay,speaker,yes,NA
91,755339,4522-0,yes,yes,This was a very fun experiment!,loved,listener,yes,NA
92,1249577,3792-7,yes,yes,Thanks!,loved,listener,yes,NA
93,1341781,3792-7,yes,yes,It was fun.,liked,speaker,yes,NA
94,1827746,4178-b,yes,yes,Thank you for the chance to participate.,liked,speaker,yes,NA
95,1770592,4178-b,yes,yes,This was very interesting.,liked,listener,yes,NA
96,644332,9378-9,yes,yes,We used the color names as it did not say we couldn&quotechart- still had an error- but we did our best- game ended early,liked,speaker,yes,NA
97,914562,9817-a,yes,yes,It was kind of fun,liked,listener,yes,NA
98,1116917,9817-a,yes,yes,"I thought it was a lot of fun, though I was a bit frustrated when colors were very very similar.",loved,speaker,yes,NA
99,549167,7991-e,yes,yes,no,liked,speaker,yes,NA
100,626931,2653-0,yes,yes,offer a bonus for good work!,okay,speaker,yes,NA
101,549960,2653-0,yes,yes,"survey went fine, no problems",liked,listener,yes,NA
102,817354,8730-c,yes,yes,NA,loved,speaker,yes,NA
103,1116310,6305-1,yes,yes,It was quite fun! Thanks,loved,speaker,yes,NA
104,1004457,6305-1,yes,yes,Fascinating.  We found we had differences in our screens which we had to navigate.,liked,listener,yes,NA
105,113983,4845-7,no,yes,"I&quotecharm a little confused because just as I was about to send my first message, it brought me to this screen. I guess I didn&quotechart get paired with someone else? Just wanted to let you know, thanks :)",not much,speaker,yes,NA
106,809360,7975-c,yes,yes,"my partner did a great job, fun hit thank you",loved,speaker,yes,NA
107,1479709,3071-c,yes,yes,NA,liked,speaker,yes,NA
108,1462031,3071-c,yes,yes,no,liked,listener,yes,NA
109,751715,9146-e,yes,yes,NA,loved,speaker,yes,NA
110,706471,9146-e,yes,yes,NA,loved,listener,yes,NA
111,1802734,7209-c,no,yes,NA,okay,listener,yes,NA
112,1847699,7209-c,no,yes,NA,liked,speaker,yes,NA
113,852615,2986-a,yes,yes,NA,loved,speaker,yes,NA
114,1040020,3432-6,yes,yes,It was interesting,okay,speaker,yes,NA
115,1033882,3432-6,yes,yes,Nope,loved,listener,yes,NA
116,1584156,8961-d,yes,yes,NA,okay,speaker,yes,NA
117,613657,7601-b,yes,yes,NA,loved,speaker,yes,NA
118,611674,7601-b,yes,yes,"This was a really fun HIT, thank you!",loved,listener,yes,NA
119,986716,1220-a,yes,yes,It was amazing,loved,listener,yes,NA
120,1002804,1220-a,yes,yes,My partner was the BEST,loved,speaker,yes,NA
121,1831821,0429-9,yes,yes,This was fun!,liked,speaker,yes,NA
122,1810289,0429-9,yes,yes,No,liked,listener,yes,NA
123,824929,7277-5,yes,yes,fun!,loved,speaker,yes,NA
124,771638,7277-5,yes,yes,This was fun! Hope it helped and good luck with the study! :),loved,listener,yes,NA
125,1238368,9923-6,yes,yes,NA,liked,speaker,yes,NA
126,1275965,2806-5,yes,yes,Thank you!,loved,listener,yes,NA
127,1199721,9923-6,no,yes,none,okay,listener,yes,NA
128,1343883,2806-5,yes,yes,Was harder than I thought but so much fun!!,loved,speaker,yes,NA
129,1588040,5711-e,yes,yes,NA,okay,speaker,yes,NA
130,1590080,5711-e,yes,yes,no,loved,listener,yes,NA
131,1537378,7469-3,no,yes,interesting,liked,speaker,yes,NA
132,1653570,4719-3,yes,yes,was really fun,loved,listener,yes,NA
133,1709001,4719-3,yes,yes,there are so many different variations to colors it was difficult to describe to my partner.,liked,speaker,yes,NA
134,704555,5368-b,yes,yes,Thank you! This was interesting!,liked,speaker,yes,NA
135,704139,5368-b,yes,yes,It went better than I thought it would.,loved,listener,yes,NA
136,693749,2355-4,yes,yes,None,okay,listener,yes,NA
137,728865,2355-4,yes,yes,This was fun!,liked,speaker,yes,NA
138,710602,6694-c,yes,yes,Fun.,loved,speaker,yes,NA
139,708370,6694-c,yes,yes,"My partner made a few bad descriptions, but overall was pretty good.",liked,listener,yes,NA
140,633879,3266-5,no,yes,none,okay,listener,yes,NA
141,747300,3266-5,yes,yes,I had a hard time naming the colors as I&quotecharm part color blind. Maybe adding a name under each color would help. Thanks!,loved,speaker,yes,NA
142,1030297,6765-a,no,yes,no,okay,speaker,yes,NA
143,1193543,4108-c,yes,yes,That was fun!,liked,speaker,yes,NA
144,1191906,4108-c,yes,yes,No other comments.,okay,listener,yes,NA
145,761921,8516-9,yes,yes,NA,loved,speaker,yes,NA
146,707635,8516-9,no,yes,no,liked,listener,yes,NA
147,1525367,8441-d,yes,yes,NA,okay,listener,yes,NA
148,1592254,8441-d,no,yes,"Very unique, interesting and fun.",loved,speaker,yes,NA
149,1359037,7919-e,yes,yes,no,okay,speaker,yes,NA
150,1316975,7919-e,no,yes,NA,not much,listener,yes,NA
151,1712185,6914-7,yes,yes,That was fun! Thank you.,loved,speaker,yes,NA
152,1156840,4929-3,yes,yes,It&quotechars frustrating to see the different views of colors you have with another person and how something doesn&quotechart really come across,okay,speaker,yes,NA
153,947976,3014-a,yes,yes,It was an interesting game.,liked,speaker,yes,NA
154,963480,3014-a,yes,yes,Really fun one. It seemed most important to describe the colors relative to each other.,liked,listener,yes,NA
155,1802846,0763-2,yes,yes,neat stuff,liked,speaker,yes,NA
156,703057,5774-6,yes,yes,I would like to do more HITs like this.,okay,speaker,yes,NA
157,1007601,9144-a,yes,yes,It was actually fun.,loved,speaker,yes,NA
158,1736996,0763-2,yes,yes,"nope, except if you weren&quotechart messing with us about the colors, you might want to have colors that don&quotechart depend much on the screen quality.",liked,listener,yes,NA
159,936222,9144-a,yes,yes,This was really fun. My partner and I were really getting in sync with one another.,loved,listener,yes,NA
160,1081044,6207-d,yes,yes,no,okay,speaker,yes,NA
161,881105,6207-d,yes,yes,Thank you!,loved,listener,yes,NA
162,836544,3922-a,yes,yes,It was fun! I really enjoyed it.,loved,listener,yes,NA
163,892490,3922-a,yes,yes,NA,liked,speaker,yes,NA
164,701222,9960-e,yes,yes,NA,okay,listener,yes,NA
165,1206804,5574-2,yes,yes,Fun!,okay,speaker,yes,NA
166,785118,9960-e,yes,yes,"Took a little more time for the pay, but was really fun!! would do again",loved,speaker,yes,NA
167,1243015,5574-2,yes,yes,That was a fun experiment and my partner&quotechars clues were excellent. I think I only got one wrong. Thank you for the opportunity to participate.,loved,listener,yes,NA
168,734954,5472-0,yes,yes,No.,liked,speaker,yes,NA
169,692036,5472-0,yes,yes,it was kind of fun,okay,listener,yes,NA
170,837087,9680-6,yes,yes,NA,liked,speaker,yes,NA
171,813666,9680-6,yes,yes,"I loved this! Super fun! And I had a very intelligent, well-spoken, and understanding partner! Great hit made my day!",loved,listener,yes,NA
172,751155,2265-d,yes,yes,It was very unique!,loved,speaker,yes,NA
173,813308,2265-d,yes,yes,It took me a while to figure out that the green border meant I chose correctly. I figured it would be black. I don&quotechart remember seeing anything about this mentioned in the instructions. Thank you.,liked,listener,yes,NA
174,1451094,7179-0,yes,yes,I wondered why they didnt just say the color,okay,listener,yes,NA
175,193737,5336-a,yes,yes,Not sure it worked correctly because it only went one round.,okay,listener,yes,NA
176,1498576,7179-0,yes,yes,This is one of the funnest hits I&quotecharve done,loved,speaker,yes,NA
177,182470,5336-a,yes,yes,I thought there were 50 rounds.  My partner disappeared after the first round.,okay,listener,yes,NA
178,828762,0813-a,yes,yes,NA,not much,speaker,yes,NA
179,720744,0813-a,yes,yes,NA,loved,listener,yes,NA
180,1394674,8757-5,yes,yes,"Fun HIT, thanks!",loved,speaker,yes,NA
181,1317378,8757-5,yes,yes,This was fun! Thanks!,loved,listener,yes,NA
182,1124556,8358-9,yes,yes,Fun and cooperation was truly needed,loved,speaker,yes,NA
183,1086371,8358-9,yes,yes,It was very interesting.,loved,listener,yes,NA
184,788388,1593-2,yes,yes,n/a,liked,speaker,yes,NA
185,733581,1593-2,yes,yes,"none, thanks",liked,listener,yes,NA
186,1120214,5568-1,yes,yes,NA,liked,listener,yes,NA
187,870581,9353-3,yes,yes,none,liked,speaker,yes,NA
188,724037,9353-3,yes,yes,NA,liked,listener,yes,NA
189,1406582,5568-1,yes,yes,The first time I clicked the link it took me to the experiment page and then right to this one. I closed the page and clicked on the link again and it worked fine. Task was easier than I thought it would be. Fun task overall.,liked,speaker,yes,NA
190,809273,4756-2,no,yes,Thank you!,okay,speaker,yes,NA
191,1155398,2762-9,no,yes,it was fun!,loved,speaker,yes,NA
192,2330396,5144-7,yes,yes,none,okay,listener,yes,NA
193,2384353,5144-7,yes,yes,Fun!,loved,speaker,yes,NA
194,1553536,1486-e,yes,yes,I enjoyed it.  It was fun seeing how differently people can view colors and I was paired with a very nice worker :),loved,speaker,yes,NA
195,1099556,1486-e,yes,yes,"It would have been more interesting if we got to switch roles halfway. Also, would have been useful to calibrate monitors.  One confusing thing is I didn&quotechart notice until well into the game it would actually show incorrect answers. Finally there was one item (Brow) where two squares looked almost exactly identical to me.  Otherwise, this was a very fun and interesting HIT.  And there was no doubt at all my partner was human based on the communications. Allowing communications allowed rapport building which  made the task significantly more fun and productive.  Thanks!",loved,listener,yes,NA
196,1038854,4845-f,yes,yes,NA,okay,speaker,yes,NA
197,744185,4845-f,yes,yes,Good luck with your study!,loved,listener,yes,NA
198,576768,6719-f,yes,yes,NA,not much,speaker,yes,NA
199,547381,6719-f,yes,yes,NA,not much,listener,yes,NA
200,718670,1124-1,yes,yes,My partner was great and we worked well together.,loved,listener,yes,NA
201,749839,1124-1,yes,yes,It was fun and interesting. I had fun with my partner.,loved,speaker,yes,NA
202,672781,2007-2,yes,yes,no,liked,listener,yes,NA
203,728718,2007-2,yes,yes,This was a lot of fun! It worked really smoothly and we seemed to communicate effectively.,loved,speaker,yes,NA
204,814105,8235-6,yes,yes,no,loved,listener,yes,NA
205,845698,8235-6,yes,yes,No,liked,speaker,yes,NA
206,810294,4661-c,yes,yes,poor set up. took almost 20minutes for a dollar. mostly waiting.,okay,speaker,yes,NA
207,794297,7131-3,yes,yes,NA,okay,speaker,yes,NA
208,486281,7131-3,yes,yes,no,okay,listener,yes,NA
209,612643,3843-c,yes,yes,This was lots of fun thanks for posting it,loved,speaker,yes,NA
210,576971,7555-2,yes,yes,no,okay,speaker,yes,NA
211,558250,3540-a,yes,yes,"Partner was great, experiment was great. Thank you!",loved,listener,yes,NA
0,87274,9486-4,no,yes,"There were no 50 rounds, it skipped ahead to this survey.  I will try again.",okay,listener,yes,0
1,751649,3676-4,yes,yes,It was very interesting,loved,listener,yes,45
2,709593,8295-7,yes,yes,that&quotechars a fun experiment!,loved,speaker,yes,43
3,1358867,8351-5,yes,yes,thanks for the interesting study,liked,speaker,yes,46
4,70650,8497-4,yes,yes,Im not sure what happened but I only did a few rounds. Maybe the other person disconnected?,not much,speaker,yes,1
5,825315,2269-9,yes,yes,It went very smooth and we were able to get almost all of them.,loved,speaker,yes,47
6,1442982,7328-c,yes,yes,Very fun!,liked,speaker,yes,48
7,926647,4878-c,yes,yes,,liked,speaker,yes,45
8,628955,4741-4,yes,yes,,loved,speaker,yes,46
9,608079,8333-3,yes,yes,Why did I not get to finish?,loved,speaker,yes,44
10,837496,7286-9,yes,yes,,okay,listener,yes,36
11,634924,1034-2,yes,yes,,not much,speaker,yes,39
12,747447,3801-9,yes,yes,,liked,listener,yes,45
13,911840,1013-2,yes,yes,fun exercise,loved,listener,yes,46
14,975757,1013-2,yes,yes,My partner had more issues with light/dark so I tried to use the dark/light as much. It&quotechars hard to explain them and I find sometimes the only way to distinguish between two similar colors is to mention the brightness/vibrancy of the color.,loved,speaker,yes,46
15,709351,3838-0,yes,yes,"I submitted one before but exceeded refresh rate and had to do it again.  I was the listener in the previous session and had 2 errors.  Said ""you did well"" to partner they replied ""thanks""",loved,speaker,yes,47
16,1190214,3506-5,yes,yes,fun,loved,speaker,yes,46
17,1223752,3373-b,yes,yes,this was very fun!,loved,speaker,yes,45
18,538435,2329-a,yes,yes,,loved,speaker,yes,50
19,678802,3016-d,yes,yes,Thank you.,loved,speaker,yes,43
20,675897,3016-d,yes,yes,survey was fun!!,loved,listener,yes,43
21,751879,3676-4,yes,yes,,loved,speaker,yes,45
22,1075201,4804-8,yes,yes,,liked,listener,yes,47
23,630338,0736-7,yes,yes,,loved,speaker,yes,47
24,729160,4119-5,yes,yes,nope,liked,speaker,NA,46
25,968003,6631-5,yes,yes,No comments,loved,listener,yes,44
26,1057409,3466-2,yes,yes,cool experiment,loved,listener,yes,46
27,721246,3322-8,yes,yes,,okay,listener,yes,42
28,636359,8118-e,no,yes,,okay,listener,yes,46
29,1091504,1157-c,yes,yes,Interesting and enjoyable. Long for the pay.,liked,listener,yes,42
30,1014325,2799-8,yes,yes,That was fun. Thank you.,liked,speaker,yes,46
31,1288855,1323-b,yes,yes,"I loved doing this and had a lot of fun with my partner , they were great thank you for this it was really nice to do something different",loved,speaker,yes,47
32,766682,7804-6,yes,yes,I would have liked my partner more if they chatted a tiny bit. But I can&quotechart complain because they got all but one right.,liked,speaker,yes,49
33,943377,2011-d,yes,yes,,loved,speaker,yes,42
34,672123,7941-7,yes,yes,,loved,listener,yes,49
35,539983,8985-a,yes,yes,No,liked,listener,yes,48
36,33781,7654-4,yes,yes,I didn&quotechart get to work with a partner. I guess they left.,not much,listener,yes,0
37,609692,0767-f,yes,yes,,not much,listener,yes,44
38,644358,7905-9,yes,yes,,liked,listener,yes,42
39,1087865,4804-8,yes,yes,,okay,speaker,yes,47
40,902381,8320-3,yes,yes,"I liked this a lot, please email me for follow-ups.",loved,speaker,yes,45
41,966890,2799-8,yes,yes,,loved,listener,yes,46
42,1515817,6698-2,yes,yes,"This was really fun, thanks!",loved,listener,yes,43
43,1074441,6088-7,yes,yes,Very interesting; Thanks!,okay,speaker,yes,44
44,762857,9054-b,yes,yes,,okay,listener,yes,44
45,541515,2329-a,no,yes,,liked,listener,yes,50
46,800011,1228-a,yes,yes,,liked,speaker,yes,47
47,732800,3322-8,yes,yes,It was fun! :),liked,speaker,yes,42
48,687309,8295-7,yes,yes,,liked,listener,yes,43
49,718195,8185-2,yes,yes,this was fun!,loved,speaker,yes,46
50,933637,0239-7,no,yes,"Cool study, thank you!",liked,speaker,yes,49
51,926368,5509-c,yes,yes,interesting,liked,listener,yes,43
52,1241972,1323-b,yes,yes,great experiment!! I want to do it again!!,loved,listener,yes,47
53,939892,8794-6,yes,yes,That was a lot of fun!,loved,speaker,yes,47
54,612793,6647-7,yes,yes,,okay,listener,yes,45
55,434125,5777-0,yes,yes,Did my partner leave?,okay,listener,yes,7
56,971201,5509-c,yes,yes,Wow great experiment! So much fun and really had a great time cooperating with my partner!,loved,speaker,yes,43
57,1042856,9645-7,yes,yes,It was interesting.,okay,speaker,yes,50
58,845254,5762-e,yes,yes,,liked,speaker,yes,38
59,805135,7053-5,yes,yes,Thanks!,loved,speaker,yes,49
60,691856,8261-8,yes,yes,,loved,listener,yes,48
61,1302683,3319-d,yes,yes,"This was a really neat HIT, I enjoyed it quite a bit. I wanted to let you know, per the instructions, that this took us longer than 15 min. It was more like 20-22 minutes. I think the bonus will make up for some of that extra time, but if you&quotechard like to comp us a little more, that&quotechard be great too! Thanks for the neat HIT :)",loved,speaker,yes,49
62,1410427,4003-8,no,yes,"None of the colors was much like natural or common objects so that made it harder. My partner seemed to choose deliberately wrong sometimes. Without a second chance to communicate on the choice it was hard to develop a better mutual understanding of the colors we seemed to have trouble with, like grays",okay,speaker,yes,43
63,672906,8958-0,yes,yes,Great experiment!,loved,speaker,yes,43
64,802597,1228-a,yes,yes,Speaker kept telling me brown for grey and orange for another color that didn&quotechart show orange on my screen. Kind of weird.,okay,listener,yes,47
65,1032421,8719-a,yes,yes,"Some of those were difficult! Also, I&quotecharm sure monitor calibration was probably to blame for one or two missed ones.",loved,listener,yes,47
66,769352,3801-9,yes,yes,no,loved,speaker,yes,45
67,542974,1613-e,yes,yes,fun HIT!,liked,listener,yes,47
68,774150,6116-3,yes,yes,"Fun, interesting hit!",liked,speaker,yes,49
69,949198,4380-e,yes,yes,it was fun,loved,listener,yes,45
70,844822,2202-1,yes,yes,That was a good experiment,loved,speaker,yes,48
71,685208,5493-b,yes,yes,,okay,listener,yes,48
72,641566,0713-f,yes,yes,"I found this one to be really interesting! Describing what it isn&quotechart, rather than what it is, really helped. My partner was fast and kind to me.",loved,speaker,yes,48
73,653303,7905-9,yes,yes,it was fun!,liked,speaker,yes,42
74,942139,8580-e,yes,yes,,okay,speaker,yes,47
75,937652,8452-c,yes,yes,,liked,listener,yes,47
76,787500,2159-2,yes,yes,no comments.,loved,speaker,yes,46
77,951473,6994-f,yes,yes,Great survey!,okay,speaker,yes,45
78,1333181,8351-5,yes,yes,Thanks!,loved,listener,yes,46
79,689979,6547-745,yes,yes,it was fun,liked,listener,yes,43
80,942883,6149-8,yes,yes,That was a lot of fun! Good luck in your research!,liked,speaker,yes,42
81,554930,6545-2,yes,yes,,liked,speaker,yes,43
82,794124,1034-2,yes,yes,"Very fun survey, thanks!",liked,listener,yes,39
83,666827,3262-2,yes,yes,no,liked,speaker,yes,48
84,1038833,2639-b,yes,yes,None,liked,speaker,yes,39
85,1203864,6570-5,yes,yes,none,okay,speaker,yes,45
86,921717,0331-f,yes,yes,Great experiment!,loved,listener,yes,46
87,1020635,8547-9,yes,yes,,okay,speaker,yes,47
88,874455,1169-b,yes,yes,,liked,listener,yes,42
89,642688,4087-7,yes,yes,No,okay,speaker,yes,40
90,139283,7331-8,yes,yes,The survey ended after 5 trials? i think something bad happened.,okay,listener,yes,3
91,1079498,1157-c,yes,yes,No Comments Thanks For Asking Though ;),okay,speaker,yes,42
92,447699,7735-2,yes,yes,,loved,speaker,yes,48
93,1010658,6631-5,yes,yes,"No, it was fun and did get a little difficult with some of the color differentiations!",liked,speaker,yes,44
94,1270134,0389-5,yes,yes,I was unsure if I was supposed to say the colors as my partner suggested,liked,speaker,yes,45
95,1093511,6655-7,yes,yes,lots of fun,loved,listener,yes,50
96,734470,1136-b,yes,yes,It was fun.,liked,listener,yes,46
97,1004966,2730-a,yes,yes,Nice to play with another human instead of a robot like some HITs do. It was actually pretty fun! :),liked,listener,yes,44
98,648168,6540-c,yes,yes,None,loved,speaker,yes,42
99,628228,8958-0,yes,yes,,okay,listener,yes,43
100,929796,7504-d,yes,yes,Very interesting!,loved,listener,yes,47
101,768488,2159-2,yes,yes,"It was fun, thanks.",liked,listener,yes,46
102,434981,6816-4,yes,yes,I did not understand what happened at the end when  she stopped communicating at 15 rounds. Fun hit.,loved,listener,yes,14
103,948813,1773-7,yes,yes,Surprisingly fun. Thanks for the great hit!,loved,listener,yes,50
104,2014327,8393-1,yes,yes,,liked,speaker,yes,41
105,2024492,8393-1,yes,yes,the survey was fun!! :),loved,listener,yes,41
106,636373,3454-a,yes,yes,Fun,loved,listener,yes,46
107,783087,8569-c,yes,yes,,not much,speaker,yes,44
108,712229,7886-f,yes,yes,This experiment is a lot of fun! I enjoy the challenge of trying to differentiate between two very similar shades.,okay,speaker,yes,46
109,590568,8446-8,yes,yes,,okay,speaker,yes,40
110,702312,9487-1,yes,yes,"Oh my gosh, some of those were harder to describe than I thought they would be. My partner did FANTASTIC at figuring out what I was trying to say! It was also a lot of fun. :)",loved,speaker,yes,49
111,1146201,9307-f,yes,yes,I had a great partner who knew colors well.  Fun.,loved,speaker,yes,48
112,724861,0716-6,yes,yes,,not much,listener,yes,47
113,861694,0869-7,yes,yes,no,loved,listener,yes,46
114,1126299,2901-6,yes,yes,,loved,speaker,yes,49
115,563185,3466-0,yes,yes,,liked,listener,yes,48
116,1037390,4302-e,yes,yes,This was fun!,loved,speaker,yes,45
117,661996,0767-f,yes,yes,I was first leery of saying the exact color to my partner but they seemed upset so I just went with trying to tell them the exact color.,okay,speaker,yes,44
118,164511,2669-f,yes,yes,There was no game or partner.  The screen automatically took me to this screen.,okay,listener,yes,0
119,788399,8185-2,no,yes,COmpleted honestly and with thought.  Bonus&quotechars appreciated! Thanks,loved,listener,yes,46
120,644406,8118-e,yes,yes,,loved,speaker,yes,46
121,653186,3262-2,yes,yes,,loved,listener,yes,48
122,831195,1651-6,yes,yes,"Very fun HIT, thanks!",loved,speaker,yes,48
123,740375,3866-e,yes,yes,Great experiment!,loved,listener,yes,45
124,758661,3159-0,yes,yes,,liked,listener,yes,48
125,1430082,1543-e,yes,yes,I think I did better this time,liked,speaker,yes,43
126,871555,7504-d,yes,yes,No,okay,speaker,yes,47
