"role","gameid","workerid_uniq"
"speaker","9146-e",144
"listener","9146-e",191
"listener","7209-c",123
"speaker","7209-c",81
"speaker","2986-a",146
"speaker","3432-6",47
"listener","3432-6",56
"speaker","8961-d",165
"speaker","7601-b",72
"listener","7601-b",193
"listener","1220-a",80
"speaker","1220-a",34
"speaker","0429-9",136
"listener","0429-9",140
"speaker","7277-5",184
"listener","7277-5",62
"speaker","9923-6",134
"listener","2806-5",17
"listener","9923-6",9
"speaker","2806-5",69
"speaker","5711-e",137
"listener","5711-e",32
"speaker","7469-3",116
"listener","4719-3",1
"speaker","4719-3",108
"speaker","5368-b",75
"listener","5368-b",33
"listener","2355-4",78
"speaker","2355-4",163
"speaker","6694-c",100
"listener","6694-c",114
"listener","3266-5",168
"speaker","3266-5",45
"speaker","6765-a",151
"speaker","4108-c",173
"listener","4108-c",10
"speaker","8516-9",22
"listener","8516-9",162
"listener","8441-d",40
"speaker","8441-d",124
"speaker","7919-e",6
"listener","7919-e",41
"speaker","6914-7",178
"speaker","4929-3",46
"speaker","3014-a",5
"listener","3014-a",183
"speaker","0763-2",97
"speaker","5774-6",117
"speaker","9144-a",50
"listener","0763-2",84
"listener","9144-a",28
"speaker","6207-d",2
"listener","6207-d",186
"listener","3922-a",87
"speaker","3922-a",61
"listener","9960-e",196
"speaker","5574-2",11
"speaker","9960-e",126
"listener","5574-2",164
"speaker","5472-0",14
"listener","5472-0",15
"speaker","9680-6",180
"listener","9680-6",59
"speaker","2265-d",119
"listener","2265-d",150
"listener","7179-0",49
"listener","5336-a",120
"speaker","7179-0",70
"listener","5336-a",42
"speaker","0813-a",20
"listener","0813-a",44
"speaker","8757-5",103
"listener","8757-5",198
"speaker","8358-9",148
"listener","8358-9",170
"speaker","1593-2",76
"listener","1593-2",141
"listener","5568-1",142
"speaker","9353-3",132
"listener","9353-3",53
"speaker","5568-1",110
"speaker","4756-2",149
"speaker","2762-9",12
"listener","5144-7",65
"speaker","5144-7",24
"speaker","1486-e",30
"listener","1486-e",23
"speaker","4845-f",29
"listener","4845-f",90
"listener","9486-4",203
"listener","3676-4",80
"speaker","8295-7",188
"speaker","8351-5",204
"speaker","8497-4",205
"speaker","2269-9",201
"speaker","7328-c",200
"speaker","4878-c",202
"speaker","4741-4",199
"speaker","8333-3",211
"listener","7286-9",182
"speaker","1034-2",206
"listener","3801-9",212
"listener","1013-2",209
"speaker","1013-2",201
"speaker","3838-0",207
"speaker","3506-5",210
"speaker","3373-b",208
"speaker","2329-a",184
"speaker","3016-d",218
"listener","3016-d",172
"speaker","3676-4",219
"listener","4804-8",217
"speaker","0736-7",214
"speaker","4119-5",215
"listener","6631-5",216
"listener","3466-2",213
"listener","3322-8",222
"listener","8118-e",225
"listener","1157-c",221
"speaker","2799-8",224
"speaker","1323-b",220
"speaker","7804-6",201
"speaker","2011-d",227
"listener","7941-7",223
"listener","8985-a",226
"listener","7654-4",235
"listener","0767-f",233
"listener","7905-9",230
"speaker","4804-8",234
"speaker","8320-3",231
"listener","2799-8",44
"listener","6698-2",228
"speaker","6088-7",229
"listener","9054-b",232
"listener","2329-a",244
"speaker","1228-a",236
"speaker","3322-8",239
"listener","8295-7",238
"speaker","8185-2",241
"speaker","0239-7",237
"listener","5509-c",242
"listener","1323-b",240
"speaker","8794-6",243
"listener","6647-7",246
"listener","5777-0",245
"speaker","5509-c",247
"speaker","9645-7",248
"speaker","5762-e",249
"speaker","7053-5",253
"listener","8261-8",251
"speaker","3319-d",250
"speaker","4003-8",252
"speaker","8958-0",258
"listener","1228-a",257
"listener","8719-a",256
"speaker","3801-9",58
"listener","1613-e",259
"speaker","6116-3",260
"listener","4380-e",255
"speaker","2202-1",254
"listener","5493-b",251
"speaker","0713-f",201
"speaker","7905-9",264
"speaker","8580-e",263
"listener","8452-c",261
"speaker","2159-2",267
"speaker","6994-f",266
"listener","8351-5",268
"listener","6547-7",262
"speaker","6149-8",265
"speaker","6545-2",275
"listener","1034-2",272
"speaker","3262-2",273
"speaker","2639-b",271
"speaker","6570-5",270
"listener","0331-f",258
"speaker","8547-9",269
"listener","1169-b",274
"speaker","4087-7",226
"listener","7331-8",282
"speaker","1157-c",277
"speaker","7735-2",235
"speaker","6631-5",281
"speaker","0389-5",278
"listener","6655-7",279
"listener","1136-b",276
"listener","2730-a",280
"speaker","6540-c",283
"listener","8958-0",286
"listener","7504-d",284
"listener","2159-2",291
"listener","6816-4",287
"listener","1773-7",290
"speaker","8393-1",289
"listener","8393-1",285
"listener","3454-a",288
"speaker","8569-c",233
"speaker","7886-f",293
"speaker","8446-8",298
"speaker","9487-1",296
"speaker","9307-f",297
"listener","0716-6",235
"listener","0869-7",294
"speaker","2901-6",279
"listener","3466-0",295
"speaker","4302-e",292
"speaker","0767-f",304
"listener","2669-f",301
"listener","8185-2",303
"speaker","8118-e",299
"listener","3262-2",305
"speaker","1651-6",300
"listener","3866-e",258
"listener","3159-0",302
"speaker","1543-e",306
"speaker","7504-d",309
"speaker","4860-7",308
"listener","0479-6",258
"listener","4860-7",312
"speaker","4917-b",286
"listener","2639-b",307
"speaker","6547-7",313
"listener","7417-5",310
"listener","7736-e",311
"speaker","6647-7",318
"listener","8446-8",314
"speaker","5777-0",319
"speaker","4141-e",320
"speaker","8719-a",317
"listener","6856-2",180
"speaker","4574-0",316
"listener","4552-a",315
"listener","7501-8",300
"listener","7886-f",321
"listener","6545-2",326
"listener","8580-e",323
"listener","8320-3",324
"listener","1271-1",327
"speaker","6698-2",322
"speaker","1404-9",277
"speaker","0106-1",325
"listener","3791-8",286
"listener","6994-f",331
"listener","3506-5",321
"speaker","2136-2",332
"listener","4087-7",333
"speaker","3035-8",329
"listener","0473-c",328
"listener","7007-b",278
"speaker","1359-d",300
"speaker","8141-6",330
"speaker","0479-6",233
"speaker","9629-5",321
"speaker","5054-1",287
"listener","4120-1",307
"speaker","0869-7",286
"listener","2755-a",335
"listener","8858-2",278
"speaker","8775-2",254
"speaker","8452-5",334
"listener","1188-a",337
"listener","9487-1",64
"speaker","7286-9",341
"speaker","8452-c",339
"listener","6570-5",336
"speaker","1735-5",340
"listener","8547-9",277
"listener","4622-d",236
"listener","0599-7",338
"listener","0736-7",319
"listener","6116-3",219
"speaker","4380-e",342
"listener","9645-7",343
"listener","6158-c",236
"listener","2269-9",235
"listener","0936-f",344
"listener","1082-8",300
"speaker","3262-c",345
"speaker","0322-8",222
"listener","3838-0",348
"speaker","1271-1",349
"listener","7053-5",268
"speaker","8901-6",347
"listener","1925-1",346
"listener","8574-6",235
"listener","3071-a",350
"listener","9115-f",326
"speaker","1613-e",318
"speaker","4984-a",352
"listener","4119-5",293
"listener","7208-8",351
"listener","0389-5",354
"speaker","5759-a",353
"speaker","4992-e",226
"speaker","0891-0",268
"listener","8954-7",334
"speaker","7208-8",21
"speaker","1930-7",356
"speaker","7417-5",319
"speaker","7040-8",222
"speaker","8814-1",348
"speaker","0662-1",357
"speaker","0197-6",355
"listener","9839-4",359
"listener","5557-3",358
"listener","4869-3",361
"speaker","2073-e",360
"listener","4992-e",362
"speaker","1652-4",348
"speaker","5567-1",222
"speaker","7344-b",268
"listener","5617-8",364
"listener","0133-f",232
"listener","2472-9",363
"listener","1930-7",367
"listener","6452-3",371
"speaker","9719-9",366
"listener","9307-f",368
"listener","5553-4",369
"listener","0197-6",365
"listener","6552-b",318
"speaker","7690-c",222
"speaker","6803-b",370
"listener","4984-a",226
"speaker","3466-2",373
"speaker","3904-b",274
"listener","9719-9",374
"listener","5759-a",303
"listener","2386-b",222
"listener","7412-4",375
"speaker","7753-a",372
"listener","4277-8",292
"speaker","6655-7",381
"listener","4033-4",380
"speaker","7254-f",376
"speaker","6468-7",379
"speaker","6536-6",377
"listener","6597-6",384
"listener","7653-9",382
"listener","1099-8",378
"speaker","8925-0",383
"listener","7735-2",365
"speaker","6856-2",309
"listener","1404-9",386
"speaker","0716-6",385
"speaker","1925-1",245
"listener","1008-c",373
"speaker","2755-a",319
"speaker","7133-7",387
"listener","9713-a",213
"listener","0322-8",389
"listener","1735-5",391
"listener","1526-7",392
"speaker","1211-6",226
"speaker","5754-b",341
"speaker","5979-c",390
"listener","7753-a",388
"listener","6178-5",115
"listener","2166-8",292
"listener","4917-b",393
"listener","4742-9",226
"listener","2073-e",188
"listener","7804-6",396
"speaker","1526-7",397
"listener","0662-1",394
"listener","3330-6",398
"listener","8367-b",395
"speaker","7122-8",232
"listener","7099-3",399
"listener","2377-b",401
"speaker","6158-c",339
"speaker","1291-1",400
"listener","5199-4",262
"speaker","3947-0",222
"speaker","7675-4",403
"listener","4339-d",258
"listener","3920-e",402
"speaker","4869-3",408
"speaker","4033-4",407
"listener","6088-7",406
"listener","5128-f",188
"speaker","4285-a",262
"speaker","7811-5",404
"speaker","5962-f",382
"speaker","7502-4",405
"speaker","6860-8",352
"speaker","6452-3",409
"speaker","1146-c",316
"speaker","3957-d",410
"speaker","8767-6",318
"speaker","4706-9",411
"listener","3285-0",350
"speaker","9074-e",281
"listener","8461-d",199
"listener","6325-a",412
"speaker","6816-4",416
"speaker","5083-e",417
"speaker","3454-a",325
"listener","8814-1",413
"speaker","6327-c",415
"speaker","7201-5",414
"speaker","9904-3",258
"listener","2576-f",315
"speaker","9417-8",418
"speaker","1773-7",423
"speaker","0249-2",420
"listener","1891-2",425
"speaker","5697-7",419
"speaker","7018-f",424
"speaker","8875-d",426
"speaker","5971-3",421
"speaker","0237-1",268
"listener","3248-2",422
"speaker","2377-b",333
"speaker","1869-6",44
"listener","1869-6",429
"listener","1053-1",430
"listener","3846-c",427
"listener","3159-3",414
"speaker","0936-f",428
"listener","9978-f",319
"speaker","0780-8",350
"speaker","7636-7",432
"speaker","1053-1",431
"listener","8802-8",435
"listener","3373-b",335
"listener","7831-a",236
"listener","5567-1",414
"speaker","1055-e",433
"listener","9358-6",434
"speaker","5860-d",199
"listener","5083-e",440
"listener","2202-1",439
"listener","8063-b",438
"speaker","8261-8",442
"listener","0249-2",437
"speaker","8574-6",436
"listener","8689-8",443
"listener","3035-8",441
"listener","5532-5",286
"listener","8086-2",446
"listener","7636-7",447
"listener","7254-f",444
"listener","8901-6",188
"listener","2427-6",445
"listener","5589-f",344
"speaker","2068-1",339
"listener","0990-6",321
"listener","7254-e",226
"speaker","7099-3",414
"speaker","0265-e",448
"speaker","8154-9",451
"listener","5239-4",450
"listener","9904-3",449
"listener","8844-9",335
"listener","8774-f",383
"speaker","9720-6",226
"speaker","3603-b",123
"listener","0106-1",258
"listener","3742-5",352
"listener","5896-6",452
"speaker","6330-8",453
"speaker","1891-2",44
"speaker","7528-f",235
"listener","3174-b",251
"listener","7917-a",449
"listener","6860-8",199
"speaker","3742-5",457
"speaker","1136-b",458
"listener","8333-5",456
"speaker","2730-a",454
"listener","2901-6",455
"listener","8775-2",411
"listener","2178-4",382
"listener","3336-1",287
"listener","2927-4",358
"listener","6694-e",461
"speaker","1468-7",459
"listener","6540-c",462
"listener","7886-0",460
"speaker","1008-c",188
"speaker","8774-f",463
"listener","3724-2",335
"listener","4711-d",326
"listener","0147-d",464
"listener","0265-e",470
"listener","3110-b",319
"listener","5054-1",467
"speaker","7886-0",471
"speaker","7412-4",465
"speaker","2971-5",466
"listener","4878-c",469
"listener","8569-c",294
"listener","8517-9",468
"speaker","2753-b",474
"listener","3957-d",475
"speaker","5896-6",219
"listener","3945-0",473
"speaker","2427-6",231
"speaker","1103-8",313
"speaker","2660-a",472
"listener","7879-8",235
"speaker","6963-e",199
"listener","6706-9",478
"listener","2427-e",481
"listener","7912-7",437
"listener","3920-3",479
"listener","7328-c",477
"speaker","8695-0",476
"speaker","4340-c",222
"listener","6149-8",385
"speaker","5148-b",480
"speaker","4742-9",484
"speaker","7912-7",482
"listener","2753-b",194
"listener","3833-5",112
"speaker","8063-b",487
"speaker","1361-b",483
"listener","7040-8",485
"listener","6330-8",486
"speaker","2921-f",477
"speaker","2427-e",490
"listener","1146-c",488
"speaker","6694-e",468
"listener","2136-2",233
"speaker","5557-c",309
"listener","5762-e",489
"listener","6327-c",385
"listener","6010-a",363
"speaker","2052-9",491
"speaker","6706-9",494
"speaker","3791-8",497
"speaker","3833-5",499
"listener","0219-7",495
"speaker","8333-5",496
"speaker","7112-9",498
"listener","8695-0",493
"speaker","7831-a",385
"listener","5148-b",492
"speaker","8086-2",318
"speaker","0219-7",503
"listener","1361-b",500
"speaker","3920-3",273
"listener","8794-6",504
"speaker","4120-1",502
"listener","8972-7",501
"listener","7967-f",251
"speaker","8502-d",254
"listener","9629-5",505
"speaker","5666-f",318
"speaker","3159-3",340
"speaker","3945-0",507
"speaker","2914-3",325
"listener","6036-e",468
"listener","5111-1",425
"speaker","4958-b",508
"listener","6730-a",506
"listener","1211-6",512
"listener","5666-f",511
"speaker","0331-f",359
"speaker","5553-4",510
"listener","1291-1",468
"speaker","2092-3",509
"listener","8875-d",513
"speaker","8032-5",335
"listener","0084-6",340
"listener","4004-0",515
"listener","8680-3",514
"listener","5979-c",517
"listener","1212-5",365
"listener","0742-4",468
"listener","5104-8",518
"listener","8520-2",294
"listener","9074-e",516
"speaker","7085-3",315
"speaker","8680-3",393
"listener","5557-c",330
"listener","1651-6",521
"listener","9804-0",520
"listener","5697-7",313
"listener","4003-8",519
"speaker","3600-c",425
"listener","8086-b",418
"listener","3477-f",319
"listener","1468-7",211
"speaker","3110-b",522
"listener","5754-b",237
"speaker","2386-b",436
"listener","0219-2",526
"speaker","0219-2",524
"speaker","8972-7",525
"speaker","8535-b",425
"speaker","5169-f",523
"speaker","0836-2",527
"listener","2011-d",321
"listener","8154-9",528
"speaker","3330-6",311
"listener","9911-6",235
"speaker","7254-e",530
"listener","8995-7",44
"listener","0144-d",529
"speaker","6106-f",262
"speaker","3358-0",461
"speaker","3682-0",531
"speaker","8858-2",254
"listener","3999-9",316
"speaker","9911-6",188
"speaker","3206-1",295
"listener","5672-9",107
"listener","3225-1",491
"speaker","8954-7",258
"listener","1705-9",537
"listener","3682-0",472
"speaker","5493-b",532
"speaker","4974-e",219
"speaker","5104-8",534
"speaker","7455-a",536
"speaker","9405-b",533
"speaker","9175-b",535
"listener","4126-9",315
"speaker","5451-1",382
"speaker","5239-4",339
"listener","7344-b",538
"listener","4958-b",302
"speaker","6837-4",319
"speaker","3940-b",286
"speaker","9586-c",300
"listener","1729-3",539
"speaker","2794-c",254
"speaker","8233-5",303
"speaker","3111-d",316
"listener","5451-1",540
"listener","5035-e",219
"listener","1686-e",273
"speaker","3999-9",233
"listener","3012-6",422
"speaker","4126-9",382
"speaker","8855-6",312
"listener","6468-7",233
"listener","3111-d",273
"speaker","3866-e",394
"listener","3319-d",543
"speaker","9348-d",541
"listener","3734-3",268
"listener","8354-d",542
"speaker","6325-a",539
"speaker","8270-5",300
"listener","9941-b",545
"speaker","3938-b",547
"listener","4706-9",281
"listener","9895-8",131
"speaker","6377-0",546
"speaker","3949-8",544
"listener","1543-e",286
"listener","2600-1",292
"speaker","1173-5",295
"listener","0891-0",449
"speaker","1169-b",548
"speaker","0373-5",300
"speaker","1082-8",550
"speaker","3942-1",273
"listener","8141-6",14
"speaker","7251-8",235
"speaker","3920-e",286
"speaker","8089-4",549
"listener","3358-0",407
"listener","2914-3",552
"speaker","5035-e",553
"listener","6730-a",510
"listener","4879-7",302
"speaker","5532-5",268
"speaker","0672-a",554
"listener","9175-b",286
"speaker","2472-9",551
"speaker","5604-e",472
"listener","8767-6",556
"speaker","5199-4",555
"listener","3938-b",557
"listener","2921-f",330
"listener","3206-1",302
"listener","8535-b",273
"speaker","2178-4",235
"listener","1397-6",335
"speaker","6036-e",524
"speaker","1686-e",287
"listener","3864-c",560
"listener","8890-2",561
"listener","5781-2",123
"listener","0780-8",559
"listener","5519-4",558
"speaker","7488-3",258
"listener","4893-9",542
"speaker","3864-c",473
"speaker","6765-6",539
"speaker","5589-f",472
"speaker","5781-2",281
"speaker","1099-8",542
"listener","1103-8",235
"speaker","1729-3",232
"speaker","4080-f",294
"speaker","0002-7",319
"listener","9013-6",277
"listener","0448-f",542
"speaker","8890-2",44
"speaker","8367-b",408
"listener","7201-5",466
"speaker","8366-5",254
"speaker","4339-d",287
"listener","0215-2",315
"speaker","8084-4",562
"listener","7941-a",563
"listener","2220-9",564
"listener","3940-b",287
"speaker","7984-6",566
"listener","0672-a",472
"speaker","3466-0",254
"listener","3000-6",562
"listener","3524-2",286
"listener","2200-3",565
"speaker","5395-f",461
"listener","5395-f",200
"speaker","8985-a",542
"speaker","9978-f",213
"speaker","5463-0",223
"listener","7724-9",567
"speaker","7736-e",199
"speaker","8517-9",402
"listener","0513-8",312
"speaker","4752-7",516
"listener","6837-4",569
"listener","1055-e",369
"listener","1359-d",570
"listener","0424-8",571
"listener","6171-1",335
"speaker","6238-a",568
"speaker","2783-c",572
"speaker","0847-6",262
"speaker","6552-b",573
"listener","4340-c",563
"speaker","5830-5",365
"listener","1179-b",468
"speaker","3816-5",287
"listener","8642-0",235
"speaker","0215-2",279
"listener","6619-3",565
"speaker","3682-7",236
"speaker","5128-f",340
"listener","6377-0",575
"listener","0235-d",486
"listener","8032-5",574
"listener","7133-7",468
"listener","6559-2",315
"speaker","5854-b",300
"listener","3603-b",549
"listener","7058-4",292
"speaker","9013-6",407
"speaker","7941-a",307
"speaker","2617-5",578
"speaker","7286-3",577
"speaker","7007-b",318
"speaker","7653-9",565
"listener","6238-a",576
"listener","0476-7",402
"listener","7134-9",236
"listener","0373-5",481
"speaker","1070-6",579
"listener","4741-4",464
"listener","7502-4",277
"listener","8084-4",546
"speaker","0492-5",468
"speaker","8461-d",279
"speaker","0144-d",233
"speaker","9258-7",232
"listener","7607-b",581
"listener","2068-1",313
"listener","5463-0",580
"listener","5971-3",542
"speaker","6433-2",254
"listener","8502-d",472
"speaker","4915-7",236
"listener","6547-7",491
"listener","8452-5",226
"speaker","5111-1",449
"speaker","8233-7",364
"speaker","6736-1",279
"listener","7480-8",583
"listener","0492-5",236
"listener","0237-1",582
"speaker","5225-2",292
"listener","0573-1",235
"listener","3858-6",233
"speaker","2406-5",586
"speaker","0923-5",585
"speaker","8642-0",222
"speaker","3162-4",546
"speaker","3336-1",352
"speaker","4229-d",350
"listener","7122-8",123
"listener","0082-f",236
"listener","5718-7",584
"listener","2617-5",335
"listener","9967-b",588
"listener","1070-6",391
"speaker","0473-c",589
"listener","7383-6",587
"listener","2010-8",330
"listener","1643-5",568
"speaker","5718-7",350
"speaker","0119-4",449
"speaker","0448-f",236
"listener","7224-2",591
"speaker","2066-9",582
"speaker","0678-3",590
"speaker","0599-7",226
"listener","4024-b",223
"listener","8636-b",306
"speaker","3375-b",382
"listener","7597-5",592
"listener","1670-2",527
"listener","8233-7",594
"listener","4950-2",295
"listener","5313-a",593
"speaker","4631-4",558
"speaker","6597-6",535
"speaker","7134-9",542
"speaker","6407-f",254
"speaker","3661-6",418
"speaker","7941-7",321
"speaker","3174-b",590
"listener","7675-4",595
"speaker","6748-0",596
"listener","3816-5",295
"speaker","6171-1",254
"listener","4080-f",373
"speaker","3225-1",330
"listener","4629-a",236
"listener","6765-6",598
"speaker","7607-b",599
"listener","6736-1",436
"speaker","0424-8",219
"speaker","6771-0",565
"speaker","3120-1",600
"listener","9490-3",330
"listener","1830-9",597
"listener","8855-6",44
"speaker","1670-2",590
"listener","4752-7",359
"speaker","0235-d",602
"listener","1193-e",236
"speaker","2576-f",251
"listener","7488-3",219
"speaker","9115-f",601
"speaker","5801-8",254
"listener","7556-c",603
"speaker","1772-b",440
"speaker","4950-2",209
"listener","6338-3",604
"speaker","9839-4",375
"speaker","6710-f",491
"speaker","5185-7",123
"listener","3285-1",21
"speaker","9054-b",335
"speaker","2600-1",235
"speaker","5087-4",347
"listener","1788-3",607
"listener","3162-4",605
"listener","2802-b",565
"speaker","2802-b",608
"speaker","4000-9",606
"listener","8065-f",491
"listener","8034-c",44
"listener","5932-1",529
"listener","1754-1",609
"listener","2406-5",610
"speaker","8595-6",611
"speaker","7724-9",425
"listener","7455-a",295
"listener","5854-b",223
"speaker","9490-3",468
"listener","0532-1",334
"listener","9290-6",345
"listener","5087-4",613
"listener","2377-f",612
"speaker","3734-3",383
"speaker","3556-8",107
"speaker","6720-4",251
"speaker","4893-9",425
"speaker","8636-b",258
"listener","9375-7",319
"speaker","9290-6",418
"speaker","1754-1",258
"speaker","6338-3",619
"listener","1102-0",617
"speaker","6819-e",614
"listener","4631-4",616
"speaker","9823-2",618
"speaker","7246-8",615
"listener","4915-7",281
"listener","8089-4",418
"listener","3947-0",623
"listener","7811-5",624
"listener","6819-e",622
"listener","0923-5",621
"speaker","2811-d",480
"speaker","1193-e",620
"speaker","3924-e",295
"speaker","8436-e",449
"speaker","2955-4",319
"listener","3949-8",312
"speaker","0742-4",625
"speaker","0851-9",451
"listener","2066-9",73
"listener","3924-e",425
"speaker","5335-b",535
"listener","4742-a",468
"listener","5225-2",295
"speaker","8236-1",226
"listener","1574-d",632
"listener","4285-a",629
"listener","4974-e",469
"speaker","9149-3",626
"listener","7286-3",306
"listener","8456-e",630
"listener","9586-c",631
"speaker","7383-6",628
"speaker","6559-2",627
"listener","3845-1",212
"listener","2773-d",633
"speaker","5313-a",634
"listener","9823-2",635
"speaker","7967-f",385
"listener","5335-b",287
"speaker","6547-7",607
"listener","8436-e",300
"speaker","9501-2",262
"listener","1772-b",548
"listener","9149-3",639
"listener","5842-c",375
"speaker","5842-c",637
"speaker","8456-e",640
"speaker","5617-8",352
"listener","4574-0",636
"listener","6748-0",638
"listener","8366-5",590
"listener","6536-6",85
"listener","7528-f",643
"speaker","1102-0",644
"speaker","2220-9",642
"listener","5830-5",447
"listener","0851-9",373
"speaker","0990-6",641
"listener","8236-1",234
"speaker","7034-b",226
"listener","1777-e",402
"speaker","7480-8",79
"speaker","3285-0",330
"listener","6720-4",222
"listener","8925-0",235
"speaker","1812-8",300
"listener","3440-c",236
"listener","5801-8",418
"speaker","0696-f",287
"speaker","3348-3",402
"listener","0678-3",226
"speaker","8844-9",313
"speaker","8520-2",319
"speaker","6617-d",268
"speaker","1400-6",235
"speaker","8292-7",382
"speaker","1470-6",358
"speaker","4076-9",292
"listener","3348-3",527
"speaker","5672-9",365
"listener","5962-f",468
"speaker","7405-4",222
"speaker","8354-d",402
"speaker","1643-5",645
"listener","6407-f",311
"listener","1173-5",363
"listener","3375-a",292
"listener","7984-6",647
"speaker","9993-d",262
"listener","6378-3",524
"speaker","4711-d",273
"speaker","0147-d",382
"speaker","2166-8",222
"speaker","4878-1",646
"speaker","0532-1",529
"listener","4616-b",468
"speaker","7917-a",648
"speaker","4333-f",262
"listener","5090-b",649
"listener","7405-4",251
"speaker","0426-b",294
"speaker","4020-0",232
"speaker","8557-6",254
"listener","8557-6",226
"speaker","6995-a",311
"speaker","4879-7",517
"listener","6803-b",345
"speaker","9921-8",262
"listener","6617-d",363
"listener","6710-f",472
"speaker","3012-6",524
"listener","3262-c",44
"listener","0119-4",292
"speaker","9734-1",422
"speaker","5519-4",312
"listener","1400-6",262
"speaker","6619-3",382
"speaker","2965-7",226
"speaker","1623-4",334
"speaker","8997-8",651
"listener","5958-d",292
"listener","5515-7",468
"listener","5587-3",650
"speaker","1892-a",654
"listener","9993-d",653
"speaker","0084-6",639
"listener","6433-2",385
"listener","1812-8",334
"speaker","4131-6",302
"listener","0581-b",652
"speaker","7990-0",422
"listener","6963-e",524
"speaker","5090-b",539
"listener","9405-b",601
"listener","4302-e",312
"speaker","3159-0",345
"listener","4229-d",251
"speaker","3000-6",655
"listener","4000-9",311
"speaker","5587-3",254
"speaker","3248-2",584
"speaker","6178-5",344
"listener","2660-a",345
"speaker","3724-2",313
"listener","5616-5",422
"speaker","0082-f",562
"listener","1623-4",319
"listener","0426-b",358
"speaker","5824-8",262
"listener","4928-6",324
"speaker","6378-3",258
"listener","3942-1",60
"speaker","5311-7",656
"listener","4333-f",268
"listener","9720-6",657
"listener","8292-7",311
"listener","7251-8",383
"listener","5367-4",315
"speaker","5055-f",232
"speaker","3071-a",319
"listener","7246-8",491
"speaker","4024-b",300
"speaker","6366-e",345
"speaker","4742-a",529
"speaker","9713-a",449
"speaker","5958-d",572
"speaker","1397-6",549
"listener","3375-b",295
"speaker","2010-8",335
"listener","6771-0",658
"listener","0002-7",418
"listener","3600-c",286
"listener","3793-4",292
"speaker","3285-1",295
"speaker","8034-c",449
"listener","0847-6",236
"listener","0262-3",287
"listener","4131-6",311
"listener","6366-e",258
"listener","8270-5",68
"speaker","6010-a",286
"speaker","4607-0",402
"speaker","5404-e",300
"listener","5860-d",535
"listener","2783-c",44
"listener","5055-f",468
"listener","9917-4",321
"listener","2794-c",233
"listener","4878-1",576
"listener","9133-e",235
"listener","5824-8",286
"speaker","9375-7",479
"speaker","5420-f",449
"listener","3682-7",549
"listener","3802-d",300
"listener","6106-f",222
"listener","4020-0",315
"listener","5404-e",565
"speaker","9925-0",449
"speaker","5868-8",300
"listener","2678-f",551
"speaker","1594-9",319
"speaker","3477-f",262
"listener","2955-4",226
"listener","2891-d",233
"speaker","2891-d",258
"listener","3661-6",294
"listener","4076-9",123
"speaker","6510-b",449
"speaker","8912-f",254
"speaker","0513-8",549
"listener","2938-9",582
