gameid,msgTime,roundNum,sender,contents,clkTime,condition,clickStatus,clickColH,clickColS,clickColL,clickLocS,clickLocL,alt1Status,alt1ColH,alt1ColS,alt1ColL,alt1LocS,alt1LocL,alt2Status,alt2ColH,alt2ColS,alt2ColL,alt2LocS,alt2LocL,targetD1Diff,targetD2Diff,D1D2Diff,outcome
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096760408,45,演说者,橙子,1501096762478,far,target,11,61,50,1,3,distr2,212,29,50,2,2,distr1,84,84,50,3,1,68,41,59,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096771366,46,演说者,最深,1501096775627,close,distr1,211,1,50,1,1,target,214,6,50,3,3,distr2,52,7,50,2,2,5,14,9,false
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096793464,47,演说者,不是树，不是天空,1501096796582,far,target,259,64,50,2,3,distr2,149,50,50,3,1,distr1,215,35,50,1,2,23,61,43,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096811263,48,演说者,浅海,1501096814866,far,target,171,25,50,1,3,distr2,286,10,50,3,1,distr1,46,23,50,2,2,24,35,33,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096821275,49,演说者,天空,1501096828110,split,target,233,78,50,2,1,distr1,283,48,50,3,2,distr2,134,86,50,1,3,18,77,65,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096826405,49,演说者,大海,1501096828110,split,target,233,78,50,2,1,distr1,283,48,50,3,2,distr2,134,86,50,1,3,18,77,65,true
3072-43fc98e0-fd3d-477a-81e2-7cb16e7bbb0f,1501096837758,50,演说者,最深的色,1501096840123,close,distr2,297,19,50,1,3,target,332,59,50,3,2,distr1,321,55,50,2,1,6,16,13,false
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120557689,1,倾听者,请描述。。。,1501120652236,far,distr2,162,46,50,2,1,target,323,89,50,1,3,distr1,265,85,50,3,2,28,79,56,false
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120702265,2,倾听者,仍然没看到任何描述。。。,1501120731058,far,distr1,91,46,50,2,3,distr2,305,91,50,3,2,target,238,85,50,1,1,73,31,89,false
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120798176,3,倾听者,演说者了解他/她的任务吗？,1501120835114,close,distr1,147,12,50,1,2,distr2,107,7,50,3,1,target,82,14,50,2,3,9,6,5,false
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120847123,4,演说者,红色,1501120851647,far,target,327,37,50,2,3,distr2,136,95,50,1,1,distr1,33,35,50,3,2,38,87,44,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120861381,5,演说者,绿色,1501120863863,split,target,147,19,50,3,2,distr1,123,5,50,2,3,distr2,324,19,50,1,1,12,46,34,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120870885,6,演说者,黄色,1501120873068,far,target,39,74,50,3,1,distr2,187,93,50,1,2,distr1,358,79,50,2,3,37,48,80,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120899051,7,演说者,红绿灯的绿色,1501120906627,close,target,129,65,50,2,3,distr2,107,35,50,1,2,distr1,66,55,50,3,1,18,11,17,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120916206,8,演说者,红绿灯的绿色,1501120921958,split,target,96,74,50,2,1,distr1,94,52,50,3,2,distr2,180,46,50,1,3,8,34,31,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120931256,9,演说者,红,1501120936123,far,target,285,63,50,1,2,distr1,111,25,50,3,3,distr2,212,35,50,2,1,77,29,42,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120955903,10,演说者,不是蓝色也不是粉红色的那个颜色,1501121000695,split,target,351,26,50,2,2,distr1,336,27,50,3,3,distr2,192,82,50,1,1,6,57,58,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120992501,10,倾听者,猪肝色吗？,1501121000695,split,target,351,26,50,2,2,distr1,336,27,50,3,3,distr2,192,82,50,1,1,6,57,58,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501120998078,10,演说者,哈哈是的,1501121000695,split,target,351,26,50,2,2,distr1,336,27,50,3,3,distr2,192,82,50,1,1,6,57,58,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121026991,11,演说者,最接近黄色的那个,1501121041162,close,target,57,59,50,2,3,distr1,82,95,50,1,2,distr2,66,52,50,3,1,18,5,15,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121053821,12,演说者,墨绿色,1501121063600,close,distr1,154,36,50,2,2,distr2,129,61,50,1,3,target,90,40,50,3,1,16,11,16,false
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121071467,13,演说者,蓝色,1501121074735,far,target,187,24,50,1,1,distr2,46,77,50,3,3,distr1,99,62,50,2,2,36,40,29,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121084486,14,演说者,橙色,1501121086959,split,target,22,99,50,3,3,distr1,1,84,50,1,1,distr2,202,41,50,2,2,14,50,52,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121118483,15,演说者,不是紫色也不是灰色,1501121126353,split,target,297,7,50,2,3,distr2,272,84,50,3,1,distr1,43,5,50,1,2,16,29,41,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121141377,16,演说者,最亮的红色,1501121178197,close,target,311,69,50,2,2,distr2,336,31,50,1,1,distr1,296,43,50,3,3,7,16,16,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121167085,16,倾听者,粉红色吗？,1501121178197,close,target,311,69,50,2,2,distr2,336,31,50,1,1,distr1,296,43,50,3,3,7,16,16,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121175953,16,演说者,是的,1501121178197,close,target,311,69,50,2,2,distr2,336,31,50,1,1,distr1,296,43,50,3,3,7,16,16,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121184514,17,演说者,灰色,1501121186664,far,target,103,0,50,3,2,distr1,142,58,50,1,3,distr2,237,52,50,2,1,32,32,64,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121196210,18,演说者,墨绿,1501121288788,split,distr1,121,39,50,2,3,target,86,16,50,3,2,distr2,19,82,50,1,1,15,41,61,false
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121248418,18,倾听者,带青色或带蓝色？,1501121288788,split,distr1,121,39,50,2,3,target,86,16,50,3,2,distr2,19,82,50,1,1,15,41,61,false
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121283031,18,演说者,青色,1501121288788,split,distr1,121,39,50,2,3,target,86,16,50,3,2,distr2,19,82,50,1,1,15,41,61,false
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121303564,19,演说者,深蓝色,1501121307269,far,target,259,97,50,3,3,distr2,184,85,50,2,1,distr1,131,8,50,1,2,44,56,29,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121318363,20,演说者,土黄色,1501121320711,split,distr1,58,53,50,2,2,target,64,20,50,1,1,distr2,239,1,50,3,3,16,21,33,false
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121329987,21,演说者,猪肝色,1501121332076,split,target,335,30,50,2,3,distr2,286,81,50,3,2,distr1,339,55,50,1,1,9,22,23,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121359726,22,演说者,程度居中的绿色,1501121375721,close,target,144,94,50,2,1,distr2,108,87,50,3,3,distr1,79,67,50,1,2,15,7,11,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121384867,23,演说者,墨绿色,1501121390246,split,target,114,16,50,1,1,distr1,104,55,50,3,2,distr2,28,77,50,2,3,19,39,51,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121402063,24,演说者,土黄色,1501121472406,split,target,43,60,50,1,2,distr1,37,80,50,2,1,distr2,8,99,50,3,3,9,37,29,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121450742,24,倾听者,黄色较浓吗？,1501121472406,split,target,43,60,50,1,2,distr1,37,80,50,2,1,distr2,8,99,50,3,3,9,37,29,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121469839,24,演说者,较淡,1501121472406,split,target,43,60,50,1,2,distr1,37,80,50,2,1,distr2,8,99,50,3,3,9,37,29,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121477935,25,演说者,灰色,1501121480124,far,target,57,0,50,3,1,distr1,299,69,50,2,3,distr2,238,66,50,1,2,30,36,25,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121491004,26,演说者,蓝灰色,1501121504133,close,target,219,18,50,2,2,distr1,240,16,50,1,3,distr2,238,38,50,3,1,8,14,13,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121523803,27,演说者,墨绿色,1501121526188,far,target,158,20,50,3,2,distr2,314,76,50,1,1,distr1,66,88,50,2,3,37,38,89,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121542293,28,演说者,紫色,1501121582762,close,target,263,19,50,3,3,distr1,309,28,50,1,1,distr2,330,11,50,2,2,11,13,14,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121572819,28,倾听者,带红色或带蓝色？,1501121582762,close,target,263,19,50,3,3,distr1,309,28,50,1,1,distr2,330,11,50,2,2,11,13,14,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121580526,28,演说者,带蓝色,1501121582762,close,target,263,19,50,3,3,distr1,309,28,50,1,1,distr2,330,11,50,2,2,11,13,14,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121598038,29,演说者,和上一题一样的颜色,1501121607846,close,distr2,272,64,50,3,1,target,286,18,50,1,3,distr1,289,52,50,2,2,14,19,9,false
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121617138,30,演说者,大红,1501121619484,split,target,343,80,50,3,2,distr2,256,95,50,2,3,distr1,359,46,50,1,1,9,39,40,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121625310,31,演说者,灰色,1501121627401,split,target,243,8,50,3,2,distr2,37,30,50,1,3,distr1,198,25,50,2,1,19,29,32,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121640190,32,演说者,不是红色也不是蓝色,1501121644773,far,target,89,6,50,2,2,distr2,8,69,50,1,3,distr1,247,71,50,3,1,45,36,48,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121657340,33,演说者,墨绿色,1501121660217,split,target,176,9,50,1,1,distr1,80,4,50,3,3,distr2,276,60,50,2,2,9,29,42,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121666273,34,演说者,灰色,1501121668235,far,target,257,7,50,1,2,distr2,356,30,50,3,3,distr1,165,54,50,2,1,36,21,60,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121675334,35,演说者,猪肝,1501121680131,close,target,320,18,50,1,3,distr1,23,7,50,2,2,distr2,325,4,50,3,1,19,14,7,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121692660,36,演说者,浅绿色,1501121697922,far,target,75,56,50,3,2,distr1,32,75,50,2,3,distr2,183,46,50,1,1,36,35,45,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121727884,37,演说者,蓝绿色,1501121817902,close,target,181,32,50,2,1,distr2,185,91,50,1,2,distr1,166,44,50,3,3,11,16,19,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121762850,37,倾听者,蓝较多吗？,1501121817902,close,target,181,32,50,2,1,distr2,185,91,50,1,2,distr1,166,44,50,3,3,11,16,19,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121813793,37,演说者,较少,1501121817902,close,target,181,32,50,2,1,distr2,185,91,50,1,2,distr1,166,44,50,3,3,11,16,19,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121826868,38,演说者,紫色,1501121829033,split,target,282,61,50,3,1,distr1,245,88,50,2,2,distr2,345,95,50,1,3,16,35,45,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121837196,39,演说者,蓝色,1501121838847,close,target,256,48,50,2,3,distr2,309,29,50,1,2,distr1,252,17,50,3,1,17,19,14,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121844353,40,演说者,黄色,1501121846348,far,target,42,91,50,1,3,distr1,141,19,50,3,2,distr2,179,97,50,2,1,37,48,29,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121852890,41,演说者,绿色,1501121854616,far,target,150,96,50,2,1,distr1,199,21,50,1,3,distr2,250,49,50,3,2,44,70,22,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121872985,42,演说者,黄色最少,1501121881416,close,target,67,15,50,3,2,distr1,69,39,50,1,1,distr2,40,42,50,2,3,14,14,17,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121888369,43,演说者,蓝色,1501121890220,split,target,265,77,50,1,1,distr1,303,57,50,2,2,distr2,119,42,50,3,3,19,65,88,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121896206,44,演说者,红色,1501121898066,far,target,328,48,50,2,2,distr2,66,33,50,1,1,distr1,224,98,50,3,3,30,61,75,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121906175,45,演说者,红色,1501121908360,far,target,348,47,50,3,3,distr1,77,38,50,1,2,distr2,287,55,50,2,1,59,25,77,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121915371,46,演说者,红色,1501121917129,split,target,343,82,50,3,2,distr1,16,49,50,1,1,distr2,103,47,50,2,3,19,78,55,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121924477,47,演说者,黄,1501121927304,close,target,71,38,50,1,3,distr1,85,12,50,3,1,distr2,134,20,50,2,2,16,18,10,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121937367,48,演说者,浅绿色,1501121944177,close,distr1,116,59,50,3,3,distr2,161,42,50,1,2,target,161,72,50,2,1,15,11,19,false
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121953020,49,演说者,蓝色,1501121955146,split,target,231,58,50,3,2,distr2,341,5,50,2,1,distr1,271,95,50,1,3,14,31,33,true
1749-16e02541-2385-4752-9fd3-caa3a825b469,1501121962069,50,演说者,粉红,1501121968338,close,target,324,58,50,2,1,distr2,330,42,50,3,2,distr1,348,55,50,1,3,14,5,12,true
7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186223122,1,演说者,深一点的蓝色,1501186245469,close,target,237,33,50,1,3,distr1,260,18,50,2,1,distr2,231,24,50,3,2,12,7,8,true
7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186276860,2,演说者,紫色,1501186290037,split,target,284,95,50,1,1,distr1,241,58,50,3,2,distr2,54,4,50,2,3,19,41,42,true
7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186327126,3,演说者,灰绿色,1501186331769,split,target,171,22,50,2,1,distr1,187,10,50,1,2,distr2,100,74,50,3,3,11,31,37,true
7991-2be4a4f0-a5f7-40e2-9854-4765af54e7c7,1501186357114,4,演说者,灰色,1501186360984,far,target,236,8,50,1,3,distr2,154,25,50,2,2,distr1,38,42,50,3,1,33,29,29,true
